Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
National,,,,,,
All-site Cancer,"2,825,477 (1.86‰)",176.33 ± 0.11,"2,926,757 (1.85‰)",163.23 ± 0.10,"2,994,374 (1.83‰)",149.14 ± 0.09
Lung Cancer,"791,556 (0.52‰)",49.42 ± 0.06,"779,260 (0.49‰)",43.25 ± 0.05,"712,171 (0.44‰)",34.91 ± 0.04
Colorectal Cancer,"265,133 (0.17‰)",16.54 ± 0.03,"261,648 (0.17‰)",14.61 ± 0.03,"265,502 (0.16‰)",13.37 ± 0.03
Breast Cancer,"205,413 (0.14‰)",12.71 ± 0.03,"207,617 (0.13‰)",11.60 ± 0.03,"212,665 (0.13‰)",10.81 ± 0.02
Pancreatic Cancer,"175,157 (0.12‰)",10.90 ± 0.03,"196,991 (0.12‰)",10.92 ± 0.02,"224,198 (0.14‰)",11.05 ± 0.02
Prostate Cancer,"142,538 (0.09‰)",9.03 ± 0.02,"140,034 (0.09‰)",7.89 ± 0.02,"156,629 (0.10‰)",7.80 ± 0.02
RUCC: Metropolitan urbanized,,,,,,
All-site Cancer,"2,294,619 (1.78‰)",174.23 ± 0.12,"2,383,759 (1.76‰)",160.49 ± 0.11,"2,446,144 (1.74‰)",145.93 ± 0.09
Lung Cancer,"630,725 (0.49‰)",48.04 ± 0.06,"619,799 (0.46‰)",41.65 ± 0.05,"565,246 (0.40‰)",33.28 ± 0.04
Colorectal Cancer,"213,938 (0.17‰)",16.23 ± 0.04,"211,222 (0.16‰)",14.21 ± 0.03,"215,097 (0.15‰)",12.94 ± 0.03
Breast Cancer,"171,216 (0.13‰)",12.83 ± 0.03,"173,422 (0.13‰)",11.64 ± 0.03,"178,758 (0.13‰)",10.83 ± 0.03
Pancreatic Cancer,"144,355 (0.11‰)",10.95 ± 0.03,"162,972 (0.12‰)",10.92 ± 0.03,"185,786 (0.13‰)",10.98 ± 0.03
Prostate Cancer,"115,263 (0.09‰)",8.92 ± 0.03,"114,151 (0.08‰)",7.79 ± 0.02,"128,832 (0.09‰)",7.71 ± 0.02
RUCC: Non-metropolitan urbanized,,,,,,
All-site Cancer,"199,087 (2.17‰)",185.75 ± 0.42,"204,708 (2.20‰)",175.50 ± 0.39,"207,960 (2.23‰)",164.11 ± 0.37
Lung Cancer,"59,250 (0.65‰)",54.94 ± 0.23,"58,866 (0.63‰)",49.79 ± 0.21,"54,134 (0.58‰)",41.67 ± 0.18
Colorectal Cancer,"18,751 (0.20‰)",17.51 ± 0.13,"18,587 (0.20‰)",16.09 ± 0.12,"18,710 (0.20‰)",15.10 ± 0.11
Breast Cancer,"13,150 (0.14‰)",12.34 ± 0.11,"13,313 (0.14‰)",11.60 ± 0.10,"13,319 (0.14‰)",10.90 ± 0.10
Pancreatic Cancer,"11,684 (0.13‰)",10.83 ± 0.10,"12,901 (0.14‰)",10.94 ± 0.10,"14,773 (0.16‰)",11.49 ± 0.10
Prostate Cancer,"9,830 (0.11‰)",9.18 ± 0.09,"9,600 (0.10‰)",8.19 ± 0.08,"10,415 (0.11‰)",8.10 ± 0.08
RUCC: Less urbanized,,,,,,
All-site Cancer,"272,516 (2.37‰)",188.60 ± 0.36,"277,719 (2.42‰)",179.49 ± 0.35,"279,522 (2.46‰)",168.95 ± 0.33
Lung Cancer,"83,228 (0.73‰)",57.05 ± 0.20,"82,247 (0.72‰)",52.29 ± 0.18,"76,032 (0.67‰)",44.75 ± 0.17
Colorectal Cancer,"26,520 (0.23‰)",18.36 ± 0.11,"26,156 (0.23‰)",17.07 ± 0.11,"25,955 (0.23‰)",16.06 ± 0.10
Breast Cancer,"17,465 (0.15‰)",12.27 ± 0.09,"17,308 (0.15‰)",11.47 ± 0.09,"17,098 (0.15‰)",10.80 ± 0.09
Pancreatic Cancer,"15,693 (0.14‰)",10.81 ± 0.09,"17,292 (0.15‰)",11.07 ± 0.09,"19,446 (0.17‰)",11.59 ± 0.08
Prostate Cancer,"14,110 (0.12‰)",9.67 ± 0.08,"13,234 (0.12‰)",8.43 ± 0.07,"14,131 (0.12‰)",8.31 ± 0.07
RUCC: Thinly populated,,,,,,
All-site Cancer,"59,255 (2.49‰)",177.07 ± 0.73,"60,571 (2.57‰)",169.90 ± 0.70,"60,748 (2.60‰)",158.93 ± 0.66
Lung Cancer,"18,353 (0.77‰)",54.36 ± 0.40,"18,348 (0.78‰)",50.70 ± 0.38,"16,759 (0.72‰)",42.95 ± 0.34
Colorectal Cancer,"5,924 (0.25‰)",17.76 ± 0.23,"5,683 (0.24‰)",16.09 ± 0.22,"5,740 (0.25‰)",15.39 ± 0.21
Breast Cancer,"3,582 (0.15‰)",10.86 ± 0.18,"3,574 (0.15‰)",10.30 ± 0.18,"3,490 (0.15‰)",9.50 ± 0.17
Pancreatic Cancer,"3,425 (0.14‰)",10.17 ± 0.17,"3,826 (0.16‰)",10.65 ± 0.18,"4,193 (0.18‰)",10.86 ± 0.17
Prostate Cancer,"3,335 (0.14‰)",9.82 ± 0.17,"3,049 (0.13‰)",8.41 ± 0.15,"3,251 (0.14‰)",8.23 ± 0.15
Census Region National,,,,,,
All-site Cancer,"2,810,555 (1.86‰)",176.13 ± 0.11,"2,912,572 (1.85‰)",163.07 ± 0.10,"2,981,057 (1.83‰)",149.03 ± 0.09
Lung Cancer,"787,175 (0.52‰)",49.35 ± 0.06,"775,309 (0.49‰)",43.20 ± 0.05,"708,787 (0.44‰)",34.87 ± 0.04
Colorectal Cancer,"263,618 (0.17‰)",16.51 ± 0.03,"260,304 (0.17‰)",14.60 ± 0.03,"264,286 (0.16‰)",13.36 ± 0.03
Breast Cancer,"204,269 (0.14‰)",12.69 ± 0.03,"206,572 (0.13‰)",11.59 ± 0.03,"211,688 (0.13‰)",10.80 ± 0.02
Pancreatic Cancer,"174,224 (0.12‰)",10.89 ± 0.03,"196,084 (0.12‰)",10.91 ± 0.02,"223,174 (0.14‰)",11.04 ± 0.02
