Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
National,,,,,,
Neurodegenerative Disease (NDD),"974,989 (0.64‰)",61.05 ± 0.06,"1,276,738 (0.81‰)",71.00 ± 0.06,"1,411,043 (0.86‰)",70.74 ± 0.06
Unspecified Dementia (UD),"403,806 (0.27‰)",25.15 ± 0.04,"593,215 (0.38‰)",32.73 ± 0.04,"505,689 (0.31‰)",25.20 ± 0.04
Alzheimer's Disease (AD),"391,951 (0.26‰)",24.54 ± 0.04,"457,432 (0.29‰)",25.43 ± 0.04,"615,224 (0.38‰)",30.85 ± 0.04
Parkinson's Disease (PD),"101,868 (0.07‰)",6.54 ± 0.02,"125,402 (0.08‰)",7.25 ± 0.02,"169,917 (0.10‰)",8.72 ± 0.02
Vascular Dementia (VD),"46,181 (0.03‰)",2.89 ± 0.01,"64,966 (0.04‰)",3.60 ± 0.01,"85,449 (0.05‰)",4.26 ± 0.01
Amyotrophic Lateral Sclerosis (ALS),"31,183 (0.02‰)",1.94 ± 0.01,"35,723 (0.02‰)",1.99 ± 0.01,"34,764 (0.02‰)",1.71 ± 0.01
RUCC: Metropolitan urbanized,,,,,,
Neurodegenerative Disease (NDD),"798,048 (0.62‰)",61.04 ± 0.07,"1,051,219 (0.78‰)",70.71 ± 0.07,"1,158,736 (0.83‰)",69.80 ± 0.07
Unspecified Dementia (UD),"335,501 (0.26‰)",25.52 ± 0.04,"491,706 (0.36‰)",32.81 ± 0.05,"411,915 (0.29‰)",24.65 ± 0.04
Alzheimer's Disease (AD),"313,794 (0.24‰)",23.99 ± 0.04,"370,108 (0.27‰)",24.88 ± 0.04,"503,328 (0.36‰)",30.32 ± 0.04
Parkinson's Disease (PD),"84,097 (0.07‰)",6.60 ± 0.02,"104,473 (0.08‰)",7.33 ± 0.02,"141,497 (0.10‰)",8.75 ± 0.02
Vascular Dementia (VD),"39,130 (0.03‰)",2.99 ± 0.02,"55,547 (0.04‰)",3.72 ± 0.02,"73,047 (0.05‰)",4.38 ± 0.02
