ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,5,0.0,"9.04(7.04,11.08)***","13.95(11.97,15.96)***","18.70(16.60,20.84)***","24.72(22.43,27.06)***"
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,10,0.0,"9.87(7.83,11.98)***","13.89(11.81,16.00)***","19.28(17.09,21.61)***","26.74(24.34,29.21)***"
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,15,0.0,"8.51(6.35,10.61)***","11.02(8.99,13.05)***","15.94(13.80,18.18)***","22.74(20.49,25.13)***"
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2006_2010,5,0.0,"6.75(4.40,9.07)***","10.03(7.58,12.57)***","10.69(8.15,13.27)***","11.82(9.09,14.54)***"
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2006_2010,10,0.0,"4.86(2.60,7.12)***","8.13(5.80,10.52)***","8.16(5.59,10.65)***","8.51(5.88,11.10)***"
G20,Parkinson's Disease (PD),2000_2005,5,0.0,"2.35(2.03,2.67)***","3.43(3.11,3.75)***","4.10(3.77,4.42)***","4.72(4.37,5.09)***"
G20,Parkinson's Disease (PD),2000_2005,10,0.0,"2.44(2.08,2.80)***","3.35(3.00,3.69)***","4.25(3.89,4.61)***","4.87(4.49,5.25)***"
G20,Parkinson's Disease (PD),2000_2005,15,0.0,"2.80(2.38,3.17)***","3.46(3.07,3.86)***","4.33(3.93,4.73)***","5.19(4.76,5.63)***"
G20,Parkinson's Disease (PD),2006_2010,5,0.0,"1.34(0.90,1.78)***","1.72(1.25,2.19)***","1.79(1.31,2.28)***","1.78(1.29,2.28)***"
G20,Parkinson's Disease (PD),2006_2010,10,0.0,"1.74(1.24,2.22)***","1.99(1.48,2.50)***","2.16(1.61,2.68)***","2.15(1.60,2.69)***"
G30,Alzheimer's Disease (AD),2000_2005,5,0.0,"4.38(3.11,5.65)***","5.39(4.13,6.73)***","7.49(6.13,8.83)***","8.54(7.02,10.09)***"
G30,Alzheimer's Disease (AD),2000_2005,10,0.0,"3.67(2.31,4.99)***","4.43(3.08,5.76)***","6.15(4.72,7.60)***","7.43(5.86,8.91)***"
G30,Alzheimer's Disease (AD),2000_2005,15,0.0,"4.05(2.59,5.49)***","4.57(3.12,6.04)***","7.15(5.55,8.71)***","9.69(7.96,11.45)***"
G30,Alzheimer's Disease (AD),2006_2010,5,0.0,"2.27(0.82,3.73)**","2.98(1.51,4.55)***","2.40(0.79,4.03)**","2.69(1.02,4.42)**"
G30,Alzheimer's Disease (AD),2006_2010,10,0.0,"2.50(0.89,4.12)**","4.68(2.89,6.41)***","4.04(2.27,5.86)***","4.06(2.17,5.91)***"
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,5,0.0,"0.46(0.36,0.56)***","0.89(0.78,1.00)***","1.43(1.31,1.55)***","1.83(1.68,1.96)***"
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,10,0.0,"0.56(0.46,0.67)***","1.09(0.97,1.21)***","1.40(1.27,1.52)***","1.78(1.64,1.91)***"
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,15,0.0,"0.46(0.37,0.55)***","0.86(0.76,0.96)***","1.20(1.09,1.30)***","1.54(1.43,1.65)***"
G12.2,Amyotrophic Lateral Sclerosis (ALS),2006_2010,5,0.0,"0.42(0.28,0.57)***","0.55(0.39,0.71)***","0.67(0.50,0.84)***","0.70(0.53,0.88)***"
G12.2,Amyotrophic Lateral Sclerosis (ALS),2006_2010,10,0.0,"0.32(0.20,0.44)***","0.62(0.48,0.75)***","0.54(0.39,0.68)***","0.59(0.45,0.74)***"
F01,Vascular Dementia (VD),2000_2005,5,0.0,"0.76(0.56,0.97)***","1.36(1.14,1.58)***","1.71(1.48,1.94)***","2.21(1.96,2.46)***"
F01,Vascular Dementia (VD),2000_2005,10,0.0,"0.93(0.67,1.18)***","1.50(1.24,1.77)***","1.90(1.62,2.18)***","2.36(2.06,2.66)***"
F01,Vascular Dementia (VD),2000_2005,15,0.0,"0.81(0.51,1.11)***","1.38(1.08,1.70)***","1.81(1.48,2.13)***","2.58(2.22,2.95)***"
F01,Vascular Dementia (VD),2006_2010,5,0.0,"0.78(0.49,1.07)***","1.02(0.72,1.34)***","1.21(0.89,1.54)***","1.09(0.74,1.43)***"
F01,Vascular Dementia (VD),2006_2010,10,0.0,"1.17(0.83,1.52)***","1.16(0.79,1.52)***","1.21(0.83,1.60)***","1.30(0.91,1.70)***"
F03,Unspecified Dementia (UD),2000_2005,5,0.0,"4.14(2.89,5.35)***","6.57(5.28,7.85)***","8.07(6.70,9.40)***","11.54(10.03,13.04)***"
F03,Unspecified Dementia (UD),2000_2005,10,0.0,"4.87(3.49,6.28)***","6.92(5.53,8.34)***","9.48(7.96,10.93)***","13.97(12.33,15.63)***"
F03,Unspecified Dementia (UD),2000_2005,15,0.0,"2.87(1.59,4.14)***","3.42(2.08,4.74)***","4.59(3.26,5.99)***","6.59(5.08,8.13)***"
F03,Unspecified Dementia (UD),2006_2010,5,0.0,"2.92(1.40,4.44)***","5.06(3.41,6.73)***","5.91(4.15,7.61)***","6.44(4.59,8.26)***"
F03,Unspecified Dementia (UD),2006_2010,10,0.0,"-0.28(-1.67,1.16)","0.39(-1.10,1.91)","0.33(-1.29,1.96)","0.52(-1.19,2.23)"
