ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p_MRR,MRD_mean,MRD_lower,MRD_upper,p_MRD
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q2,1.21,1.161,1.263,20.9996,0.0002,9.29,7.32,11.31,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q3,1.3181,1.265,1.3773,31.8065,0.0002,14.08,12.08,16.12,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q4,1.4253,1.3662,1.4898,42.5317,0.0002,18.83,16.75,20.92,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q5,1.5586,1.4903,1.6333,55.8615,0.0002,24.73,22.52,27.03,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q2,1.1941,1.1501,1.2409,19.4128,0.0002,10.16,8.09,12.33,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q3,1.2728,1.2272,1.3228,27.2848,0.0002,14.29,12.22,16.37,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q4,1.3721,1.321,1.4274,37.2083,0.0002,19.49,17.35,21.68,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q5,1.5086,1.4492,1.5741,50.8596,0.0002,26.65,24.21,29.0,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q2,1.1507,1.1108,1.1908,15.0728,0.0002,8.58,6.47,10.64,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q3,1.2007,1.1598,1.2445,20.0737,0.0002,11.43,9.39,13.59,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q4,1.2862,1.2422,1.3337,28.617,0.0002,16.3,14.19,18.45,0.0002
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q5,1.3965,1.3438,1.4531,39.6548,0.0002,22.59,20.25,25.0,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q2,1.206,1.1541,1.259,20.604,0.0002,7.95,6.14,9.73,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.3075,1.2515,1.3657,30.7459,0.0002,11.86,10.03,13.68,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.4098,1.3477,1.4762,40.9819,0.0002,15.82,13.91,17.69,0.0002
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.5427,1.4696,1.6186,54.2667,0.0002,20.95,18.87,23.05,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.1887,1.1431,1.2374,18.8662,0.0002,8.73,6.81,10.67,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.2603,1.2111,1.313,26.0274,0.0002,12.05,10.08,14.04,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.3578,1.3034,1.4167,35.7804,0.0002,16.56,14.52,18.57,0.0002
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.4929,1.4312,1.5613,49.2948,0.0002,22.82,20.66,24.99,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.1465,1.1047,1.1911,14.6536,0.0002,7.31,5.38,9.26,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.1856,1.142,1.2323,18.5644,0.0002,9.26,7.29,11.28,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q4,1.2686,1.2211,1.3214,26.8635,0.0002,13.41,11.38,15.49,0.0002
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q5,1.3713,1.3179,1.4316,37.1324,0.0002,18.54,16.38,20.75,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q2,1.2237,1.1484,1.3023,22.3661,0.0002,4.44,3.11,5.74,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q3,1.272,1.1944,1.3573,27.1965,0.0002,5.41,4.09,6.72,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q4,1.3787,1.2932,1.471,37.8699,0.0002,7.53,6.13,8.91,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2006_2010,5,Q5,1.4293,1.3363,1.5308,42.9267,0.0002,8.54,7.04,10.03,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q2,1.1755,1.1078,1.25,17.552,0.0002,3.7,2.39,5.05,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q3,1.2114,1.1418,1.2872,21.1411,0.0002,4.45,3.13,5.75,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q4,1.2933,1.2181,1.3809,29.333,0.0002,6.18,4.82,7.59,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2011_2015,10,Q5,1.3497,1.2647,1.4434,34.9727,0.0002,7.37,5.86,8.89,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q2,1.1682,1.1044,1.2386,16.8155,0.0002,4.14,2.66,5.61,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q3,1.1916,1.1275,1.2623,19.1636,0.0002,4.72,3.22,6.18,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q4,1.2952,1.2224,1.3789,29.525,0.0002,7.27,5.75,8.76,0.0002
G30,Alzheimer's Disease (AD),2000_2005,2016_2020,15,Q5,1.3941,1.3076,1.4869,39.411,0.0002,9.71,7.97,11.38,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q2,1.8534,1.6824,2.0455,85.3382,0.0002,2.39,2.06,2.72,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q3,2.2267,2.0202,2.4615,122.6685,0.0002,3.43,3.1,3.75,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q4,2.4538,2.2171,2.7188,145.3818,0.0002,4.07,3.73,4.4,0.0002
G20,Parkinson's Disease (PD),2000_2005,2006_2010,5,Q5,2.6839,2.4195,2.991,168.3853,0.0002,4.71,4.36,5.06,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q2,1.738,1.5907,1.9065,73.7995,0.0002,2.47,2.12,2.82,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q3,2.0098,1.8437,2.2051,100.9783,0.0002,3.38,3.02,3.73,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q4,2.2633,2.0756,2.4941,126.3341,0.0002,4.23,3.88,4.58,0.0002
G20,Parkinson's Disease (PD),2000_2005,2011_2015,10,Q5,2.4594,2.2406,2.7225,145.9424,0.0002,4.88,4.51,5.26,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q2,1.6209,1.4953,1.7528,62.0915,0.0002,2.86,2.45,3.27,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q3,1.7614,1.6287,1.9035,76.1433,0.0002,3.51,3.11,3.9,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q4,1.9463,1.7969,2.1094,94.6258,0.0002,4.37,3.97,4.76,0.0002
G20,Parkinson's Disease (PD),2000_2005,2016_2020,15,Q5,2.1355,1.9645,2.3229,113.5542,0.0002,5.24,4.8,5.66,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q2,1.901,1.5969,2.2768,90.104,0.0002,0.46,0.36,0.57,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q3,2.7418,2.2857,3.3246,174.1785,0.0002,0.9,0.78,1.01,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q4,3.7658,3.1168,4.6172,276.576,0.0002,1.43,1.3,1.56,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2006_2010,5,Q5,4.5171,3.7243,5.5312,351.7101,0.0002,1.82,1.68,1.95,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q2,1.9587,1.6955,2.2963,95.8734,0.0002,0.56,0.46,0.67,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q3,2.8462,2.4369,3.3822,184.6169,0.0002,1.09,0.97,1.21,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q4,3.3634,2.8492,4.0285,236.3376,0.0002,1.39,1.27,1.51,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2011_2015,10,Q5,4.0139,3.3837,4.8414,301.3906,0.0002,1.77,1.64,1.91,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q2,1.9411,1.6597,2.2929,94.1081,0.0002,0.45,0.36,0.54,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q3,2.8033,2.3709,3.3727,180.3315,0.0002,0.87,0.77,0.97,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q4,3.4246,2.8801,4.1537,242.4638,0.0002,1.17,1.07,1.28,0.0002
G12.2,Amyotrophic Lateral Sclerosis (ALS),2000_2005,2016_2020,15,Q5,4.1551,3.4633,5.0759,315.5052,0.0002,1.53,1.41,1.64,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q2,3.0475,1.4465,10.0364,204.7466,0.0267,0.03,0.01,0.04,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q3,5.6699,2.5884,20.5018,466.9938,0.0267,0.06,0.05,0.08,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q4,8.2055,3.6473,30.8274,720.5497,0.0267,0.1,0.08,0.11,0.0002
G10,Huntington's Disease (HD),2000_2005,2006_2010,5,Q5,13.3344,5.795,51.2042,1233.4439,0.0267,0.17,0.15,0.19,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q2,-0.1173,1.6842,10.5828,-111.7304,0.0192,0.04,0.02,0.05,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q3,-1.7714,2.4777,16.5627,-277.1352,0.0192,0.07,0.05,0.08,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q4,-3.7268,3.6494,26.51,-472.6766,0.0192,0.11,0.1,0.13,0.0002
G10,Huntington's Disease (HD),2000_2005,2011_2015,10,Q5,-7.5322,6.2205,47.2104,-853.2205,0.0192,0.21,0.19,0.23,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q2,3.3315,1.682,7.3234,233.1533,0.0022,0.04,0.02,0.05,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q3,5.5728,2.7034,13.2641,457.2836,0.0022,0.08,0.06,0.09,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q4,8.6565,3.9882,20.5494,765.6487,0.0022,0.13,0.11,0.14,0.0002
G10,Huntington's Disease (HD),2000_2005,2016_2020,15,Q5,14.3314,6.4685,34.6177,1333.142,0.0022,0.22,0.2,0.25,0.0002
