Cancer_Type,Period,Population,Deaths,RUCC1_CR,RUCC1_AAMR,RUCC2_CR,RUCC2_AAMR,RUCC3_CR,RUCC3_AAMR,RUCC4_CR,RUCC4_AAMR
C00-C14,2006-2010,1268647735.0,32980,2.87 ± 0.05,2.34 ± 0.01,4.64 ± 0.23,3.08 ± 0.06,4.22 ± 0.14,4.46 ± 0.14,0.46 ± 0.09,7.88 ± 1.42
C00-C14,2011-2015,1357693236.0,38196,3.08 ± 0.05,2.33 ± 0.01,5.05 ± 0.28,2.93 ± 0.05,7.10 ± 0.00,4.40 ± 0.12,1.47 ± 0.16,4.72 ± 0.48
C00-C14,2016-2020,1446637515.0,44755,3.42 ± 0.05,2.34 ± 0.01,5.29 ± 0.18,3.10 ± 0.05,7.74 ± 0.54,4.12 ± 0.10,1.31 ± 0.16,4.51 ± 0.56
C00-C97,2006-2010,1518816990.0,2830088,198.64 ± 1.44,172.32 ± 0.12,218.42 ± 2.70,183.52 ± 0.39,237.45 ± 1.53,186.33 ± 0.36,262.45 ± 2.39,180.42 ± 0.72
C00-C97,2011-2015,1581463656.0,2931161,201.54 ± 1.48,158.49 ± 0.11,222.94 ± 2.84,173.47 ± 0.36,242.18 ± 1.57,176.87 ± 0.34,265.64 ± 2.54,171.97 ± 0.69
C00-C97,2016-2020,1633199117.0,2997617,203.26 ± 1.49,144.00 ± 0.10,225.65 ± 2.77,161.62 ± 0.34,245.92 ± 1.67,165.63 ± 0.32,265.39 ± 2.46,160.10 ± 0.65
C15-C26,2006-2010,1516418038.0,686312,46.34 ± 0.34,42.22 ± 0.06,50.97 ± 0.63,42.45 ± 0.19,56.49 ± 0.38,42.70 ± 0.17,64.35 ± 0.84,42.56 ± 0.36
C15-C26,2011-2015,1579084129.0,740150,49.09 ± 0.35,40.35 ± 0.05,54.04 ± 0.70,41.62 ± 0.18,59.92 ± 0.42,42.01 ± 0.16,66.77 ± 0.82,41.55 ± 0.35
C15-C26,2016-2020,1631524495.0,798936,52.44 ± 0.38,38.69 ± 0.05,58.28 ± 0.69,41.30 ± 0.17,64.26 ± 0.47,41.82 ± 0.16,72.51 ± 0.93,41.25 ± 0.34
C18-C21,2006-2010,1503774304.0,262635,18.25 ± 0.17,15.89 ± 0.04,20.86 ± 0.29,16.80 ± 0.12,24.99 ± 0.25,17.96 ± 0.11,29.30 ± 0.74,18.93 ± 0.27
C18-C21,2011-2015,1564915710.0,258988,17.59 ± 0.17,13.96 ± 0.03,20.69 ± 0.31,15.40 ± 0.11,24.62 ± 0.25,16.64 ± 0.11,28.86 ± 0.83,17.26 ± 0.26
C18-C21,2016-2020,1617425348.0,262875,17.59 ± 0.16,12.67 ± 0.03,20.70 ± 0.27,14.27 ± 0.10,24.70 ± 0.25,15.60 ± 0.10,29.69 ± 0.85,16.56 ± 0.25
C25,2006-2010,1477534871.0,170713,11.91 ± 0.11,10.84 ± 0.03,13.35 ± 0.19,10.54 ± 0.09,15.65 ± 0.21,11.20 ± 0.09,19.75 ± 1.04,12.60 ± 0.28
C25,2011-2015,1545848690.0,192860,13.03 ± 0.12,10.80 ± 0.03,14.56 ± 0.20,10.67 ± 0.09,16.93 ± 0.22,11.32 ± 0.09,23.06 ± 0.98,12.38 ± 0.25
