ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C18_C21,2000_2005,2006_2010,5,EQI,0.00,"3.79(3.11,4.42)***","4.51(3.83,5.15)***","4.81(4.14,5.47)***","4.86(4.12,5.56)***",0.0002,0.0002,0.0002,0.0002,1.0003,1.0004,1.0002,1.0002,2677,2266,1879,1662,3184,2801,2552,2212
"C18_C21","2000_2005","2006_2010",5,"EQI_Air","0.00","4.77(4.05,5.49)***","4.82(4.09,5.54)***","4.61(3.88,5.33)***","4.36(3.57,5.13)***","0.0002","0.0002","0.0002","0.0002","1.0016","1.0024","1.0024","1.0039",1703,1429,1271,1130,2779,2490,2236,1807
"C18_C21","2000_2005","2006_2010",5,"EQI_Water","0.00","-1.01(-1.78,-0.23)*","-0.03(-0.81,0.78)","-0.03(-0.81,0.77)","-0.34(-1.14,0.48)","0.0142","0.9400","0.9325","0.3747","1.0045","1.0036","1.0044","1.0052",1610,1514,1576,1603,2483,2447,2325,2327
"C18_C21","2000_2005","2006_2010",5,"EQI_Land","0.00","0.35(-0.24,0.93)","0.48(-0.12,1.09)","0.47(-0.19,1.17)","1.23(0.51,1.97)***","0.2592","0.1282","0.1767","0.0002","1.0012","1.0000","1.0011","1.0015",2614,2062,1707,1731,3094,2600,2210,2671
"C18_C21","2000_2005","2006_2010",5,"EQI_Built","0.00","2.03(1.39,2.66)***","2.49(1.86,3.12)***","2.60(1.95,3.23)***","2.57(1.91,3.24)***","0.0002","0.0002","0.0002","0.0002","1.0005","1.0022","1.0031","1.0040",2647,2053,2013,1854,2926,2964,2741,2558
"C18_C21","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.47(-1.09,0.15)","-0.92(-1.58,-0.28)**","-0.85(-1.52,-0.17)*","-0.63(-1.40,0.10)","0.1377","0.0072","0.0162","0.0987","1.0015","1.0014","1.0018","1.0009",2932,2362,1869,1939,3090,2913,2721,2625
"C18_C21","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","1.01(-0.23,2.22)","1.46(0.29,2.60)*","2.29(1.19,3.40)***","1.63(0.53,2.75)**","0.1192","0.0107","0.0002","0.0077","1.0009","1.0011","1.0012","1.0013",1782,1541,1479,1333,2650,2586,2586,1990
"C18_C21","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","3.13(1.20,4.89)**","3.97(2.19,5.68)***","4.19(2.44,5.85)***","4.44(2.69,6.12)***","0.0017","0.0002","0.0002","0.0002","1.0010","1.0006","1.0005","1.0004",1398,1178,1105,1024,2296,1660,1882,1469
"C18_C21","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.94(-1.78,-0.11)*","-0.58(-1.38,0.18)","-0.83(-1.58,-0.04)*","-1.02(-1.77,-0.26)**","0.0232","0.1467","0.0397","0.0092","0.9998","1.0002","1.0004","1.0004",2202,1942,2139,2078,2624,2816,2756,3010
"C18_C21","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.79(0.09,1.48)*","0.76(0.06,1.47)*","0.66(-0.11,1.42)","0.79(-0.00,1.57)","0.0252","0.0352","0.1002","0.0507","1.0001","1.0014","1.0002","1.0015",2753,2377,2194,2212,2634,2988,2379,2494
"C18_C21","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","-0.22(-1.10,0.65)","0.39(-0.49,1.27)","0.12(-0.74,0.98)","0.05(-0.84,0.93)","0.6156","0.3747","0.7821","0.9270","1.0006","1.0013","1.0004","1.0005",2179,1912,1838,1779,2696,2279,2293,2148
