ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C50,2000_2005,2006_2010,5,EQI,0.00,"3.23(2.74,3.71)***","3.90(3.42,4.39)***","4.96(4.47,5.46)***","5.83(5.30,6.35)***",0.0002,0.0002,0.0002,0.0002,1.0008,1.0008,1.0006,1.0008,3938,3215,2439,2013,3279,3029,2899,2534
"C50","2000_2005","2006_2010",5,"EQI_Air","0.00","4.33(3.77,4.88)***","4.72(4.15,5.27)***","4.76(4.18,5.32)***","5.19(4.59,5.80)***","0.0002","0.0002","0.0002","0.0002","1.0028","1.0035","1.0047","1.0056",1641,1365,1137,1057,2477,2630,2308,2523
"C50","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.24(-0.84,0.36)","0.51(-0.09,1.13)","0.85(0.25,1.47)**","0.46(-0.17,1.12)","0.4441","0.0982","0.0072","0.1517","1.0021","1.0022","1.0027","1.0024",1311,1160,1149,1091,2172,2330,2218,2235
"C50","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.05(-0.51,0.40)","-0.07(-0.56,0.43)","-0.15(-0.70,0.41)","0.12(-0.46,0.71)","0.8195","0.7621","0.6021","0.7036","1.0008","1.0014","1.0022","1.0011",2173,1816,1498,1491,2896,2534,2141,2444
"C50","2000_2005","2006_2010",5,"EQI_Built","0.00","1.47(0.99,1.95)***","1.73(1.24,2.23)***","2.06(1.57,2.55)***","2.30(1.78,2.80)***","0.0002","0.0002","0.0002","0.0002","1.0010","1.0003","1.0002","1.0007",2333,1842,1651,1565,3069,2401,2467,2319
"C50","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.69(-1.16,-0.19)**","-0.49(-1.00,0.03)","-0.25(-0.77,0.29)","0.09(-0.51,0.70)","0.0062","0.0702","0.3597","0.7636","1.0005","1.0017","1.0011","1.0026",2135,1712,1497,1437,2202,2161,1758,1874
"C50","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","1.53(0.55,2.49)**","1.78(0.85,2.65)***","2.74(1.84,3.62)***","2.89(2.00,3.78)***","0.0017","0.0002","0.0002","0.0002","0.9999","1.0006","1.0001","1.0005",2242,2156,1892,1711,2895,2591,2138,2295
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","3.47(2.11,4.80)***","3.98(2.82,5.14)***","4.14(3.00,5.22)***","4.84(3.69,5.91)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0010","1.0011","1.0011",2555,2048,1999,1981,2786,2224,2188,2141
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.77(-1.49,-0.06)*","-0.39(-1.03,0.27)","-0.39(-1.00,0.22)","-0.89(-1.52,-0.26)**","0.0332","0.2537","0.2232","0.0037","1.0004","1.0004","1.0010","1.0006",2022,1763,2009,1925,2563,2509,2195,2694
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.10(-0.43,0.65)","0.23(-0.33,0.78)","-0.01(-0.62,0.61)","-0.09(-0.70,0.52)","0.7171","0.4321","0.9795","0.7661","1.0006","1.0012","1.0011","1.0014",2724,2464,2292,2207,3004,2967,2916,2606
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.05(-0.70,0.78)","0.41(-0.33,1.14)","0.90(0.18,1.64)*","0.88(0.12,1.61)*","0.8795","0.2722","0.0162","0.0252","0.9997","1.0004","1.0002","1.0011",2431,2196,2023,1915,2682,2565,2525,2547
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","-0.06(-0.87,0.77)","-0.49(-1.21,0.23)","-0.66(-1.36,0.03)","-0.34(-1.03,0.32)","0.8690","0.1747","0.0662","0.3167","0.9998","1.0007","1.0011","1.0008",2880,2542,2395,2375,3062,2661,2753,2731
"C50","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","1.03(-0.62,2.72)","1.07(-0.48,2.61)","0.88(-0.63,2.41)","0.40(-1.18,1.88)","0.2377","0.1807","0.2782","0.6036","1.0019","1.0013","1.0012","1.0010",1952,1753,1766,1808,2372,1982,2220,2295
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","0.93(-1.66,3.52)","1.85(-0.64,4.35)","2.31(-0.15,4.78)","2.18(-0.29,4.68)","0.5081","0.1562","0.0697","0.0982","1.0034","1.0044","1.0039","1.0030",2054,1931,1978,2055,2380,2116,2492,2352
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","-0.55(-1.92,0.87)","0.13(-1.03,1.39)","-0.18(-1.24,0.98)","-0.66(-1.70,0.38)","0.4511","0.8450","0.7331","0.2172","1.0007","1.0010","1.0008","0.9999",3360,2448,2316,2735,2892,2573,1952,2792
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","0.60(-0.43,1.61)","-0.35(-1.37,0.68)","0.57(-0.44,1.53)","0.28(-0.86,1.40)","0.2527","0.5056","0.2652","0.6251","1.0012","1.0005","0.9999","1.0010",4145,3167,3169,3136,3485,3393,2653,3389
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","-0.32(-2.96,2.36)","-1.01(-3.51,1.51)","-0.83(-3.33,1.69)","0.15(-2.33,2.68)","0.8020","0.4451","0.5126","0.9025","1.0004","1.0014","1.0015","1.0014",1569,1555,1438,1455,2504,2458,2232,2344
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Social","0.00","-1.12(-2.24,0.03)","-1.38(-2.48,-0.28)*","-1.64(-2.80,-0.48)**","-1.47(-2.78,-0.18)*","0.0602","0.0187","0.0077","0.0262","1.0009","1.0006","1.0006","1.0008",3086,2729,2603,2624,3069,3217,2991,2768
"C50","2000_2005","2006_2010",5,"RUCC3_EQI","0.00","0.41(-0.54,1.33)","0.32(-0.65,1.30)","0.63(-0.38,1.66)","0.67(-0.69,2.05)","0.3792","0.5326","0.2227","0.3367","1.0011","1.0000","1.0014","1.0001",3326,2842,2822,2888,3111,3082,3069,3307
"C50","2000_2005","2006_2010",5,"RUCC3_EQI_Air","0.00","2.25(1.30,3.19)***","2.81(1.80,3.80)***","2.95(1.86,4.07)***","2.74(0.78,4.73)**","0.0002","0.0002","0.0002","0.0042","1.0006","1.0017","1.0011","1.0017",2282,1988,1997,3359,2834,2500,2488,3068
"C50","2000_2005","2006_2010",5,"RUCC3_EQI_Water","0.00","-0.27(-1.29,0.77)","-0.18(-1.20,0.81)","-0.16(-1.14,0.81)","-0.15(-1.21,0.87)","0.6066","0.7506","0.7461","0.7976","1.0016","1.0005","1.0010","1.0010",2084,1971,2067,2194,2872,2968,2677,2371
"C50","2000_2005","2006_2010",5,"RUCC3_EQI_Land","0.00","0.01(-0.89,0.87)","0.27(-0.67,1.23)","0.41(-0.63,1.47)","0.53(-0.59,1.67)","0.9885","0.6031","0.4421","0.3627","1.0015","1.0014","1.0018","1.0024",2697,2473,2137,2152,3184,2646,2577,2690
"C50","2000_2005","2006_2010",5,"RUCC3_EQI_Built","0.00","-0.10(-1.21,0.94)","0.17(-0.91,1.22)","-0.02(-1.09,1.05)","-0.24(-1.40,0.92)","0.8630","0.7401","0.9860","0.6691","1.0014","1.0020","1.0011","1.0007",2068,1891,1852,1808,2808,2546,2832,2596
"C50","2000_2005","2006_2010",5,"RUCC3_EQI_Social","0.00","-0.53(-1.38,0.29)","-0.97(-1.91,-0.06)*","-0.32(-1.42,0.78)","-1.28(-2.69,0.09)","0.2102","0.0337","0.5626","0.0692","1.0019","1.0026","1.0020","1.0020",3129,2183,1928,1996,2921,2563,2700,2698
"C50","2000_2005","2006_2010",5,"RUCC4_EQI","0.00","3.14(1.99,4.31)***","3.41(1.97,4.88)***","4.98(2.69,7.39)***","6.41(1.05,12.49)*","0.0002","0.0002","0.0002","0.0207","1.0009","1.0005","1.0012","1.0015",6717,5441,5188,6740,3073,3360,3222,2824
"C50","2000_2005","2006_2010",5,"RUCC4_EQI_Air","0.00","3.60(1.95,5.19)***","3.82(1.79,5.80)***","2.84(-0.66,6.29)","-0.13(-10.10,9.62)","0.0002","0.0007","0.1017","0.9855","1.0028","1.0009","1.0004","1.0014",2310,2966,4713,7775,2931,3186,2931,2715
"C50","2000_2005","2006_2010",5,"RUCC4_EQI_Water","0.00","0.26(-1.15,1.70)","1.45(-0.21,3.24)","1.77(0.08,3.51)*","2.28(0.36,4.22)*","0.7361","0.0872","0.0422","0.0227","1.0012","1.0016","1.0006","1.0016",2083,1768,1966,2104,2742,2598,2724,2777
"C50","2000_2005","2006_2010",5,"RUCC4_EQI_Land","0.00","0.06(-1.50,1.55)","-0.38(-1.92,1.12)","-0.93(-2.59,0.71)","-0.29(-2.11,1.58)","0.9400","0.6336","0.2722","0.7431","1.0028","1.0028","1.0035","1.0021",2508,2329,2101,2301,3039,2878,2948,2876
"C50","2000_2005","2006_2010",5,"RUCC4_EQI_Built","0.00","1.59(0.44,2.74)**","1.88(0.51,3.25)**","1.33(-0.29,3.00)","1.76(-0.13,3.60)","0.0037","0.0062","0.1117","0.0662","1.0001","1.0010","1.0004","1.0005",4964,4555,4215,5090,3277,3159,3156,3097
"C50","2000_2005","2006_2010",5,"RUCC4_EQI_Social","0.00","-0.07(-1.29,1.16)","0.70(-0.72,2.09)","1.26(-0.44,2.92)","4.15(1.72,6.54)**","0.9140","0.3377","0.1397","0.0012","1.0008","1.0018","1.0001","1.0015",3324,2692,2851,3512,3042,3026,3028,3210
