ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C64_C68,2000_2005,2006_2010,5,EQI,0.00,"-0.15(-0.68,0.39)","0.22(-0.32,0.75)","0.42(-0.14,0.97)","0.60(0.01,1.17)*"
"C64_C68","2000_2005","2006_2010",5,"EQI_Air","0.00","0.30(-0.34,0.94)","0.29(-0.36,0.95)","0.46(-0.18,1.11)","0.50(-0.17,1.17)"
"C64_C68","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.49(-1.08,0.12)","-0.07(-0.65,0.52)","-0.38(-0.93,0.21)","-0.46(-1.05,0.13)"
"C64_C68","2000_2005","2006_2010",5,"EQI_Land","0.00","0.65(0.15,1.16)*","0.81(0.27,1.33)**","1.02(0.43,1.57)**","0.97(0.36,1.58)**"
"C64_C68","2000_2005","2006_2010",5,"EQI_Built","0.00","0.57(0.05,1.11)*","0.50(-0.03,1.07)","0.41(-0.13,0.98)","0.34(-0.23,0.95)"
"C64_C68","2000_2005","2006_2010",5,"EQI_Social","0.00","0.08(-0.41,0.57)","0.27(-0.26,0.79)","0.35(-0.22,0.94)","0.41(-0.20,1.03)"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","-0.55(-1.34,0.24)","0.45(-0.29,1.20)","0.94(0.20,1.67)*","1.27(0.53,2.01)***"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","-3.02(-4.18,-1.83)***","-1.78(-2.89,-0.68)**","-1.86(-2.90,-0.76)***","-1.61(-2.67,-0.52)**"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.21(-0.75,0.31)","-0.19(-0.67,0.27)","0.03(-0.44,0.48)","-0.03(-0.51,0.45)"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.31(-0.12,0.75)","0.52(0.08,0.96)*","0.69(0.23,1.16)**","0.54(0.09,1.00)*"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.50(-0.01,1.04)","0.97(0.44,1.53)***","1.04(0.51,1.59)***","0.97(0.43,1.53)***"
"C64_C68","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","0.05(-0.61,0.69)","0.60(-0.00,1.18)","0.50(-0.09,1.05)","0.77(0.20,1.32)**"
"C64_C68","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","-0.26(-1.64,1.08)","1.72(0.40,3.00)*","1.82(0.51,3.05)**","1.64(0.37,2.89)*"
"C64_C68","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","1.51(-0.60,3.35)","1.60(-0.40,3.40)","2.25(0.31,4.02)*","2.07(0.06,3.86)*"
"C64_C68","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","0.67(-0.52,1.82)","0.52(-0.48,1.50)","0.49(-0.42,1.37)","0.23(-0.60,1.09)"
