ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F03,2000_2005,2006_2010,5,EQI,0.00,"4.14(2.89,5.35)***","6.57(5.28,7.85)***","8.07(6.70,9.40)***","11.54(10.03,13.04)***",0.0002,0.0002,0.0002,0.0002,1.0010,1.0017,1.0015,1.0026,2936,2432,2075,1908,2563,2466,2731,2620
"F03","2000_2005","2006_2010",5,"EQI_Air","0.00","2.55(1.22,3.89)***","3.54(2.12,4.95)***","5.89(4.35,7.37)***","7.57(5.88,9.26)***","0.0007","0.0002","0.0002","0.0002","1.0008","1.0001","1.0008","1.0008",2453,1920,1737,1726,2817,2336,2534,2413
"F03","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.48(-2.20,1.23)","1.63(-0.14,3.41)","1.11(-0.65,2.89)","3.08(1.19,4.93)***","0.5656","0.0652","0.2112","0.0007","1.0021","1.0024","1.0020","1.0014",1467,1411,1328,1304,2419,2147,2412,2518
"F03","2000_2005","2006_2010",5,"EQI_Land","0.00","1.65(0.41,2.89)*","1.66(0.25,3.07)*","1.08(-0.47,2.63)","0.39(-1.24,2.00)","0.0122","0.0192","0.1617","0.6486","1.0009","1.0016","1.0027","1.0014",2957,2362,2201,2257,2827,2960,2865,2868
"F03","2000_2005","2006_2010",5,"EQI_Built","0.00","1.17(-0.08,2.42)","1.01(-0.23,2.27)","1.63(0.35,2.95)*","0.62(-0.76,2.05)","0.0622","0.1082","0.0177","0.3572","1.0004","0.9997","1.0007","1.0016",2491,2313,1995,1868,2744,2667,2631,2478
"F03","2000_2005","2006_2010",5,"EQI_Social","0.00","2.34(1.14,3.54)***","3.36(2.04,4.62)***","4.33(2.99,5.69)***","6.36(4.79,7.89)***","0.0007","0.0002","0.0002","0.0002","1.0015","1.0000","1.0004","1.0010",2984,2454,2342,2137,2679,2796,2986,2810
"F03","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","1.13(-1.71,3.83)","4.32(1.66,6.93)**","5.07(2.44,7.71)***","8.04(5.46,10.66)***","0.4381","0.0027","0.0002","0.0002","1.0001","1.0001","1.0004","1.0006",2586,2344,2026,1857,2778,2816,2708,2638
"F03","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","4.16(0.30,8.00)*","3.51(-0.08,7.10)","5.64(2.17,9.18)**","6.91(3.32,10.48)***","0.0317","0.0587","0.0022","0.0002","1.0002","1.0006","1.0013","1.0022",1886,1620,1503,1471,2649,2251,2239,2103
"F03","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.83(-1.95,3.63)","1.69(-1.06,4.40)","1.71(-1.00,4.37)","2.59(-0.23,5.33)","0.5541","0.2157","0.2107","0.0687","1.0015","1.0019","1.0015","1.0002",1655,1430,1469,1388,2660,2127,2070,2096
"F03","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.56(-1.50,2.66)","0.39(-1.79,2.53)","-0.65(-3.14,1.80)","-1.02(-3.63,1.53)","0.5946","0.7231","0.6026","0.4436","1.0006","1.0013","1.0020","1.0016",2387,2053,1795,1783,3033,2066,2590,2370
"F03","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.67(-1.35,2.78)","1.23(-1.04,3.49)","1.42(-0.76,3.62)","1.02(-1.29,3.33)","0.5236","0.2937","0.2202","0.3717","1.0038","1.0051","1.0047","1.0052",2062,1994,1790,1662,2612,2437,2580,2491
"F03","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","0.35(-2.41,3.11)","1.69(-0.90,4.26)","3.36(0.74,5.89)*","5.76(3.21,8.20)***","0.7976","0.1982","0.0117","0.0002","1.0001","1.0016","1.0027","1.0015",2464,1901,1931,1916,2693,2725,2672,2841
"F03","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","0.35(-4.12,4.64)","4.03(0.10,8.07)*","4.65(0.53,8.78)*","5.88(1.79,10.11)**","0.8605","0.0457","0.0247","0.0042","1.0016","1.0017","1.0015","1.0016",3408,2812,2708,2680,2934,3048,2708,2857
"F03","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","-1.70(-6.80,3.32)","0.14(-4.43,4.67)","3.99(-0.58,8.59)","4.76(-0.10,9.59)","0.5151","0.9560","0.0827","0.0547","0.9999","1.0002","1.0006","1.0013",1929,1647,1521,1466,3086,2769,2514,2482
"F03","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","3.96(-0.20,8.23)","0.81(-3.03,4.67)","2.60(-0.81,5.96)","5.84(2.10,9.28)**","0.0667","0.6691","0.1257","0.0022","1.0005","1.0028","1.0004","1.0010",2075,2405,2155,1689,2962,3090,2730,2365
"F03","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","3.58(0.49,6.60)*","1.83(-1.34,5.10)","-1.13(-4.41,2.10)","0.20(-3.40,3.75)","0.0202","0.2692","0.4931","0.9205","1.0000","1.0004","1.0005","1.0006",3750,2706,2313,2333,3045,2876,2894,2784
"F03","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","0.56(-4.56,5.67)","1.83(-2.86,6.47)","2.42(-2.09,6.89)","0.68(-3.80,5.28)","0.8215","0.4586","0.2977","0.7831","1.0008","1.0008","1.0007","1.0016",2072,1628,1633,1686,2846,2675,2468,2391
