ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I60_I69,2000_2005,2006_2010,5,EQI,0.00,"5.43(3.97,6.94)","5.10(3.69,6.57)","3.67(2.24,5.19)","0.51(-1.04,2.02)",0.0002,0.0002,0.0002,0.5311,1.0007,1.0008,1.0009,1.0001,2623,2371,2138,2185,2917,2649,2484,2715
"I60_I69","2000_2005","2006_2010",5,"EQI_Air","0.00","6.32(4.74,7.89)","7.02(5.43,8.58)","6.74(5.16,8.38)","5.04(3.22,6.87)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0025","1.0038","1.0043",1651,1608,1381,1359,2162,2671,2049,2382
"I60_I69","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.15(-2.04,1.73)","1.30(-0.60,3.19)","1.20(-0.78,3.04)","1.19(-0.88,3.19)","0.9035","0.1962","0.2257","0.2582","1.0038","1.0032","1.0026","1.0025",1069,1015,1067,1068,2313,1743,1818,1948
"I60_I69","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.61(-1.96,0.70)","0.28(-1.17,1.74)","0.78(-0.88,2.44)","1.02(-0.75,2.76)","0.3827","0.7126","0.3652","0.2662","1.0011","1.0019","1.0024","1.0027",1972,1777,1580,1446,2631,2493,2381,2074
"I60_I69","2000_2005","2006_2010",5,"EQI_Built","0.00","4.84(3.38,6.32)","5.20(3.79,6.66)","4.95(3.49,6.46)","4.03(2.52,5.55)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0025","1.0018","1.0013",2217,1874,1855,1812,2337,2195,2242,2019
"I60_I69","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.67(-2.04,0.75)","-3.06(-4.51,-1.63)","-4.17(-5.73,-2.67)","-7.59(-9.16,-5.98)","0.3197","0.0002","0.0002","0.0002","1.0013","1.0021","1.0021","1.0033",1761,1369,1368,1303,2477,2442,2177,2297
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","-1.32(-4.05,1.46)","0.99(-1.48,3.53)","0.13(-2.29,2.64)","-3.64(-6.08,-1.12)","0.3322","0.4251","0.9180","0.0062","1.0010","1.0026","1.0034","1.0035",1536,1325,1266,1189,2267,2449,2257,1877
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","6.14(2.42,9.89)","5.56(2.16,9.00)","5.54(2.14,9.01)","5.22(1.87,8.81)","0.0017","0.0002","0.0007","0.0017","1.0029","1.0008","1.0014","1.0014",1910,1800,1685,1643,2840,2508,2484,2461
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.28(-1.90,2.61)","-0.47(-2.49,1.69)","1.15(-0.93,3.14)","0.87(-1.23,2.94)","0.8240","0.6686","0.2592","0.4296","1.0008","1.0026","1.0018","1.0020",2380,2055,2194,2054,2965,2339,2628,2539
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-1.33(-2.95,0.35)","-0.45(-2.12,1.24)","-1.94(-3.80,-0.03)","-1.68(-3.63,0.30)","0.1087","0.5976","0.0462","0.0967","1.0008","1.0014","1.0012","1.0005",3253,2823,2475,2572,3197,3114,2691,2408
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","1.00(-0.84,2.81)","-0.33(-2.20,1.53)","-0.02(-1.89,1.80)","-0.63(-2.55,1.24)","0.2932","0.7381","0.9915","0.5311","0.9998","1.0004","1.0002","0.9998",2748,2559,2189,2297,3157,3079,2895,2814
"I60_I69","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","3.40(1.15,5.65)","1.58(-0.55,3.62)","-0.48(-2.63,1.56)","-3.41(-5.48,-1.45)","0.0042","0.1382","0.6541","0.0012","1.0009","1.0010","1.0008","1.0010",2789,2601,2496,2523,2945,2780,2919,2604
"I60_I69","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","8.98(4.74,13.20)","10.35(6.46,14.28)","6.77(2.80,10.70)","2.85(-1.19,6.95)","0.0002","0.0002","0.0007","0.1772","1.0011","1.0011","1.0011","1.0007",2556,1949,1931,2007,2991,2367,2485,2384
"I60_I69","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","3.47(-1.30,8.65)","6.66(2.00,11.25)","8.16(3.73,12.70)","7.39(2.66,12.13)","0.1752","0.0072","0.0002","0.0027","1.0023","1.0041","1.0030","1.0049",1878,1459,1343,1362,2427,2328,2026,1937
"I60_I69","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","5.72(1.38,9.98)","6.42(2.51,10.35)","1.51(-2.06,5.22)","0.27(-3.44,3.97)","0.0122","0.0007","0.4141","0.8820","1.0008","1.0014","1.0018","1.0032",2571,2156,2140,1962,3035,2760,2483,2625
"I60_I69","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","2.58(-0.46,5.79)","2.68(-0.65,6.06)","4.36(1.04,7.76)","4.05(0.38,7.75)","0.0967","0.1187","0.0097","0.0272","1.0001","1.0000","1.0014","1.0017",2851,2255,1970,2103,2904,2862,2458,2732
