ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J45,2000_2005,2006_2010,5,EQI,0.00,"0.17(0.11,0.23)","0.36(0.30,0.43)","0.56(0.49,0.64)","0.69(0.62,0.77)",0.0002,0.0002,0.0002,0.0002,1.0013,1.0010,1.0018,1.0024,2599,2321,2466,2169,3109,3088,3020,2981
"J45","2000_2005","2006_2010",5,"EQI_Air","0.00","0.24(0.18,0.31)","0.40(0.33,0.47)","0.58(0.50,0.65)","0.80(0.71,0.88)","0.0002","0.0002","0.0002","0.0002","0.9999","1.0003","1.0016","1.0018",2192,1915,1620,1573,2758,2674,2279,2483
"J45","2000_2005","2006_2010",5,"EQI_Water","0.00","0.01(-0.07,0.09)","0.02(-0.06,0.10)","0.04(-0.04,0.12)","0.05(-0.04,0.14)","0.8260","0.6106","0.3512","0.2642","1.0009","1.0014","1.0023","1.0018",1507,1311,1025,1166,2488,2531,2290,2203
"J45","2000_2005","2006_2010",5,"EQI_Land","0.00","0.06(-0.01,0.12)","0.03(-0.04,0.10)","0.03(-0.04,0.11)","0.03(-0.05,0.11)","0.1077","0.3527","0.3997","0.5071","1.0018","1.0013","1.0012","1.0022",2298,1960,1816,1640,3038,2516,2342,2669
"J45","2000_2005","2006_2010",5,"EQI_Built","0.00","0.09(0.03,0.15)","0.14(0.08,0.20)","0.19(0.13,0.26)","0.18(0.12,0.25)","0.0037","0.0002","0.0002","0.0002","1.0000","1.0000","1.0013","1.0011",2902,2484,2356,2000,2913,3083,2826,2714
"J45","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.05(-0.11,0.01)","-0.07(-0.13,-0.00)","-0.04(-0.11,0.03)","-0.13(-0.21,-0.05)","0.0847","0.0482","0.3077","0.0032","1.0000","1.0005","0.9997","1.0000",2537,2298,1926,1910,3041,2697,2575,2907
"J45","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.18(0.00,0.35)","0.40(0.24,0.57)","0.51(0.35,0.68)","0.50(0.34,0.66)","0.0447","0.0002","0.0002","0.0002","1.0001","1.0007","1.0008","1.0006",2264,2075,1889,1860,2902,2825,2788,2682
"J45","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","0.14(-0.11,0.39)","0.38(0.14,0.62)","0.36(0.12,0.60)","0.54(0.29,0.78)","0.2767","0.0007","0.0042","0.0002","1.0009","1.0014","1.0006","1.0011",2393,2182,2068,2046,2971,2390,2445,2594
"J45","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.10(-0.05,0.24)","0.10(-0.05,0.24)","0.12(-0.02,0.26)","0.11(-0.04,0.25)","0.1822","0.1647","0.1007","0.1352","1.0006","1.0017","1.0010","1.0025",3022,2673,2805,2539,3117,2981,2971,2871
"J45","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.03(-0.10,0.16)","0.01(-0.13,0.14)","-0.08(-0.22,0.06)","0.01(-0.13,0.16)","0.6756","0.8835","0.2867","0.8855","1.0003","1.0017","1.0011","1.0006",3507,3013,2612,2754,3252,2951,2902,2815
"J45","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.24(0.12,0.37)","0.39(0.26,0.53)","0.37(0.23,0.51)","0.42(0.29,0.56)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0003","1.0025","1.0020",3499,2737,2856,2685,3150,3010,2985,2985
"J45","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","-0.18(-0.36,-0.00)","-0.24(-0.41,-0.07)","-0.27(-0.43,-0.10)","-0.41(-0.57,-0.24)","0.0442","0.0067","0.0042","0.0002","0.9999","1.0009","1.0011","1.0002",2783,2221,2189,2035,3034,2385,2478,2319
"J45","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","-0.59(-1.25,0.04)","-0.40(-1.04,0.23)","-0.54(-1.17,0.08)","-0.45(-1.08,0.17)","0.0642","0.2217","0.0852","0.1627","1.0016","1.0017","1.0018","1.0018",1197,1065,1041,1043,1840,1905,1858,1721
"J45","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","-1.10(-2.17,-0.04)","-1.13(-2.19,-0.12)","-0.83(-1.90,0.17)","-0.95(-2.02,0.08)","0.0402","0.0217","0.1192","0.0742","1.0024","1.0031","1.0026","1.0022",1185,1116,1107,1111,1688,1764,1671,1659
"J45","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","-0.11(-0.47,0.26)","0.10(-0.23,0.46)","0.06(-0.26,0.38)","0.06(-0.24,0.36)","0.5376","0.5771","0.7096","0.6731","1.0009","1.0009","1.0002","1.0001",2382,2409,2333,2199,2326,2718,2907,2636
"J45","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","0.21(-0.10,0.56)","0.07(-0.26,0.40)","-0.06(-0.37,0.25)","0.15(-0.19,0.50)","0.2082","0.6626","0.6826","0.4011","1.0015","1.0012","1.0015","1.0005",2739,2326,2052,2044,2935,3046,2870,2920
"J45","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","-0.35(-1.34,0.59)","-0.27(-1.19,0.63)","-0.15(-1.07,0.75)","-0.28(-1.21,0.62)","0.4796","0.5736","0.7646","0.5576","1.0046","1.0049","1.0044","1.0048",1177,1159,1174,1170,1904,1744,1639,1838
"J45","2000_2005","2006_2010",5,"RUCC2_EQI_Social","0.00","-0.14(-0.49,0.20)","-0.24(-0.60,0.12)","-0.23(-0.60,0.13)","-0.31(-0.70,0.08)","0.4346","0.1772","0.1997","0.1152","1.0015","1.0017","1.0020","1.0015",2105,1869,1832,1980,2801,2193,2806,2466
"J45","2000_2005","2006_2010",5,"RUCC3_EQI","0.00","0.10(-0.01,0.22)","0.12(-0.01,0.24)","0.22(0.09,0.36)","0.11(-0.06,0.30)","0.0662","0.0677","0.0017","0.2102","0.9998","1.0002","1.0003","0.9995",2453,1771,1750,2516,3022,2455,2505,2930
"J45","2000_2005","2006_2010",5,"RUCC3_EQI_Air","0.00","0.16(0.05,0.27)","0.21(0.08,0.33)","0.32(0.17,0.47)","0.41(0.11,0.72)","0.0062","0.0027","0.0002","0.0082","1.0026","1.0023","1.0007","1.0007",2797,2554,2756,3593,2719,2969,2830,3098
"J45","2000_2005","2006_2010",5,"RUCC3_EQI_Water","0.00","-0.06(-0.20,0.10)","-0.04(-0.19,0.11)","-0.07(-0.22,0.08)","-0.06(-0.22,0.11)","0.4571","0.5691","0.3397","0.4681","1.0025","1.0008","1.0010","1.0014",1903,1639,1725,1976,2326,2126,2215,2319
"J45","2000_2005","2006_2010",5,"RUCC3_EQI_Land","0.00","0.05(-0.07,0.18)","0.06(-0.07,0.20)","0.17(0.03,0.32)","0.00(-0.15,0.16)","0.3922","0.3772","0.0187","0.9875","1.0003","1.0009","1.0007","0.9995",2935,2556,2480,2396,3254,3382,3287,3059
"J45","2000_2005","2006_2010",5,"RUCC3_EQI_Built","0.00","0.03(-0.11,0.17)","0.09(-0.05,0.23)","0.09(-0.06,0.23)","0.07(-0.09,0.22)","0.6641","0.1867","0.2472","0.4056","1.0023","1.0016","1.0025","1.0016",2402,2420,2333,2526,2984,2915,2986,2843
"J45","2000_2005","2006_2010",5,"RUCC3_EQI_Social","0.00","-0.10(-0.21,0.02)","-0.10(-0.23,0.04)","-0.12(-0.27,0.03)","-0.17(-0.36,0.01)","0.0997","0.1552","0.1297","0.0682","0.9996","1.0012","1.0005","1.0008",3351,2717,2553,2814,3046,2921,2664,2897
