ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J60_J66,2000_2005,2006_2010,5,EQI,0.00,"0.02(0.00,0.04)*","0.06(0.04,0.07)***","0.08(0.06,0.10)***","0.13(0.11,0.15)***",0.0132,0.0002,0.0002,0.0002,1.0013,1.0008,1.0020,1.0013,2237,1907,1886,1523,2559,2565,3153,2434
"J60_J66","2000_2005","2006_2010",5,"EQI_Air","0.00","0.01(-0.01,0.03)","0.04(0.02,0.06)***","0.09(0.07,0.11)***","0.16(0.13,0.18)***","0.1937","0.0002","0.0002","0.0002","1.0000","1.0007","1.0005","1.0008",2024,1662,1508,1502,2688,2475,2441,2231
"J60_J66","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.01(-0.03,0.01)","-0.00(-0.02,0.02)","-0.00(-0.03,0.02)","0.00(-0.03,0.03)","0.3972","0.9965","0.7536","0.9810","1.0013","1.0020","1.0023","1.0024",1458,1301,1301,1263,2202,1986,1845,1838
"J60_J66","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.03(-0.04,-0.01)**","-0.02(-0.04,0.00)","-0.06(-0.08,-0.03)***","-0.05(-0.08,-0.03)***","0.0062","0.1292","0.0002","0.0002","1.0002","1.0002","1.0004","1.0005",2546,2126,1693,1681,3171,2662,2578,2504
"J60_J66","2000_2005","2006_2010",5,"EQI_Built","0.00","0.00(-0.01,0.02)","0.01(-0.01,0.03)","0.02(0.01,0.04)**","0.03(0.01,0.05)**","0.6526","0.2247","0.0087","0.0027","1.0004","1.0001","1.0007","1.0005",2643,2497,2165,2103,2632,2883,2462,2410
"J60_J66","2000_2005","2006_2010",5,"EQI_Social","0.00","0.01(-0.01,0.03)","0.00(-0.01,0.02)","0.01(-0.02,0.03)","0.00(-0.02,0.03)","0.3767","0.6166","0.5461","0.6871","0.9999","1.0001","1.0001","1.0011",2278,1898,1886,1630,2821,2322,2349,2180
"J60_J66","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.05(-0.01,0.11)","0.09(0.04,0.14)***","0.14(0.09,0.20)***","0.18(0.12,0.24)***","0.0992","0.0002","0.0002","0.0002","1.0021","1.0023","1.0030","1.0028",2263,2315,2008,1765,2750,2607,2597,2216
"J60_J66","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","0.01(-0.08,0.09)","0.06(-0.02,0.15)","0.13(0.04,0.21)**","0.19(0.10,0.28)***","0.8570","0.1387","0.0017","0.0002","1.0012","1.0018","1.0012","1.0012",1736,1664,1595,1608,2163,2192,2138,2041
"J60_J66","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.00(-0.06,0.05)","0.01(-0.05,0.06)","0.02(-0.03,0.08)","0.03(-0.03,0.09)","0.9830","0.8210","0.4106","0.3162","1.0007","1.0000","1.0006","1.0009",2154,1946,2138,2086,2965,2646,2764,2905
"J60_J66","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-0.07(-0.11,-0.02)**","-0.02(-0.06,0.03)","-0.05(-0.11,0.00)","-0.05(-0.10,0.01)","0.0012","0.4751","0.0622","0.0827","1.0004","0.9998","1.0004","1.0007",3327,3131,2700,2553,3375,3213,3236,2842
