ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N15,2000_2005,2006_2010,5,EQI,0.00,"0.40(0.28,0.52)","0.73(0.60,0.85)","0.95(0.81,1.09)","1.04(0.90,1.18)",0.0002,0.0002,0.0002,0.0002,1.0021,1.0012,1.0018,1.0013,2887,2755,2509,2398,3008,2751,2933,2585
"N00_N15","2000_2005","2006_2010",5,"EQI_Air","0.00","0.45(0.32,0.57)","0.79(0.66,0.93)","1.21(1.07,1.36)","1.23(1.07,1.38)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0023","1.0040","1.0023",2265,1853,1574,1444,3024,2655,2664,2469
"N00_N15","2000_2005","2006_2010",5,"EQI_Water","0.00","0.10(-0.05,0.25)","0.28(0.13,0.44)","0.34(0.18,0.50)","0.30(0.15,0.47)","0.1697","0.0002","0.0002","0.0007","1.0022","1.0010","1.0015","1.0031",1510,1562,1638,1440,2299,2232,1855,2364
"N00_N15","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.03(-0.16,0.09)","-0.00(-0.13,0.13)","-0.05(-0.20,0.10)","-0.02(-0.18,0.13)","0.6426","0.9730","0.5381","0.7846","1.0002","1.0001","1.0006","1.0005",2677,2121,1792,1858,3181,2794,2434,2733
"N00_N15","2000_2005","2006_2010",5,"EQI_Built","0.00","0.12(0.00,0.23)","0.31(0.19,0.43)","0.33(0.20,0.46)","0.22(0.09,0.35)","0.0472","0.0002","0.0002","0.0012","1.0016","1.0031","1.0020","1.0022",2853,2652,2631,2294,2886,2937,3060,2914
"N00_N15","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.02(-0.14,0.10)","-0.13(-0.25,0.00)","-0.16(-0.30,-0.02)","-0.29(-0.44,-0.14)","0.7331","0.0537","0.0267","0.0002","1.0000","1.0004","1.0001","1.0009",2722,2326,2207,1958,3135,2465,2966,2512
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.37(0.07,0.67)","0.68(0.40,0.96)","0.86(0.58,1.13)","0.82(0.54,1.08)","0.0137","0.0002","0.0002","0.0002","1.0000","1.0001","1.0010","1.0009",1872,1743,1594,1457,2988,2491,2082,2169
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","0.24(-0.19,0.64)","0.63(0.25,1.02)","0.94(0.54,1.34)","0.99(0.59,1.39)","0.2762","0.0012","0.0002","0.0002","1.0001","1.0005","1.0001","1.0008",2291,2225,2099,1993,2919,2859,2567,2534
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.08(-0.17,0.33)","0.41(0.19,0.65)","0.34(0.11,0.56)","0.31(0.09,0.53)","0.5126","0.0002","0.0037","0.0047","1.0007","1.0008","1.0005","1.0009",3200,2661,2766,2501,3272,3236,3029,3251
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-0.16(-0.37,0.06)","-0.14(-0.36,0.08)","-0.35(-0.59,-0.12)","-0.23(-0.47,0.01)","0.1507","0.2117","0.0037","0.0647","0.9997","0.9997","1.0005","1.0008",3583,3136,2828,2853,3614,3324,2683,3272
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.16(-0.07,0.39)","0.29(0.05,0.52)","0.31(0.07,0.54)","0.27(0.04,0.51)","0.1742","0.0217","0.0082","0.0277","1.0002","1.0004","1.0019","1.0010",3617,3040,2710,2678,3510,3227,3140,2818
"N00_N15","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","0.09(-0.22,0.40)","-0.12(-0.41,0.17)","-0.08(-0.36,0.20)","-0.27(-0.54,0.01)","0.5646","0.4141","0.5756","0.0597","1.0002","1.0003","1.0006","1.0020",2487,2527,2399,2402,3071,2966,3216,2712
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","0.40(-0.37,1.14)","0.41(-0.30,1.14)","0.26(-0.43,0.96)","0.31(-0.39,1.02)","0.3052","0.2492","0.4646","0.3727","1.0028","1.0040","1.0036","1.0041",1799,1556,1484,1569,1939,2066,1960,2049
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","-0.09(-1.21,0.98)","0.10(-0.96,1.14)","0.69(-0.34,1.68)","0.78(-0.29,1.79)","0.8720","0.8360","0.2002","0.1462","1.0030","1.0039","1.0035","1.0035",1238,1204,1193,1230,2029,2179,1972,2079
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","0.28(-0.26,0.82)","0.31(-0.16,0.78)","0.21(-0.22,0.64)","0.31(-0.10,0.71)","0.2982","0.1922","0.3397","0.1467","1.0015","1.0008","1.0010","1.0006",2712,2534,2363,2322,2388,2793,2995,2873
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","-0.16(-0.60,0.29)","0.00(-0.48,0.47)","-0.03(-0.48,0.40)","0.03(-0.47,0.52)","0.5001","0.9850","0.8945","0.8735","1.0013","1.0014","1.0018","1.0010",2324,2595,2428,2468,2951,3149,2777,3112
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","0.41(-0.70,1.47)","0.46(-0.56,1.45)","0.25(-0.75,1.24)","0.34(-0.67,1.32)","0.4441","0.3497","0.6301","0.4981","1.0033","1.0030","1.0035","1.0037",1061,1029,1077,1089,1980,1600,1874,2097
"N00_N15","2000_2005","2006_2010",5,"RUCC2_EQI_Social","0.00","-0.21(-0.71,0.30)","-0.62(-1.15,-0.10)","-0.55(-1.11,-0.02)","-0.70(-1.27,-0.14)","0.4081","0.0182","0.0407","0.0152","1.0029","1.0025","1.0024","1.0031",1949,1715,1789,1827,2440,2584,2529,2673
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI","0.00","0.29(0.03,0.55)","0.41(0.13,0.70)","0.43(0.12,0.74)","0.26(-0.15,0.68)","0.0302","0.0057","0.0097","0.2372","1.0023","1.0009","1.0018","1.0010",1825,1599,1661,2202,2577,2527,2504,2597
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI_Air","0.00","0.39(0.14,0.64)","0.73(0.45,1.00)","1.14(0.81,1.47)","1.06(0.43,1.70)","0.0007","0.0002","0.0002","0.0002","1.0017","1.0031","1.0022","1.0017",1994,1702,1712,3020,2427,2251,2354,3219
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI_Water","0.00","-0.01(-0.32,0.30)","0.18(-0.13,0.49)","0.31(0.00,0.62)","0.28(-0.03,0.60)","0.9625","0.2492","0.0502","0.0792","1.0010","1.0017","1.0008","1.0013",2025,2020,1836,1971,2429,2626,2428,2184
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI_Land","0.00","0.10(-0.17,0.38)","0.13(-0.15,0.41)","0.16(-0.14,0.49)","0.18(-0.14,0.51)","0.4736","0.3682","0.2997","0.2872","1.0020","1.0012","1.0013","1.0008",2700,2305,2157,1937,2757,2372,2867,2319
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI_Built","0.00","-0.14(-0.45,0.16)","0.06(-0.25,0.36)","0.20(-0.13,0.53)","-0.07(-0.40,0.25)","0.3512","0.7211","0.2172","0.6716","1.0010","1.0015","1.0010","1.0012",2178,1973,1999,2151,2746,2474,2686,2798
"N00_N15","2000_2005","2006_2010",5,"RUCC3_EQI_Social","0.00","-0.03(-0.28,0.23)","-0.29(-0.57,-0.01)","-0.48(-0.80,-0.16)","-0.52(-0.91,-0.14)","0.8105","0.0452","0.0022","0.0087","1.0018","1.0007","1.0021","1.0013",2781,2226,2014,2447,3046,2895,2444,2816
"N00_N15","2000_2005","2006_2010",5,"RUCC4_EQI","0.00","0.12(-0.01,0.27)","0.23(0.05,0.42)","0.65(0.33,1.00)","0.50(-0.20,1.22)","0.0722","0.0092","0.0002","0.1602","1.0008","1.0011","1.0008","1.0007",4332,3691,4985,5513,3120,3163,3276,3111
"N00_N15","2000_2005","2006_2010",5,"RUCC4_EQI_Air","0.00","0.47(0.29,0.64)","0.65(0.40,0.88)","0.82(0.27,1.38)","-0.01(-9.78,10.10)","0.0002","0.0002","0.0032","0.9960","1.0003","1.0010","1.0011","1.0014",2537,4572,7538,10417,3181,2940,3031,2403
