ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C22,2000_2005,2006_2010,5,EQI,0.00,"1.17(0.89,1.45)***","1.96(1.66,2.26)***","2.31(2.02,2.60)***","2.93(2.62,3.25)***",0.0002,0.0002,0.0002,0.0002,1.0007,1.0012,1.0007,1.0001,3576,3527,2843,2347,3253,3454,3159,2956
"C22","2000_2005","2006_2010",5,"EQI_Air","0.00","2.24(1.94,2.55)***","2.80(2.49,3.12)***","2.92(2.61,3.24)***","3.30(2.96,3.63)***","0.0002","0.0002","0.0002","0.0002","1.0018","1.0022","1.0041","1.0035",2409,2105,1740,1605,2733,2571,2711,2575
"C22","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.12(-0.48,0.24)","0.18(-0.19,0.57)","0.29(-0.08,0.68)","0.28(-0.13,0.67)","0.5251","0.3412","0.1262","0.1752","1.0043","1.0046","1.0034","1.0048",1185,1101,1051,1141,2193,2104,1873,2141
"C22","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.01(-0.29,0.28)","0.04(-0.27,0.35)","-0.39(-0.73,-0.06)*","-0.09(-0.45,0.25)","0.9385","0.8085","0.0217","0.6146","1.0012","1.0007","1.0015","1.0012",2138,1808,1602,1581,3032,2700,2249,2507
"C22","2000_2005","2006_2010",5,"EQI_Built","0.00","0.72(0.45,0.99)***","1.01(0.72,1.30)***","0.86(0.58,1.14)***","1.09(0.79,1.40)***","0.0002","0.0002","0.0002","0.0002","1.0009","1.0011","1.0028","1.0020",2520,2293,1977,1954,2827,2963,2692,2648
"C22","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.39(-0.65,-0.11)**","-0.61(-0.90,-0.32)***","-0.47(-0.78,-0.16)**","-0.71(-1.06,-0.36)***","0.0087","0.0002","0.0042","0.0002","1.0021","1.0014","1.0023","1.0025",2262,1986,1765,1654,3145,2571,2773,2603
"C22","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.74(0.05,1.40)*","0.89(0.25,1.50)**","1.11(0.47,1.71)***","1.30(0.64,1.93)***","0.0362","0.0097","0.0007","0.0007","1.0020","1.0008","1.0009","1.0014",1625,1435,1334,1227,2612,2415,2325,1905
"C22","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","1.39(0.53,2.20)**","2.00(1.20,2.74)***","2.09(1.29,2.83)***","2.50(1.68,3.26)***","0.0027","0.0007","0.0002","0.0002","1.0012","1.0010","1.0015","1.0012",1909,1556,1476,1402,2594,2215,1991,1993
"C22","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.68(-1.14,-0.19)**","-0.28(-0.72,0.15)","-0.33(-0.76,0.10)","-0.34(-0.78,0.09)","0.0077","0.2237","0.1392","0.1277","1.0006","1.0018","1.0014","1.0012",1918,1915,1926,1890,2534,3058,2834,2818
"C22","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.21(-0.16,0.59)","0.15(-0.25,0.55)","-0.29(-0.72,0.15)","-0.16(-0.58,0.28)","0.2537","0.4711","0.1857","0.4731","1.0016","1.0014","1.0017","1.0012",2659,2187,1864,1959,2848,2946,2082,2224
