ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J43_J44,2000_2005,2006_2010,5,EQI,0.00,"4.12(2.61,5.59)***","4.34(2.83,5.83)***","4.76(3.19,6.28)***","5.64(3.99,7.29)***",0.0002,0.0002,0.0002,0.0002,1.0014,1.0000,1.0005,1.0015,2710,2461,2147,2073,2914,2838,2606,2913
"J43_J44","2000_2005","2006_2010",5,"EQI_Air","0.00","2.09(0.38,3.76)*","3.44(1.66,5.17)***","4.14(2.36,5.93)***","3.89(1.89,5.80)***","0.0127","0.0007","0.0002","0.0002","1.0019","1.0022","1.0017","1.0033",2183,1980,1721,1629,2787,2747,2627,2603
"J43_J44","2000_2005","2006_2010",5,"EQI_Water","0.00","-0.02(-2.08,2.00)","0.85(-1.22,2.92)","2.75(0.63,4.88)*","3.23(1.07,5.43)**","0.9845","0.4181","0.0137","0.0037","1.0020","1.0036","1.0028","1.0040",1751,1450,1470,1556,2650,1903,2298,2280
"J43_J44","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.64(-2.05,0.76)","0.39(-1.19,1.92)","-0.24(-1.97,1.50)","1.01(-0.90,2.85)","0.3732","0.6151","0.7881","0.2852","1.0018","1.0029","1.0017","1.0025",2460,1944,1901,1847,2587,3123,2296,2770
"J43_J44","2000_2005","2006_2010",5,"EQI_Built","0.00","1.87(0.29,3.37)*","2.07(0.54,3.57)**","2.22(0.67,3.76)**","1.69(0.01,3.33)*","0.0217","0.0097","0.0057","0.0482","1.0005","1.0007","1.0012","1.0009",2546,2110,2202,2127,3221,2782,3063,2617
"J43_J44","2000_2005","2006_2010",5,"EQI_Social","0.00","1.60(0.14,3.01)*","0.42(-1.13,1.96)","0.07(-1.62,1.71)","0.90(-0.92,2.69)","0.0332","0.5861","0.9175","0.3462","0.9999","1.0020","1.0014","1.0004",2747,2243,1997,1779,3193,3006,2860,2446
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.41(-2.29,3.05)","1.00(-1.52,3.53)","1.78(-0.63,4.24)","1.18(-1.31,3.67)","0.7556","0.4306","0.1502","0.3492","1.0019","1.0020","1.0026","1.0034",1715,1525,1422,1233,2605,2261,2237,2064
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","-1.35(-5.25,2.53)","-1.47(-5.06,2.10)","-0.06(-3.58,3.49)","-0.58(-4.10,2.97)","0.4901","0.4146","0.9760","0.7456","1.0013","1.0027","1.0025","1.0016",1529,1409,1282,1285,2243,1987,2100,2016
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","2.39(0.02,4.80)*","0.51(-1.78,2.80)","1.99(-0.27,4.32)","3.19(0.83,5.57)*","0.0482","0.6656","0.0892","0.0112","1.0023","1.0048","1.0026","1.0033",1412,1335,1383,1421,2118,2083,2408,2003
"J43_J44","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-0.70(-2.51,1.18)","-0.60(-2.52,1.31)","-0.36(-2.50,1.76)","0.41(-1.80,2.65)","0.4391","0.5506","0.7291","0.7066","1.0001","1.0005","1.0012","1.0011",2588,2126,1839,1700,2808,2781,2530,1974
