ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K71_K73_K74,2000_2005,2006_2010,5,EQI,0.00,"1.55(1.25,1.86)***","1.82(1.52,2.12)***","2.10(1.79,2.43)***","2.16(1.83,2.49)***",0.0002,0.0002,0.0002,0.0002,1.0002,1.0016,1.0005,1.0012,3024,2531,2327,1959,2647,3273,3017,2662
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Air","0.00","1.78(1.46,2.10)***","2.42(2.09,2.76)***","2.52(2.17,2.88)***","2.63(2.25,3.00)***","0.0002","0.0002","0.0002","0.0002","0.9999","1.0005","1.0012","1.0010",2173,1852,1469,1359,2466,2504,2648,2053
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Water","0.00","0.24(-0.12,0.61)","0.51(0.11,0.91)**","0.68(0.28,1.08)***","0.97(0.56,1.39)***","0.1932","0.0072","0.0002","0.0002","1.0029","1.0020","1.0016","1.0013",1231,1176,1081,1131,2032,2013,2082,1684
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.08(-0.39,0.24)","-0.06(-0.38,0.27)","-0.50(-0.86,-0.12)**","-0.56(-0.94,-0.17)**","0.6011","0.7216","0.0082","0.0047","1.0024","1.0020","1.0038","1.0039",1954,1593,1375,1437,2589,2438,2445,2192
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Built","0.00","1.02(0.74,1.30)***","1.25(0.95,1.54)***","1.24(0.93,1.54)***","1.12(0.81,1.43)***","0.0002","0.0002","0.0002","0.0002","1.0005","1.0021","1.0019","1.0024",2356,1990,1844,1700,2722,2585,2297,2330
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.68(-0.99,-0.37)***","-0.80(-1.11,-0.49)***","-0.99(-1.34,-0.66)***","-1.13(-1.50,-0.75)***","0.0002","0.0002","0.0002","0.0002","1.0017","1.0012","1.0022","1.0015",1973,1524,1264,1125,2449,2498,2025,1968
"K71_K73_K74","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","1.87(1.15,2.60)***","1.87(1.20,2.54)***","1.82(1.18,2.45)***","1.56(0.88,2.22)***","0.0002","0.0002","0.0002","0.0002","1.0029","1.0030","1.0038","1.0036",2074,1688,1531,1405,2009,2040,2102,1899
"K71_K73_K74","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","1.24(0.30,2.13)*","1.74(0.84,2.59)***","2.20(1.32,3.07)***","2.19(1.30,3.06)***","0.0117","0.0007","0.0002","0.0002","1.0012","1.0015","1.0019","1.0022",1625,1498,1342,1354,2418,2113,2152,2098
"K71_K73_K74","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.42(-0.09,0.95)","0.83(0.32,1.35)**","0.80(0.30,1.31)**","0.90(0.40,1.41)***","0.1162","0.0012","0.0032","0.0007","1.0006","1.0013","1.0018","1.0010",2044,1761,1600,1625,2541,2544,2354,2385
"K71_K73_K74","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.42(0.01,0.82)*","0.30(-0.11,0.71)","-0.21(-0.67,0.26)","-0.18(-0.68,0.33)","0.0457","0.1537","0.3822","0.4661","1.0010","1.0008","1.0009","1.0008",2448,1930,1775,1750,2972,2722,2652,2366
