ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,EQI,0.00,"1.97(1.09,2.85)***","1.51(0.68,2.34)***","1.33(0.45,2.23)**","1.34(0.39,2.28)**",0.0002,0.0002,0.0012,0.0032,1.0004,1.0013,1.0001,1.0001,2159,1800,1571,1439,2612,2461,2545,2087
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Air","0.00","2.98(2.08,3.91)***","3.09(2.16,4.00)***","3.36(2.38,4.30)***","3.92(2.87,4.95)***","0.0002","0.0002","0.0002","0.0002","1.0025","1.0043","1.0046","1.0042",1654,1356,1271,1241,2742,2378,2028,1909
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Water","0.00","-1.23(-2.30,-0.14)*","0.43(-0.64,1.56)","0.79(-0.29,1.97)","0.36(-0.80,1.55)","0.0267","0.4431","0.1722","0.5411","1.0043","1.0040","1.0066","1.0095",1258,1121,1096,1114,2136,1759,1703,2000
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.26(-1.07,0.55)","0.59(-0.29,1.44)","0.41(-0.57,1.36)","0.17(-0.84,1.18)","0.5056","0.1892","0.4141","0.7476","1.0018","1.0027","1.0029","1.0023",1790,1321,1058,1029,2112,2003,1767,2000
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Built","0.00","2.98(2.13,3.82)***","2.41(1.58,3.25)***","2.29(1.43,3.15)***","2.10(1.21,2.98)***","0.0002","0.0002","0.0002","0.0002","1.0026","1.0029","1.0022","1.0034",1759,1503,1472,1384,2141,2470,2289,2228
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Social","0.00","-2.18(-2.97,-1.41)***","-3.97(-4.78,-3.15)***","-4.09(-4.97,-3.24)***","-4.44(-5.40,-3.47)***","0.0002","0.0002","0.0002","0.0002","1.0027","1.0034","1.0050","1.0050",1983,1713,1420,1443,2621,2350,2018,2075
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","-0.31(-2.16,1.51)","-0.26(-1.87,1.37)","0.58(-1.10,2.22)","-0.32(-2.03,1.35)","0.7451","0.7491","0.4886","0.7016","1.0023","1.0016","1.0021","1.0033",1407,1332,1105,1127,2073,1844,2006,1681
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","-0.79(-3.58,1.95)","0.75(-1.87,3.41)","1.56(-1.08,4.16)","2.23(-0.38,4.83)","0.5966","0.5831","0.2442","0.0897","1.0002","1.0004","1.0006","1.0006",1674,1538,1465,1474,2258,1928,2143,1960
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-1.15(-2.56,0.23)","0.31(-1.06,1.68)","0.80(-0.54,2.14)","-0.12(-1.53,1.28)","0.1077","0.6311","0.2457","0.8610","1.0014","1.0018","1.0006","1.0019",1789,1675,1728,1477,2622,2307,2678,2375
"N00_N29_C64_C65","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-0.75(-1.82,0.30)","-0.41(-1.46,0.68)","-0.93(-2.15,0.31)","-0.84(-2.11,0.43)","0.1532","0.4561","0.1377","0.1947","1.0021","1.0029","1.0032","1.0032",2293,1777,1566,1560,2688,2961,2602,2623
