ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X70_X84,2000_2005,2006_2010,5,EQI,0.00,"2.71(2.20,3.23)***","4.37(3.83,4.90)***","5.05(4.51,5.59)***","5.44(4.84,6.03)***",0.0002,0.0002,0.0002,0.0002,1.0012,1.0010,1.0012,1.0021,2796,2199,2269,1756,2791,2757,2681,2074
"X70_X84","2000_2005","2006_2010",5,"EQI_Air","0.00","3.66(3.08,4.23)***","4.45(3.86,5.09)***","4.18(3.58,4.80)***","3.27(2.59,3.95)***","0.0002","0.0002","0.0002","0.0002","1.0009","0.9997","1.0003","1.0014",2085,1658,1364,1196,2828,2396,1870,1892
"X70_X84","2000_2005","2006_2010",5,"EQI_Water","0.00","0.48(-0.19,1.16)","1.40(0.71,2.10)***","1.17(0.48,1.89)**","1.60(0.85,2.36)***","0.1647","0.0002","0.0012","0.0002","1.0026","1.0035","1.0034","1.0024",1519,1379,1409,1379,2167,2340,2138,2382
"X70_X84","2000_2005","2006_2010",5,"EQI_Land","0.00","0.07(-0.44,0.59)","0.19(-0.35,0.73)","0.04(-0.60,0.65)","-0.32(-0.99,0.33)","0.7661","0.4901","0.9110","0.3402","1.0008","1.0002","1.0008","1.0013",2171,1651,1485,1347,3350,2439,2223,2379
"X70_X84","2000_2005","2006_2010",5,"EQI_Built","0.00","1.00(0.52,1.52)***","1.54(1.01,2.06)***","2.09(1.57,2.64)***","2.57(2.02,3.15)***","0.0002","0.0002","0.0002","0.0002","1.0026","1.0035","1.0034","1.0023",1804,1353,1406,1341,2131,2344,2493,1940
"X70_X84","2000_2005","2006_2010",5,"EQI_Social","0.00","0.13(-0.39,0.62)","0.32(-0.22,0.85)","0.91(0.34,1.50)**","1.43(0.80,2.09)***","0.6141","0.2332","0.0012","0.0007","1.0006","1.0025","1.0023","1.0026",2656,2265,1764,1738,3104,2632,2402,2783
"X70_X84","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","3.70(2.84,4.55)***","3.64(2.87,4.39)***","4.19(3.44,4.92)***","4.12(3.29,4.89)***","0.0002","0.0002","0.0002","0.0002","1.0025","1.0031","1.0029","1.0032",1779,1545,1435,1327,2769,2551,2185,1854
"X70_X84","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","1.56(0.02,3.06)*","3.20(1.70,4.56)***","2.73(1.28,4.10)***","1.87(0.38,3.28)*","0.0467","0.0002","0.0002","0.0162","1.0020","1.0019","1.0038","1.0036",1869,1720,1574,1503,2766,2337,2198,1985
"X70_X84","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.30(-0.49,1.11)","0.64(-0.09,1.41)","0.89(0.14,1.64)*","0.94(0.17,1.73)*","0.4476","0.0922","0.0182","0.0142","1.0011","1.0004","1.0024","1.0014",2210,2056,1939,1940,2667,2591,2655,2430
"X70_X84","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.42(-0.18,0.99)","0.31(-0.28,0.89)","0.34(-0.35,1.03)","0.26(-0.45,0.95)","0.1657","0.3157","0.3352","0.4646","1.0017","1.0032","1.0045","1.0059",2300,2069,1983,1849,3024,2868,2780,2831
