ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C30_C39,2000_2005,2006_2010,5,EQI,0.00,"3.74(2.36,5.12)***","3.16(1.85,4.49)***","3.70(2.31,5.04)***","5.52(4.00,7.10)***"
"C30_C39","2000_2005","2006_2010",5,"EQI_Air","0.00","3.76(2.32,5.19)***","5.64(4.18,7.11)***","6.82(5.29,8.36)***","8.23(6.52,9.89)***"
"C30_C39","2000_2005","2006_2010",5,"EQI_Water","0.00","0.27(-1.54,2.13)","1.13(-0.66,2.95)","0.63(-1.17,2.50)","0.54(-1.32,2.42)"
"C30_C39","2000_2005","2006_2010",5,"EQI_Land","0.00","-1.45(-2.64,-0.21)*","-1.05(-2.34,0.28)","-2.11(-3.60,-0.60)**","-2.46(-4.02,-0.92)**"
"C30_C39","2000_2005","2006_2010",5,"EQI_Built","0.00","1.33(0.04,2.59)*","0.74(-0.49,2.05)","0.77(-0.54,2.06)","0.75(-0.68,2.09)"
"C30_C39","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.50(-1.74,0.71)","-1.47(-2.77,-0.22)*","-0.94(-2.33,0.43)","-0.41(-1.93,1.11)"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","0.62(-1.76,3.04)","-0.02(-2.34,2.27)","0.51(-1.72,2.75)","2.32(0.06,4.58)*"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","1.05(-2.07,4.31)","3.42(0.36,6.47)*","3.88(0.92,6.98)**","5.30(2.28,8.43)**"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.90(-3.07,1.25)","0.51(-1.49,2.50)","-0.09(-2.13,1.91)","-0.43(-2.55,1.51)"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","-0.42(-1.92,1.07)","-1.03(-2.52,0.56)","-0.90(-2.58,0.89)","-1.21(-2.93,0.64)"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.48(-1.20,2.16)","-0.51(-2.26,1.27)","-0.82(-2.50,0.88)","-1.01(-2.78,0.73)"
"C30_C39","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","0.71(-1.32,2.71)","1.52(-0.31,3.39)","1.88(0.06,3.73)*","2.67(0.92,4.47)**"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","3.50(-0.52,7.44)","6.61(3.02,10.23)***","6.26(2.47,10.09)**","3.37(-0.41,7.19)"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","-1.60(-6.31,3.04)","2.01(-2.37,6.44)","4.53(0.25,8.86)*","5.48(0.99,10.02)*"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","-1.87(-5.86,2.09)","0.16(-3.43,3.82)","-1.89(-5.31,1.55)","-0.78(-4.19,2.78)"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","0.58(-2.28,3.46)","0.58(-2.23,3.55)","-0.44(-3.39,2.63)","-0.77(-4.07,2.51)"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","-1.44(-6.07,3.27)","-0.29(-4.52,4.11)","1.08(-3.19,5.41)","0.57(-3.71,4.98)"
"C30_C39","2000_2005","2006_2010",5,"RUCC2_EQI_Social","0.00","3.80(0.75,6.68)*","1.46(-1.71,4.56)","0.35(-2.80,3.49)","-0.29(-3.68,3.14)"
"C30_C39","2000_2005","2006_2010",5,"RUCC3_EQI","0.00","3.97(1.84,6.18)***","2.89(0.54,5.27)*","2.75(0.31,5.22)*","1.93(-1.23,5.09)"
"C30_C39","2000_2005","2006_2010",5,"RUCC3_EQI_Air","0.00","3.79(1.65,6.08)***","5.71(3.24,8.14)***","6.72(3.99,9.41)***","7.50(3.35,11.56)***"
