ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C50,2000_2005,2006_2010,5,EQI,0.00,"1.51(0.93,2.12)***","1.84(1.24,2.40)***","2.18(1.56,2.78)***","2.73(2.10,3.38)***"
"C50","2000_2005","2006_2010",5,"EQI_Air","0.00","1.30(0.59,1.99)***","1.82(1.12,2.51)***","2.12(1.38,2.81)***","2.62(1.86,3.36)***"
"C50","2000_2005","2006_2010",5,"EQI_Water","0.00","0.17(-0.49,0.85)","0.35(-0.30,1.05)","0.20(-0.47,0.89)","-0.09(-0.76,0.62)"
"C50","2000_2005","2006_2010",5,"EQI_Land","0.00","0.35(-0.22,0.89)","0.44(-0.15,0.99)","0.56(-0.05,1.18)","0.65(0.00,1.30)*"
"C50","2000_2005","2006_2010",5,"EQI_Built","0.00","0.60(0.02,1.17)*","0.84(0.25,1.44)**","1.11(0.52,1.70)***","1.22(0.61,1.85)***"
"C50","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.15(-0.71,0.44)","-0.67(-1.25,-0.09)*","-0.55(-1.18,0.10)","-0.39(-1.09,0.32)"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","1.05(0.10,2.00)*","1.31(0.45,2.16)**","2.36(1.49,3.23)***","2.73(1.85,3.60)***"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","0.96(-0.55,2.42)","1.98(0.59,3.36)**","2.42(1.06,3.74)***","3.24(1.85,4.55)***"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","-0.49(-1.17,0.20)","-0.39(-1.03,0.24)","-0.34(-0.96,0.29)","-0.70(-1.30,-0.09)*"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.11(-0.44,0.65)","0.13(-0.44,0.70)","-0.16(-0.79,0.43)","-0.14(-0.74,0.44)"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.33(-0.36,1.02)","0.67(-0.04,1.36)","1.23(0.56,1.90)***","1.22(0.52,1.92)***"
"C50","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","-0.16(-0.98,0.64)","-0.54(-1.26,0.22)","-0.58(-1.32,0.12)","-0.39(-1.09,0.33)"
"C50","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","0.98(-0.72,2.67)","1.04(-0.49,2.61)","0.85(-0.67,2.38)","0.36(-1.13,1.90)"
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","0.91(-1.76,3.49)","1.86(-0.73,4.35)","2.33(-0.28,4.82)","2.19(-0.37,4.67)"
"C50","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","-0.54(-1.93,0.87)","0.13(-1.03,1.33)","-0.19(-1.21,0.92)","-0.64(-1.70,0.42)"
