ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,EQI,0.00,"3.03(2.42,3.64)","4.49(3.88,5.10)","5.05(4.41,5.68)","4.05(3.38,4.69)",0.0002,0.0002,0.0002,0.0002,1.0002,1.0007,1.0010,1.0012,3003,2494,2073,2039,3238,3054,2874,2656
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Air","0.00","4.77(4.07,5.46)","5.86(5.11,6.59)","5.57(4.80,6.31)","4.06(3.23,4.90)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0022","1.0031","1.0046",1564,1269,1136,1116,2368,1827,1991,1952
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Water","0.00","0.48(-0.35,1.31)","1.82(0.95,2.67)","1.73(0.86,2.59)","2.00(1.05,2.90)","0.2622","0.0002","0.0002","0.0002","1.0022","1.0019","1.0021","1.0013",1280,1112,1053,1183,2443,2052,1764,2026
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Land","0.00","-0.11(-0.72,0.52)","-0.02(-0.70,0.63)","-0.17(-0.92,0.59)","-0.55(-1.33,0.22)","0.7256","0.9250","0.6331","0.1707","1.0000","1.0008","1.0023","1.0023",2051,1563,1451,1418,2589,2636,2592,2276
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Built","0.00","0.92(0.34,1.53)","1.47(0.84,2.11)","2.19(1.53,2.81)","2.14(1.45,2.83)","0.0032","0.0002","0.0002","0.0002","1.0040","1.0040","1.0049","1.0039",1806,1674,1586,1634,2842,2647,2190,1889
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Social","0.00","-0.01(-0.59,0.58)","-0.09(-0.71,0.53)","0.03(-0.65,0.69)","-0.80(-1.52,-0.12)","0.9860","0.7711","0.9345","0.0232","1.0017","1.0009","1.0015","1.0024",2207,1930,1732,1702,2795,2505,2714,2175
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","3.63(2.55,4.75)","3.21(2.22,4.21)","3.69(2.74,4.67)","2.76(1.79,3.70)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0017","1.0013","1.0016",1593,1259,1195,1142,2448,1960,1972,1792
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","2.04(0.28,3.80)","4.14(2.46,5.81)","3.64(1.93,5.30)","2.38(0.66,4.09)","0.0232","0.0002","0.0002","0.0082","1.0012","1.0016","1.0029","1.0023",1396,1291,1195,1131,2285,1918,1507,1631
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","0.12(-0.87,1.10)","0.59(-0.37,1.53)","0.96(-0.00,1.87)","0.85(-0.14,1.80)","0.7996","0.2242","0.0512","0.0892","0.9999","1.0005","1.0009","1.0025",1362,1336,1300,1311,2263,2020,2263,2201
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","0.27(-0.43,0.94)","0.14(-0.58,0.83)","0.04(-0.82,0.88)","-0.14(-1.00,0.72)","0.4536","0.7081","0.9125","0.7556","0.9999","1.0003","1.0013","1.0012",2406,1943,1710,1661,2626,2693,2407,2574
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","0.87(0.04,1.67)","0.66(-0.18,1.49)","1.19(0.35,2.00)","0.88(0.05,1.70)","0.0432","0.1167","0.0032","0.0392","1.0005","1.0020","1.0018","1.0012",1979,1491,1439,1383,2396,2359,2346,2120
"X60_X84_Y87.0","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","0.95(0.03,1.86)","2.32(1.47,3.20)","2.11(1.25,2.98)","0.98(0.13,1.84)","0.0422","0.0002","0.0002","0.0217","1.0009","1.0009","1.0007","1.0017",1892,1666,1613,1576,2721,2392,2624,2407
