ICD_Code,Disease,Exposure,Exposure_Quintile_Column,ANAL_Period,AAMR_Period,ANAL_Periods,AAMR_Periods,Matched_Pairs,Lag,Model,Formula_Model,Covariate_Count,N,States,Pairs,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
G20_G30_G12.2_F01_F03,NDD,popw_mean_rad,popw_mean_rad_Quintile,Pooled,Pooled,2001-2005;2006-2010;2011-2014,2011-2015;2016-2020;2021-2024,2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024,10,Baseline,popw_mean_rad+Matched_Pair,0,9420,51,3,0.00,"7.78(6.53,9.06)","11.13(9.87,12.39)","12.42(11.18,13.62)","12.97(11.73,14.17)",0.0002,0.0002,0.0002,0.0002,1.0027,1.0021,1.0026,1.0025,1568,1555,1538,1377,3044,2985,3188,2861,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_SM","popw_mean_rad+Matched_Pair+SM",1,9414,51,3,"0.00","7.73(6.47,9.00)","11.36(10.08,12.65)","13.21(11.94,14.47)","14.80(13.52,16.07)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0010","1.0006","1.0022",2636,2429,2476,2235,3366,3313,3275,2742,"0.74(0.61,0.87)","0.0002","1.0013",2370,3003,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_PA","popw_mean_rad+Matched_Pair+PA",1,9414,51,3,"0.00","7.42(6.10,8.71)","10.58(9.25,11.86)","11.64(10.38,12.93)","11.78(10.51,13.11)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0014","1.0007","1.0004",1657,1642,1615,1633,2683,2625,2523,2618,"",NA,"NA",NA,NA,"0.28(0.19,0.36)","0.0002","1.0011",1523,2345,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_OB","popw_mean_rad+Matched_Pair+OB",1,9414,51,3,"0.00","7.72(6.48,8.97)","11.13(9.88,12.38)","12.55(11.26,13.81)","13.50(12.19,14.78)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0011","1.0020","1.0017",1809,1876,1651,1589,2600,2820,2648,2616,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.22(0.11,0.34)","0.0002","1.0031",1340,2059,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_UN","popw_mean_rad+Matched_Pair+UN",1,9420,51,3,"0.00","7.41(6.15,8.71)","10.49(9.20,11.80)","11.49(10.21,12.85)","11.88(10.64,13.18)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0064","1.0040","1.0029",1539,1414,1389,1352,2113,2295,2140,2162,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.70(-0.84,-0.55)","0.0002","1.0013",1104,2193,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_PD","popw_mean_rad+Matched_Pair+PD",1,9414,51,3,"0.00","7.64(6.39,8.85)","10.91(9.64,12.17)","12.07(10.75,13.34)","12.29(10.85,13.64)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0011","1.0018","1.0005",1898,1820,1704,1864,2632,2668,2651,2837,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.01)","0.0660","1.0001",4845,3766,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+1_DB","popw_mean_rad+Matched_Pair+DB",1,9414,51,3,"0.00","7.74(6.50,8.99)","11.09(9.80,12.40)","12.40(11.16,13.59)","12.93(11.69,14.16)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0009","1.0011","1.0018",2164,2230,2206,2297,2938,3173,2889,3271,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.33(-0.63,-0.03)","0.0340","1.0016",1886,2606
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+PA","popw_mean_rad+Matched_Pair+SM+PA",2,9414,51,3,"0.00","7.17(5.92,8.40)","10.60(9.31,11.84)","12.22(10.93,13.48)","13.43(12.14,14.72)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0020","1.0029","1.0037",2588,2362,2192,2206,3190,3224,2907,3205,"0.89(0.75,1.02)","0.0002","1.0017",2452,3110,"0.41(0.32,0.50)","0.0002","1.0011",1710,2806,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+OB","popw_mean_rad+Matched_Pair+SM+OB",2,9414,51,3,"0.00","7.67(6.36,8.93)","11.31(10.05,12.55)","13.12(11.86,14.39)","14.53(13.22,15.85)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0013","1.0016","1.0020",1718,1652,1510,1440,2635,2926,2478,2819,"0.89(0.73,1.05)","0.0002","1.0003",1368,2237,"",NA,"NA",NA,NA,"-0.22(-0.37,-0.09)","0.0015","1.0027",1051,1864,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+UN","popw_mean_rad+Matched_Pair+SM+UN",2,9414,51,3,"0.00","7.18(5.92,8.46)","10.55(9.30,11.81)","12.15(10.90,13.43)","13.83(12.58,15.08)","0.0002","0.0002","0.0002","0.0002","1.0031","1.0032","1.0027","1.0035",1999,1817,1785,1595,2709,3128,2926,2764,"0.97(0.84,1.10)","0.0002","1.0021",1978,2722,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.97(-1.12,-0.83)","0.0002","1.0032",1506,2526,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","NDD","popw_mean_rad","popw_mean_rad_Quintile","Pooled","Pooled","2001-2005;2006-2010;2011-2014","2011-2015;2016-2020;2021-2024","2001-2005->2011-2015;2006-2010->2016-2020;2011-2014->2021-2024",10,"+2_SM+PD","popw_mean_rad+Matched_Pair+SM+PD",2,9414,51,3,"0.00","7.46(6.18,8.73)","10.91(9.58,12.23)","12.53(11.22,13.85)","13.42(12.03,14.84)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0012","1.0019","1.0020",2760,2670,2364,2320,3135,3308,2589,2900,"0.79(0.66,0.92)","0.0002","1.0009",2155,3096,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0007",4512,3829,"",NA,"NA",NA,NA
