ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C18_C21,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"7.62(5.62,9.68)***","6.35(4.49,8.30)***","7.08(4.97,9.09)***","6.66(4.39,8.94)***",0.0002,0.0002,0.0002,0.0002,1.0009,1.0000,1.0003,1.0004,3637,3343,3300,3237,2484,2897,3056,2665
"C18_C21","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","2.58(0.61,4.53)*","1.34(-0.99,3.75)","0.93(-1.45,3.41)","2.24(-0.80,5.29)","0.0122","0.2692","0.4461","0.1487","1.0007","0.9998","1.0004","0.9999",3316,3150,2768,3700,2951,3197,2967,2744
"C18_C21","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-1.21(-3.67,1.42)","1.07(-1.40,3.71)","2.18(-0.20,4.71)","0.77(-1.32,3.14)","0.3412","0.4031","0.0732","0.5071","1.0008","1.0018","1.0009","1.0007",2497,2362,2104,1964,2813,2122,2480,2159
"C18_C21","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","0.07(-2.44,2.63)","1.16(-1.28,3.72)","1.66(-0.89,4.17)","1.72(-1.00,4.38)","0.9525","0.3497","0.1907","0.2162","0.9998","1.0003","1.0009","1.0000",2419,2140,2141,2360,2858,2773,2626,2707
"C18_C21","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","4.31(2.22,6.38)***","5.10(2.94,7.30)***","6.40(4.22,8.58)***","6.60(4.23,8.94)***","0.0002","0.0002","0.0002","0.0002","1.0006","1.0000","1.0022","1.0010",2948,2741,2543,2406,2765,3112,2719,2820
"C18_C21","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","0.13(-1.92,2.08)","-1.49(-3.33,0.35)","0.54(-1.51,2.58)","-0.59(-3.21,2.01)","0.8845","0.1077","0.6056","0.6581","0.9998","0.9997","1.0003","1.0004",4200,3643,3399,3939,3130,3408,3297,2997
"C18_C21","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","5.87(3.89,7.78)***","5.55(3.66,7.40)***","5.52(3.49,7.47)***","4.69(2.46,6.89)***","0.0002","0.0002","0.0002","0.0002","1.0007","1.0000","1.0008","1.0007",3697,3640,3571,2831,2770,3140,3277,2672
"C18_C21","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","0.92(-0.98,2.82)","-0.00(-2.25,2.10)","-0.15(-2.48,2.04)","1.38(-1.71,4.43)","0.3512","0.9870","0.9150","0.3852","1.0004","0.9997","1.0023","0.9997",3554,3361,3085,3522,3141,2988,3156,2776
"C18_C21","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-3.61(-6.29,-0.99)**","-0.06(-2.65,2.68)","0.56(-1.97,3.29)","0.70(-1.74,3.23)","0.0077","0.9630","0.6961","0.5691","1.0010","1.0027","1.0020","1.0021",1911,1820,1632,1784,2588,2556,1723,2145
"C18_C21","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","1.13(-1.31,3.54)","0.61(-1.78,2.95)","1.37(-1.13,3.78)","1.22(-1.48,3.84)","0.3657","0.5971","0.2842","0.3517","1.0004","1.0017","1.0003","1.0005",2012,1870,1907,2031,2405,2575,3012,2905
