ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C56,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.60(0.01,1.17)*","1.27(0.63,1.92)***","1.29(0.51,2.05)***","1.46(0.55,2.40)**",0.0477,0.0007,0.0007,0.0037,1.0010,1.0010,1.0005,1.0018,2731,2815,3113,2886,3109,3084,2929,2780
"C56","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","1.75(0.73,2.75)***","1.99(0.92,3.01)**","2.32(1.26,3.35)***","2.46(1.34,3.54)***","0.0002","0.0012","0.0002","0.0002","1.0021","1.0010","1.0016","1.0015",1697,1694,1372,1480,2541,2256,2081,2256
"C56","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","-0.13(-1.40,0.94)","0.40(-0.57,1.44)","0.24(-0.85,1.36)","0.13(-1.39,1.64)","0.8280","0.3817","0.6706","0.8615","1.0018","1.0004","1.0015","1.0007",2118,1697,2015,2391,1720,1759,2092,2459
"C56","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","-0.14(-0.79,0.52)","0.24(-0.57,1.02)","0.32(-0.97,1.65)","0.45(-1.58,2.48)","0.6886","0.5551","0.6336","0.6481","1.0006","1.0002","1.0001","1.0017",4305,3277,2861,3111,2931,3048,3195,2731
"C56","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","-0.30(-1.17,0.56)","-0.13(-1.06,0.75)","-0.11(-1.03,0.77)","-0.19(-1.19,0.76)","0.5101","0.8030","0.8060","0.7261","1.0007","1.0014","1.0007","1.0013",1774,1648,1641,1731,2255,2152,2343,2284
"C56","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","0.39(-0.31,1.12)","0.07(-0.68,0.82)","0.33(-0.43,1.09)","0.39(-0.56,1.33)","0.2967","0.8475","0.4016","0.4321","1.0002","1.0016","1.0028","1.0014",2543,2254,2128,2558,2927,2848,2638,2956
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","1.06(0.54,1.57)***","1.36(0.80,1.89)***","1.61(0.91,2.25)***","1.23(0.42,2.03)**","0.0007","0.0002","0.0002","0.0017","1.0013","1.0009","1.0000","0.9998",3247,3155,3405,3707,2876,2830,2955,3294
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","1.40(0.67,2.12)***","2.16(1.33,2.98)***","2.23(1.47,3.02)***","2.01(1.17,2.82)***","0.0002","0.0002","0.0002","0.0002","1.0016","1.0004","1.0007","1.0018",1742,1745,1358,1455,2529,2228,2015,2318
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","0.12(-0.72,1.26)","0.81(0.05,1.87)*","0.93(-0.05,2.14)","0.55(-0.69,1.91)","0.8830","0.0362","0.0657","0.3962","1.0018","1.0041","1.0025","0.9997",1154,1086,1335,1843,1642,1564,1801,1838
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.13(-0.47,0.71)","-0.24(-0.85,0.39)","0.02(-1.06,1.10)","-0.48(-1.87,0.89)","0.6766","0.4541","0.9545","0.4876","1.0011","1.0004","1.0003","1.0009",3987,3448,3281,3837,2883,3161,2992,3002
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI_Built","0.00","0.29(-0.34,0.90)","0.59(-0.10,1.26)","0.76(0.14,1.37)*","0.72(0.00,1.45)","0.3517","0.0897","0.0237","0.0502","1.0005","1.0008","1.0008","1.0005",2623,1907,1697,1702,2982,2383,2543,2689
"C56","2000_2005","2011_2015",10,"doe_major_2_EQI_Social","0.00","-0.28(-0.81,0.25)","0.32(-0.31,0.92)","0.22(-0.40,0.82)","-0.04(-0.77,0.72)","0.3037","0.2942","0.4716","0.9200","1.0028","1.0017","1.0017","1.0018",2444,2318,2020,2553,3026,3102,2499,2616
"C56","2000_2005","2016_2020",15,"doe_major_2_EQI","0.00","1.47(1.02,1.93)***","1.53(1.06,2.00)***","1.65(1.08,2.21)***","1.59(0.91,2.30)***","0.0002","0.0002","0.0002","0.0002","0.9999","1.0004","1.0012","1.0015",2865,2769,3050,3177,2698,2433,2919,2890
"C56","2000_2005","2016_2020",15,"doe_major_2_EQI_Air","0.00","1.23(0.65,1.84)***","1.85(1.11,2.59)***","1.46(0.78,2.10)***","1.49(0.76,2.20)***","0.0002","0.0002","0.0002","0.0007","1.0018","1.0017","1.0015","1.0016",1825,1671,1305,1345,2799,2259,2128,1949
