ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,census_division_1_EQI,0.00,"2.56(-3.05,8.18)","1.16(-3.83,5.89)","1.65(-2.76,5.32)","1.28(-3.01,4.91)"
"C60_C63","2000_2005","2006_2010",5,"census_division_1_EQI_Air","0.00","2.05(-2.33,6.31)","0.93(-3.14,4.68)","0.40(-3.68,4.18)","-0.33(-4.32,3.47)"
"C60_C63","2000_2005","2006_2010",5,"census_division_1_EQI_Water","0.00","-2.78(-7.41,1.61)","-2.52(-5.28,0.30)","-4.34(-6.34,-2.26)**","-4.06(-6.23,-1.85)**"
"C60_C63","2000_2005","2006_2010",5,"census_division_1_EQI_Land","0.00","1.64(-2.66,6.28)","1.64(-2.58,6.21)","1.61(-2.64,6.11)","1.62(-2.66,6.27)"
"C60_C63","2000_2005","2006_2010",5,"census_division_1_EQI_Built","0.00","0.05(-9.62,9.81)","-0.73(-4.32,2.07)","-1.32(-4.76,1.05)","-0.86(-4.18,1.45)"
"C60_C63","2000_2005","2006_2010",5,"census_division_1_EQI_Social","0.00","-0.15(-4.03,3.72)","1.63(-2.18,5.48)","1.93(-1.83,5.70)","3.24(-0.52,7.14)"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI","0.00","4.18(-1.28,9.53)","1.42(-3.82,6.48)","0.80(-3.73,4.74)","-0.11(-4.53,3.75)"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI_Air","0.00","3.30(-1.81,8.49)","1.09(-3.38,5.55)","0.77(-3.78,5.24)","-0.10(-4.63,4.36)"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI_Water","0.00","-1.30(-5.61,2.87)","0.47(-2.58,3.61)","-1.22(-3.63,1.22)","-0.83(-3.38,1.73)"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI_Land","0.00","1.08(-3.50,5.49)","1.90(-2.67,6.27)","1.38(-3.16,5.71)","0.96(-3.57,5.35)"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI_Built","0.00","-0.08(-10.04,9.80)","-4.00(-7.10,-1.45)**","-3.22(-6.04,-1.27)**","-3.00(-5.85,-1.08)**"
"C60_C63","2000_2005","2011_2015",10,"census_division_1_EQI_Social","0.00","1.20(-3.02,5.31)","0.25(-3.89,4.34)","0.98(-3.03,4.96)","1.80(-2.23,5.80)"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI","0.00","-0.08(-1.55,1.43)","-0.91(-2.52,0.64)","-0.69(-2.29,1.00)","-0.71(-2.20,0.78)"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI_Air","0.00","1.45(0.11,2.91)*","0.75(-0.74,2.19)","1.03(-0.54,2.54)","1.47(0.03,2.95)*"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI_Water","0.00","-0.16(-2.93,2.81)","-0.52(-2.44,1.55)","-0.67(-2.33,1.05)","-0.86(-2.16,0.59)"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI_Land","0.00","-0.22(-1.22,0.84)","-0.57(-1.88,0.73)","-0.08(-9.59,9.46)","0.04(-9.95,10.19)"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI_Built","0.00","-0.49(-1.67,0.86)","-0.59(-1.84,0.70)","-0.89(-2.20,0.56)","-1.21(-2.92,0.52)"
"C60_C63","2006_2010","2011_2015",5,"census_division_1_EQI_Social","0.00","-1.47(-3.11,0.35)","1.53(-1.28,4.67)","1.52(-3.47,7.30)","-0.02(-10.13,9.77)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI","0.00","-1.24(-2.98,0.72)","-1.15(-3.03,0.87)","-1.37(-3.32,0.62)","-1.37(-3.15,0.53)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI_Air","0.00","0.86(-0.86,2.41)","0.36(-1.48,2.08)","0.47(-1.33,2.17)","1.01(-0.64,2.52)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI_Water","0.00","-1.08(-3.44,1.42)","0.41(-1.51,2.37)","-0.22(-2.13,1.51)","-0.11(-1.69,1.30)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI_Land","0.00","-0.28(-1.38,0.77)","0.07(-1.20,1.26)","0.07(-9.76,9.79)","0.02(-9.92,9.96)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI_Built","0.00","0.11(-1.28,1.46)","-0.69(-2.02,0.67)","-0.21(-1.62,1.18)","-0.59(-2.42,1.25)"
"C60_C63","2006_2010","2016_2020",10,"census_division_1_EQI_Social","0.00","0.07(-1.42,1.51)","1.08(-1.46,3.60)","-0.05(-4.65,4.68)","-0.03(-10.03,9.75)"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI","0.00","0.65(-3.56,4.40)","1.68(-2.44,5.30)","1.47(-2.63,5.10)","1.17(-2.84,4.82)"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI_Air","0.00","1.28(-3.18,5.66)","1.68(-2.64,5.92)","0.90(-3.37,5.06)","0.98(-3.18,5.14)"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI_Water","0.00","-0.44(-1.19,0.39)","0.00(-0.79,0.78)","-0.12(-0.85,0.63)","0.30(-0.84,1.52)"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI_Land","0.00","0.91(-0.91,2.71)","0.84(-0.75,2.45)","0.69(-0.85,2.32)","0.49(-1.09,2.12)"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI_Built","0.00","3.74(1.31,6.57)**","2.81(0.42,5.44)*","3.39(0.97,6.13)**","3.59(1.21,6.26)**"
"C60_C63","2000_2005","2006_2010",5,"census_division_2_EQI_Social","0.00","-2.16(-3.61,-0.75)**","-2.46(-3.56,-1.32)***","-2.72(-3.73,-1.66)***","-2.53(-3.55,-1.46)***"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI","0.00","0.57(-4.00,4.58)","1.27(-2.97,5.00)","0.55(-3.72,4.19)","0.66(-3.52,4.30)"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI_Air","0.00","1.33(-3.23,5.45)","1.58(-2.89,5.78)","1.01(-3.31,4.97)","1.12(-3.14,5.14)"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI_Water","0.00","-0.12(-0.90,0.65)","0.25(-0.61,1.04)","0.25(-0.48,0.98)","0.90(-0.13,1.89)"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI_Land","0.00","0.67(-1.27,2.51)","0.15(-1.44,1.65)","-0.13(-1.72,1.37)","-0.15(-1.76,1.35)"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI_Built","0.00","1.43(-2.27,4.98)","0.71(-2.95,4.11)","1.27(-2.46,4.77)","1.18(-2.50,4.62)"
"C60_C63","2000_2005","2011_2015",10,"census_division_2_EQI_Social","0.00","-2.40(-3.88,-0.92)**","-2.60(-3.73,-1.47)***","-2.62(-3.73,-1.52)***","-2.63(-3.71,-1.53)***"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI","0.00","0.97(-3.02,4.10)","0.09(-3.95,3.13)","0.37(-3.65,3.38)","-0.01(-4.00,2.96)"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI_Air","0.00","0.68(-3.95,5.21)","1.47(-3.11,5.93)","1.12(-3.48,5.56)","0.78(-3.77,5.16)"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI_Water","0.00","0.07(-0.53,0.66)","-0.02(-0.89,0.81)","0.12(-0.69,0.95)","0.41(-0.83,1.57)"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI_Land","0.00","-0.73(-1.48,0.02)","-0.53(-1.12,0.10)","-0.66(-1.33,0.06)","-1.25(-2.05,-0.48)***"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI_Built","0.00","-1.52(-2.80,-0.31)*","-0.94(-2.21,0.29)","-0.47(-1.78,0.74)","-0.82(-2.13,0.45)"
"C60_C63","2006_2010","2011_2015",5,"census_division_2_EQI_Social","0.00","-0.24(-0.88,0.44)","-0.60(-1.48,0.30)","-1.18(-2.54,0.23)","1.28(-5.06,9.84)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI","0.00","0.86(-2.98,3.80)","-0.04(-3.82,2.77)","-0.14(-3.87,2.62)","-0.12(-3.88,2.63)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI_Air","0.00","1.06(-3.30,5.61)","1.28(-3.09,5.65)","0.91(-3.46,5.37)","0.77(-3.58,5.27)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI_Water","0.00","0.57(0.09,1.04)*","-0.57(-1.27,0.11)","0.67(-0.10,1.42)","0.10(-0.62,0.84)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI_Land","0.00","-0.22(-0.90,0.45)","-0.25(-0.69,0.22)","-0.21(-0.74,0.34)","-0.00(-0.68,0.67)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI_Built","0.00","-0.90(-1.96,0.20)","-0.22(-1.24,0.83)","-0.53(-1.60,0.54)","-0.73(-1.80,0.38)"
"C60_C63","2006_2010","2016_2020",10,"census_division_2_EQI_Social","0.00","-0.90(-1.42,-0.34)**","-0.89(-1.74,0.03)","0.02(-1.66,1.62)","1.20(-5.11,10.06)"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI","0.00","6.34(4.42,8.22)***","5.89(4.67,7.11)***","6.65(5.51,7.76)***","6.37(5.27,7.43)***"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI_Air","0.00","0.48(-1.38,2.27)","0.95(-0.98,2.77)","0.70(-1.29,2.47)","0.31(-1.63,2.13)"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI_Water","0.00","0.95(-0.60,2.44)","0.40(-0.96,1.74)","0.46(-0.85,1.70)","0.68(-0.70,1.94)"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI_Land","0.00","0.89(-0.36,2.14)","1.35(0.11,2.56)*","1.02(-0.30,2.30)","1.51(0.14,2.84)*"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI_Built","0.00","1.89(0.87,2.87)***","1.46(0.54,2.37)**","2.33(1.41,3.26)***","2.24(1.23,3.20)***"
"C60_C63","2000_2005","2006_2010",5,"census_division_3_EQI_Social","0.00","2.53(1.11,3.96)***","2.89(1.65,4.14)***","2.86(1.58,4.10)***","2.93(1.59,4.19)***"
"C60_C63","2000_2005","2011_2015",10,"census_division_3_EQI","0.00","-4.05(-7.08,-1.28)**","-1.26(-4.29,1.38)","-1.55(-4.49,0.97)","-1.36(-4.36,1.17)"
"C60_C63","2000_2005","2011_2015",10,"census_division_3_EQI_Air","0.00","1.48(-0.39,3.38)","0.56(-1.26,2.33)","0.34(-1.54,2.20)","-0.17(-2.07,1.69)"
"C60_C63","2000_2005","2011_2015",10,"census_division_3_EQI_Water","0.00","-1.03(-2.59,0.49)","-0.28(-1.74,1.10)","-0.28(-1.66,1.08)","-0.62(-2.08,0.79)"
