ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"0.68(-3.58,4.25)","1.72(-2.44,5.09)","1.54(-2.63,4.87)","1.19(-2.96,4.49)"
"C60_C63","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","1.55(-2.57,4.99)","1.28(-2.65,4.57)","1.00(-3.00,4.42)","0.94(-3.02,4.27)"
"C60_C63","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","-0.28(-1.01,0.49)","0.04(-0.60,0.66)","-0.25(-0.81,0.30)","0.17(-0.46,0.80)"
"C60_C63","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","0.62(-0.96,2.18)","0.61(-0.87,2.10)","0.35(-1.08,1.83)","0.17(-1.30,1.66)"
"C60_C63","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","1.45(-0.08,3.00)","0.59(-0.66,1.88)","1.08(-0.13,2.33)","1.34(0.15,2.56)*"
"C60_C63","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","-2.40(-3.68,-1.12)***","-2.41(-3.49,-1.33)***","-2.64(-3.70,-1.61)***","-2.30(-3.37,-1.28)***"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","1.32(-2.91,5.05)","1.10(-3.08,4.67)","0.52(-3.61,4.05)","0.40(-3.76,3.84)"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","1.85(-2.45,5.72)","2.26(-1.92,6.02)","1.75(-2.43,5.44)","1.59(-2.58,5.26)"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","-0.27(-0.94,0.43)","0.35(-0.25,0.91)","0.16(-0.32,0.64)","0.50(-0.03,1.05)"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","0.08(-1.46,1.45)","0.26(-1.07,1.51)","-0.04(-1.38,1.21)","-0.15(-1.52,1.12)"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI_Built","0.00","-1.98(-3.67,-0.21)*","-2.72(-4.21,-1.25)**","-2.34(-3.83,-0.91)**","-2.35(-3.82,-0.97)**"
"C60_C63","2000_2005","2011_2015",10,"census_region_1_EQI_Social","0.00","-2.12(-3.38,-0.89)***","-2.68(-3.71,-1.70)***","-2.57(-3.58,-1.56)***","-2.46(-3.44,-1.48)***"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI","0.00","-0.10(-1.50,1.32)","-1.01(-2.45,0.45)","-0.75(-2.13,0.68)","-1.03(-2.35,0.35)"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI_Air","0.00","0.93(-0.32,2.20)","0.59(-0.63,1.89)","0.51(-0.74,1.78)","0.35(-0.82,1.56)"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI_Water","0.00","-0.09(-0.66,0.47)","-0.19(-0.95,0.48)","-0.15(-0.85,0.51)","0.06(-0.58,0.71)"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI_Land","0.00","-0.51(-1.05,0.03)","-0.48(-1.01,0.10)","-0.56(-1.24,0.14)","-1.10(-1.88,-0.31)**"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI_Built","0.00","-0.80(-1.61,0.03)","-0.59(-1.39,0.20)","-0.29(-1.11,0.52)","-0.61(-1.52,0.29)"
"C60_C63","2006_2010","2011_2015",5,"census_region_1_EQI_Social","0.00","-0.26(-0.90,0.36)","-0.38(-1.22,0.48)","-1.18(-2.47,0.24)","1.28(-4.94,9.86)"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI","0.00","-1.21(-2.91,0.41)","-1.64(-3.41,0.08)","-1.84(-3.63,-0.15)*","-1.79(-3.56,-0.13)*"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI_Air","0.00","0.59(-0.85,1.94)","0.45(-1.00,1.76)","0.28(-1.11,1.57)","0.25(-1.12,1.50)"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI_Water","0.00","0.36(-0.17,0.86)","-0.48(-1.14,0.14)","0.17(-0.53,0.86)","0.00(-0.63,0.62)"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI_Land","0.00","-0.29(-0.83,0.28)","-0.11(-0.61,0.40)","-0.14(-0.74,0.48)","0.13(-0.58,0.85)"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI_Built","0.00","-0.20(-0.98,0.58)","-0.17(-0.96,0.62)","-0.44(-1.22,0.32)","-0.62(-1.47,0.21)"
"C60_C63","2006_2010","2016_2020",10,"census_region_1_EQI_Social","0.00","-0.74(-1.27,-0.21)*","-0.52(-1.30,0.30)","0.15(-1.59,1.86)","1.50(-4.86,10.08)"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI","0.00","1.73(0.60,2.89)**","1.73(0.67,2.76)**","1.73(0.78,2.63)**","1.29(0.39,2.17)**"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI_Air","0.00","-0.22(-1.31,0.81)","-0.92(-1.97,0.13)","-1.06(-2.17,0.06)","-1.60(-2.73,-0.45)**"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI_Water","0.00","-0.22(-1.25,0.84)","0.43(-0.57,1.38)","0.31(-0.72,1.29)","0.50(-0.61,1.63)"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI_Land","0.00","2.21(0.62,3.71)**","2.89(1.27,4.28)***","2.22(0.60,3.68)**","2.34(0.70,3.78)**"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI_Built","0.00","1.30(0.25,2.31)*","1.30(0.29,2.27)*","1.87(0.82,2.88)**","1.59(0.49,2.63)**"
"C60_C63","2000_2005","2006_2010",5,"census_region_2_EQI_Social","0.00","0.32(-1.05,1.81)","0.64(-0.67,2.02)","1.25(-0.08,2.61)","1.38(-0.11,2.87)"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI","0.00","-0.17(-1.46,1.08)","-0.84(-1.94,0.24)","-1.30(-2.31,-0.33)*","-1.68(-2.64,-0.71)***"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI_Air","0.00","-1.80(-2.97,-0.70)**","-2.48(-3.59,-1.39)***","-2.56(-3.80,-1.42)***","-3.59(-4.91,-2.38)***"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI_Water","0.00","-0.89(-1.91,0.17)","0.29(-0.71,1.33)","0.38(-0.72,1.41)","-0.08(-1.20,1.06)"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI_Land","0.00","0.23(-1.22,1.69)","0.14(-1.24,1.53)","0.81(-0.64,2.24)","0.86(-0.61,2.32)"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI_Built","0.00","-0.25(-1.33,0.86)","-0.26(-1.31,0.77)","0.37(-0.68,1.42)","-0.17(-1.31,0.90)"
"C60_C63","2000_2005","2011_2015",10,"census_region_2_EQI_Social","0.00","3.96(2.47,5.44)***","1.90(0.56,3.19)**","2.74(1.36,4.09)***","2.52(1.02,4.04)**"
"C60_C63","2006_2010","2011_2015",5,"census_region_2_EQI","0.00","-0.52(-1.41,0.34)","-1.02(-1.95,-0.06)*","-1.32(-2.21,-0.44)**","-1.39(-2.23,-0.54)**"
"C60_C63","2006_2010","2011_2015",5,"census_region_2_EQI_Air","0.00","0.56(-0.35,1.42)","0.07(-0.90,1.01)","-0.34(-1.32,0.69)","-0.44(-1.39,0.55)"
"C60_C63","2006_2010","2011_2015",5,"census_region_2_EQI_Water","0.00","0.31(-0.77,1.39)","0.81(-0.19,1.83)","0.50(-0.53,1.51)","0.51(-0.59,1.61)"
