ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,rucc_1_EQI,0.00,"0.09(-0.71,0.90)","0.82(0.08,1.57)*","0.64(-0.08,1.37)","0.33(-0.40,1.07)"
"C60_C63","2000_2005","2006_2010",5,"rucc_1_EQI_Air","0.00","-2.37(-3.71,-1.02)***","-1.05(-2.36,0.24)","-1.14(-2.44,0.15)","-1.17(-2.46,0.11)"
"C60_C63","2000_2005","2006_2010",5,"rucc_1_EQI_Water","0.00","0.19(-0.39,0.77)","0.27(-0.27,0.84)","0.49(-0.05,1.04)","0.43(-0.09,0.96)"
"C60_C63","2000_2005","2006_2010",5,"rucc_1_EQI_Land","0.00","-0.24(-0.74,0.25)","-0.23(-0.76,0.29)","-0.50(-1.04,0.05)","-0.35(-0.90,0.23)"
"C60_C63","2000_2005","2006_2010",5,"rucc_1_EQI_Built","0.00","0.66(0.02,1.30)*","0.24(-0.44,0.88)","0.51(-0.14,1.15)","0.65(-0.01,1.29)"
"C60_C63","2000_2005","2006_2010",5,"rucc_1_EQI_Social","0.00","0.23(-0.51,0.98)","-0.28(-0.97,0.42)","-0.33(-1.01,0.35)","-0.86(-1.52,-0.20)*"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI","0.00","-1.32(-2.15,-0.50)**","-0.94(-1.69,-0.13)*","-0.78(-1.51,-0.01)*","-1.05(-1.78,-0.26)*"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI_Air","0.00","-2.52(-3.81,-1.23)**","-2.66(-3.84,-1.45)***","-2.80(-3.96,-1.60)***","-2.85(-4.01,-1.66)***"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI_Water","0.00","-0.23(-0.78,0.29)","-0.40(-0.87,0.06)","-0.01(-0.50,0.46)","0.11(-0.38,0.55)"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI_Land","0.00","-0.07(-0.50,0.35)","-0.23(-0.64,0.18)","0.05(-0.40,0.50)","-0.12(-0.56,0.33)"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI_Built","0.00","0.37(-0.17,0.92)","0.44(-0.11,0.98)","0.56(0.01,1.11)*","0.54(-0.01,1.10)"
"C60_C63","2000_2005","2011_2015",10,"rucc_1_EQI_Social","0.00","0.19(-0.42,0.83)","-0.64(-1.20,-0.07)*","-0.76(-1.33,-0.20)**","-1.12(-1.66,-0.57)***"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI","0.00","-0.04(-0.73,0.67)","-0.26(-0.94,0.44)","-0.39(-1.08,0.29)","-0.55(-1.25,0.14)"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI_Air","0.00","0.36(-0.09,0.79)","0.14(-0.30,0.58)","0.31(-0.14,0.76)","0.18(-0.26,0.62)"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI_Water","0.00","-0.09(-0.58,0.39)","-0.49(-0.92,-0.05)*","-0.19(-0.63,0.22)","0.04(-0.40,0.47)"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI_Land","0.00","-0.40(-0.76,-0.02)*","-0.10(-0.48,0.29)","-0.29(-0.69,0.11)","-0.11(-0.55,0.34)"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI_Built","0.00","-0.19(-0.86,0.46)","-0.24(-0.88,0.40)","-0.23(-0.90,0.42)","-0.59(-1.23,0.07)"
"C60_C63","2006_2010","2011_2015",5,"rucc_1_EQI_Social","0.00","-0.14(-0.47,0.21)","0.12(-0.36,0.60)","-0.02(-0.66,0.63)","-0.24(-1.14,0.67)"
