ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C61,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"0.54(-3.13,3.25)","0.18(-3.48,2.73)","-0.03(-3.68,2.50)","-0.33(-3.92,2.26)",0.6796,0.8180,0.9145,0.9145,1.0031,1.0024,1.0032,1.0026,1243,1212,1232,1228,900,796,845,851
"C61","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","-0.01(-3.68,2.73)","0.17(-3.39,2.71)","-0.34(-3.87,2.15)","-0.44(-4.01,2.00)","0.9185","0.8065","0.9030","0.8505","1.0079","1.0074","1.0075","1.0072",1042,1034,1022,1035,1232,1128,1157,1081
"C61","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","-0.45(-1.17,0.31)","0.08(-0.55,0.71)","-0.35(-0.89,0.18)","0.14(-0.43,0.73)","0.2287","0.7941","0.1787","0.6581","1.0001","1.0018","1.0005","1.0013",4330,3386,3453,3216,3567,2945,3095,3018
"C61","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","0.75(-0.81,2.28)","0.63(-0.82,2.11)","0.41(-0.99,1.86)","0.23(-1.22,1.71)","0.3662","0.4091","0.6006","0.7701","1.0020","1.0034","1.0018","1.0021",1717,1608,1602,1630,2383,2294,2319,2038
"C61","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","0.64(-1.05,2.35)","-0.24(-1.76,1.27)","0.24(-1.27,1.70)","0.55(-0.95,2.02)","0.4616","0.7436","0.7261","0.4406","1.0025","1.0012","1.0002","1.0024",1806,1642,1608,1592,2468,2436,2287,2383
"C61","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","-2.54(-3.76,-1.32)***","-2.47(-3.52,-1.43)***","-2.58(-3.57,-1.55)***","-2.33(-3.32,-1.34)***","0.0002","0.0002","0.0002","0.0002","1.0012","1.0020","1.0015","1.0015",2033,1741,1804,1713,2700,2515,2392,2359
"C61","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","1.07(-2.79,4.31)","0.66(-3.06,3.73)","0.23(-3.54,3.20)","0.16(-3.50,3.11)","0.5531","0.6781","0.8370","0.8590","1.0060","1.0079","1.0085","1.0085",1228,1148,1148,1115,2019,1888,1868,1830
"C61","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","2.15(-2.46,6.38)","2.30(-2.14,6.27)","1.70(-2.73,5.66)","1.64(-2.78,5.58)","0.3412","0.3027","0.4371","0.4521","1.0013","1.0010","1.0014","1.0014",1656,1618,1624,1632,2450,2435,2324,2166
"C61","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","-0.12(-0.83,0.60)","0.42(-0.20,1.00)","0.23(-0.31,0.75)","0.54(-0.00,1.10)","0.7476","0.1752","0.3787","0.0512","1.0002","1.0017","1.0000","1.0002",4456,3568,4345,4216,3149,2970,2960,3162
"C61","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","0.11(-1.47,1.59)","0.26(-1.15,1.55)","-0.04(-1.48,1.30)","-0.07(-1.54,1.28)","0.8730","0.6831","0.9950","0.9290","1.0009","1.0014","1.0010","1.0010",2127,2027,2067,2047,2577,2571,2518,2537
