ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C61,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"3.44(1.96,4.93)***","3.93(2.39,5.43)***","3.12(1.41,4.79)**","3.11(1.15,4.98)**",0.0002,0.0002,0.0012,0.0037,1.0016,1.0024,1.0006,1.0017,3332,3094,3209,2802,2734,3222,2585,2825
"C61","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","2.07(0.45,3.63)*","0.19(-1.68,1.98)","0.54(-1.34,2.33)","0.71(-1.89,3.28)","0.0152","0.8485","0.5781","0.5791","1.0005","1.0003","0.9998","1.0001",3367,3413,2741,3263,3652,3115,3213,3402
"C61","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-1.10(-3.37,1.19)","1.44(-0.87,3.76)","1.11(-1.16,3.37)","1.07(-1.20,3.29)","0.3222","0.2167","0.3417","0.3537","1.0013","1.0028","1.0013","1.0009",1832,1790,1670,1681,2374,2532,2305,2471
"C61","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","-0.44(-2.47,1.53)","1.09(-0.90,3.04)","2.10(-0.00,4.27)","1.77(-0.53,4.10)","0.6736","0.2747","0.0507","0.1292","1.0010","1.0007","1.0005","1.0005",2257,2095,2134,2157,3050,2441,2527,2490
"C61","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","2.58(0.99,4.12)**","3.06(1.11,4.99)**","2.93(1.24,4.61)***","1.93(0.15,3.73)*","0.0012","0.0012","0.0002","0.0302","1.0001","1.0003","1.0006","1.0009",3045,2461,2503,2329,3056,2796,3204,2610
"C61","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","-0.17(-1.65,1.36)","-0.62(-2.18,0.89)","-0.08(-1.79,1.64)","-0.25(-2.38,1.96)","0.8310","0.4161","0.9290","0.8310","1.0009","1.0000","1.0007","1.0001",3642,3349,3420,3276,3048,3320,3130,3059
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","4.60(3.29,5.94)***","4.57(3.32,5.79)***","3.96(2.67,5.22)***","4.34(2.83,5.81)***","0.0002","0.0002","0.0002","0.0002","1.0013","1.0008","1.0011","1.0016",4238,3956,4037,4113,2958,2853,2844,2933
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","1.89(0.59,3.21)**","1.01(-0.53,2.54)","1.11(-0.45,2.59)","1.40(-0.64,3.42)","0.0037","0.1987","0.1567","0.1792","1.0014","1.0007","0.9998","0.9996",3817,3991,3219,3887,2994,2714,2750,3161
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-2.13(-3.73,-0.53)**","-0.63(-2.28,1.04)","0.61(-0.92,2.16)","0.13(-1.40,1.60)","0.0087","0.4331","0.4346","0.8700","1.0011","1.0031","1.0022","1.0019",2643,2505,2502,2757,2909,2642,2883,2852
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","0.15(-1.47,1.78)","0.44(-1.11,1.92)","1.67(0.06,3.29)*","1.74(0.05,3.45)*","0.8595","0.5776","0.0417","0.0452","1.0014","1.0004","1.0010","1.0002",2654,2502,2413,2413,2704,3141,2627,2444
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","3.05(1.81,4.41)***","3.15(1.63,4.69)***","2.42(1.12,3.74)***","2.36(0.91,3.79)**","0.0002","0.0002","0.0002","0.0012","1.0001","1.0007","0.9996","1.0001",3630,3265,3402,2982,2898,3079,2990,2896
"C61","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","-0.67(-1.85,0.52)","-0.62(-1.81,0.58)","0.33(-0.98,1.64)","0.01(-1.70,1.77)","0.2597","0.2997","0.6166","0.9900","1.0003","1.0005","1.0019","1.0012",3960,3797,3637,4268,2821,3053,2882,3184
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI","0.00","2.87(1.62,4.15)***","3.29(1.92,4.60)***","3.78(2.36,5.18)***","3.21(1.50,4.85)***","0.0002","0.0002","0.0002","0.0007","1.0012","1.0011","1.0017","1.0016",3011,3095,2998,2451,2980,2951,2607,2662
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","0.00","1.56(0.15,2.99)*","0.10(-1.61,1.75)","0.09(-1.59,1.75)","0.40(-1.87,2.55)","0.0312","0.8970","0.9060","0.7116","1.0006","1.0011","0.9999","1.0002",2916,2865,2661,3146,2917,2865,3157,2894
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI_Water","0.00","0.46(-1.41,2.38)","2.01(0.20,3.86)*","1.89(0.15,3.68)*","2.35(0.66,4.11)**","0.6226","0.0302","0.0352","0.0077","1.0019","1.0009","1.0002","1.0014",2480,2286,2297,2156,2770,2525,2692,2480
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI_Land","0.00","-0.17(-2.10,1.69)","0.29(-1.63,2.13)","0.45(-1.41,2.32)","0.24(-1.83,2.31)","0.8635","0.7241","0.6266","0.7951","1.0000","1.0003","0.9998","0.9998",2450,2204,2006,2147,2860,2710,2357,2525
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI_Built","0.00","2.55(1.14,4.00)***","3.74(2.14,5.36)***","3.08(1.62,4.61)***","3.17(1.53,4.83)***","0.0002","0.0002","0.0007","0.0002","1.0007","1.0007","1.0004","0.9998",3113,2318,2557,2412,2708,2643,2993,2570
"C61","2000_2005","2016_2020",15,"koppen_major_B_EQI_Social","0.00","0.67(-0.65,1.95)","0.25(-1.08,1.62)","-0.02(-1.45,1.46)","0.01(-1.89,1.85)","0.3127","0.7261","0.9805","0.9980","1.0000","1.0005","0.9997","0.9994",4379,3604,3738,4053,3347,3167,3231,3490
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI","0.00","1.35(0.01,2.66)*","1.07(-0.40,2.47)","1.44(-0.23,3.18)","0.45(-1.50,2.55)","0.0492","0.1467","0.0917","0.6816","1.0000","0.9999","1.0011","1.0017",3486,3904,3969,3800,3154,3272,3183,2751
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI_Air","0.00","0.09(-0.96,1.18)","1.05(-0.37,2.50)","0.11(-1.29,1.52)","1.57(-0.55,3.86)","0.8765","0.1562","0.8755","0.1487","1.0009","1.0000","1.0002","1.0001",5038,4782,5557,7238,3141,2950,3448,3431
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI_Water","0.00","-2.53(-4.76,-0.32)*","-0.22(-2.51,2.05)","0.54(-1.58,2.71)","1.42(-0.62,3.52)","0.0247","0.8585","0.6351","0.2002","0.9998","1.0001","1.0001","0.9998",2091,2004,1981,2159,2923,2596,2595,2714
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI_Land","0.00","-1.33(-2.47,-0.17)*","0.36(-0.78,1.48)","2.27(0.84,3.72)**","2.40(0.93,3.90)**","0.0257","0.5326","0.0017","0.0027","1.0003","1.0003","1.0004","1.0007",5684,5191,5778,4891,3148,3167,3180,3298
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI_Built","0.00","0.54(-0.62,1.70)","1.11(-0.21,2.42)","0.33(-1.08,1.71)","-0.46(-1.58,0.65)","0.3652","0.0952","0.6686","0.4131","1.0001","0.9998","1.0011","0.9995",5180,5495,5145,4987,3233,3520,3348,3375
"C61","2006_2010","2011_2015",5,"koppen_major_B_EQI_Social","0.00","-0.11(-1.55,1.36)","0.49(-0.86,1.88)","-1.44(-2.81,-0.01)*","-2.34(-3.63,-1.00)***","0.8735","0.4931","0.0492","0.0002","1.0027","0.9998","1.0013","1.0005",4989,4161,3678,3554,3196,3604,3118,3093
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI","0.00","0.21(-1.11,1.52)","0.43(-1.11,1.97)","0.29(-1.56,2.16)","-1.29(-3.24,0.60)","0.7596","0.5966","0.7641","0.2022","1.0009","1.0001","1.0034","1.0022",3536,3103,2657,2740,3035,2675,2735,2825
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI_Air","0.00","0.08(-1.21,1.30)","1.12(-0.50,2.80)","0.66(-1.08,2.35)","0.52(-1.73,2.89)","0.9130","0.1817","0.4571","0.6661","1.0001","1.0016","1.0007","1.0000",5124,5183,5115,7360,3079,2990,3036,2593
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI_Water","0.00","0.70(-1.57,2.98)","2.92(0.64,5.15)*","3.69(1.55,5.85)***","2.88(0.71,5.05)*","0.5516","0.0132","0.0002","0.0102","1.0014","1.0023","1.0016","1.0016",1546,1455,1544,1514,2501,2132,2321,2255
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI_Land","0.00","-0.31(-1.73,1.08)","-0.43(-1.78,0.91)","-0.56(-2.07,1.01)","1.46(-0.20,3.23)","0.6611","0.5456","0.4806","0.0952","1.0001","1.0001","1.0010","1.0001",5010,4266,4067,3343,2701,2784,2793,2577
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI_Built","0.00","0.66(-0.76,2.05)","-0.43(-1.90,1.05)","0.16(-1.55,1.88)","-0.72(-2.12,0.59)","0.3727","0.5726","0.8585","0.2902","1.0000","1.0001","1.0015","1.0014",3814,4201,4838,3986,3012,3581,3507,3650
"C61","2006_2010","2016_2020",10,"koppen_major_B_EQI_Social","0.00","0.67(-0.90,2.23)","-0.20(-1.73,1.38)","-1.16(-2.80,0.52)","-1.87(-3.47,-0.27)*","0.4176","0.8120","0.1767","0.0227","1.0012","1.0008","1.0011","1.0004",3230,2483,2444,2354,3173,3103,3334,2967
"C61","2000_2005","2006_2010",5,"koppen_major_C_EQI","0.00","0.43(-0.18,1.01)","0.25(-0.34,0.81)","-0.21(-0.83,0.38)","-0.50(-1.21,0.16)","0.1602","0.3967","0.5116","0.1397","1.0028","1.0032","1.0021","1.0022",2222,1758,1644,1537,2820,2932,2630,2380
"C61","2000_2005","2006_2010",5,"koppen_major_C_EQI_Air","0.00","1.97(1.07,2.83)***","2.10(1.24,2.94)***","2.02(1.13,2.85)***","1.83(0.90,2.71)***","0.0002","0.0002","0.0002","0.0002","1.0037","1.0024","1.0038","1.0033",1455,1297,1135,1138,2232,2307,2095,2101
"C61","2000_2005","2006_2010",5,"koppen_major_C_EQI_Water","0.00","-0.15(-0.84,0.54)","0.23(-0.45,0.94)","0.84(0.12,1.59)*","0.13(-0.61,0.88)","0.6666","0.5226","0.0242","0.7451","1.0020","1.0029","1.0031","1.0017",1625,1441,1584,1472,2480,2167,2093,2297
"C61","2000_2005","2006_2010",5,"koppen_major_C_EQI_Land","0.00","-0.38(-0.83,0.07)","-0.17(-0.69,0.34)","-0.63(-1.22,-0.02)*","-0.49(-1.18,0.19)","0.0997","0.5086","0.0432","0.1697","1.0006","1.0004","1.0002","0.9996",2684,2623,2348,2313,3056,2674,2781,2983
"C61","2000_2005","2006_2010",5,"koppen_major_C_EQI_Built","0.00","1.50(0.94,2.08)***","0.96(0.38,1.53)**","0.80(0.22,1.40)**","1.07(0.47,1.69)**","0.0002","0.0017","0.0057","0.0012","1.0007","1.0013","1.0014","1.0022",2250,2047,1913,1736,2562,2428,2423,2353
