ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C61,2000_2005,2006_2010,5,rucc_1_EQI,0.00,"-0.07(-0.87,0.75)","0.66(-0.09,1.44)","0.49(-0.20,1.22)","0.18(-0.54,0.92)"
"C61","2000_2005","2006_2010",5,"rucc_1_EQI_Air","0.00","-2.43(-3.80,-0.97)**","-1.23(-2.54,0.13)","-1.37(-2.67,-0.02)*","-1.34(-2.63,0.03)"
"C61","2000_2005","2006_2010",5,"rucc_1_EQI_Water","0.00","0.15(-0.45,0.74)","0.26(-0.28,0.83)","0.48(-0.05,1.04)","0.40(-0.12,0.97)"
"C61","2000_2005","2006_2010",5,"rucc_1_EQI_Land","0.00","-0.25(-0.73,0.24)","-0.24(-0.74,0.28)","-0.48(-1.02,0.05)","-0.37(-0.93,0.17)"
"C61","2000_2005","2006_2010",5,"rucc_1_EQI_Built","0.00","0.59(-0.06,1.19)","0.12(-0.52,0.73)","0.41(-0.23,1.03)","0.54(-0.10,1.19)"
"C61","2000_2005","2006_2010",5,"rucc_1_EQI_Social","0.00","0.25(-0.48,0.97)","-0.26(-0.95,0.40)","-0.28(-0.95,0.37)","-0.78(-1.43,-0.14)*"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI","0.00","-0.29(-1.09,0.47)","0.09(-0.66,0.80)","0.26(-0.48,0.99)","0.01(-0.73,0.73)"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI_Air","0.00","0.69(-0.79,2.07)","0.54(-0.84,1.85)","0.40(-0.96,1.68)","0.35(-1.00,1.62)"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI_Water","0.00","-0.33(-0.88,0.22)","-0.36(-0.85,0.13)","-0.00(-0.50,0.47)","0.05(-0.43,0.52)"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI_Land","0.00","-0.10(-0.54,0.33)","-0.21(-0.65,0.21)","0.03(-0.44,0.49)","-0.13(-0.61,0.33)"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI_Built","0.00","0.62(0.07,1.18)*","0.65(0.07,1.19)*","0.77(0.21,1.32)**","0.76(0.19,1.31)*"
"C61","2000_2005","2011_2015",10,"rucc_1_EQI_Social","0.00","0.19(-0.47,0.84)","-0.80(-1.39,-0.20)**","-0.76(-1.34,-0.18)*","-1.08(-1.65,-0.52)***"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI","0.00","-0.07(-0.78,0.63)","-0.46(-1.16,0.24)","-0.41(-1.11,0.27)","-0.59(-1.27,0.09)"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI_Air","0.00","0.34(-0.10,0.75)","-0.08(-0.51,0.34)","0.27(-0.16,0.69)","0.13(-0.31,0.56)"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI_Water","0.00","-0.36(-0.84,0.12)","-0.44(-0.90,0.02)","-0.17(-0.59,0.28)","-0.04(-0.48,0.38)"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI_Land","0.00","-0.17(-0.54,0.20)","0.12(-0.24,0.49)","-0.09(-0.48,0.32)","0.12(-0.31,0.55)"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI_Built","0.00","-0.24(-0.91,0.41)","-0.31(-0.96,0.33)","-0.30(-0.96,0.34)","-0.72(-1.38,-0.06)*"
"C61","2006_2010","2011_2015",5,"rucc_1_EQI_Social","0.00","-0.19(-0.53,0.15)","0.08(-0.40,0.54)","-0.67(-1.29,-0.01)*","-0.38(-1.26,0.51)"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI","0.00","-0.26(-0.89,0.38)","-0.74(-1.37,-0.12)*","-0.73(-1.36,-0.10)*","-0.93(-1.56,-0.32)**"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI_Air","0.00","0.04(-0.37,0.44)","-0.14(-0.55,0.27)","-0.16(-0.57,0.25)","-0.27(-0.68,0.16)"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI_Water","0.00","0.08(-0.36,0.54)","-0.17(-0.61,0.27)","-0.10(-0.54,0.35)","-0.04(-0.50,0.41)"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI_Land","0.00","-0.18(-0.53,0.16)","-0.18(-0.54,0.17)","-0.29(-0.66,0.10)","0.01(-0.42,0.44)"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI_Built","0.00","-0.05(-0.71,0.60)","-0.19(-0.85,0.45)","-0.35(-1.01,0.28)","-0.49(-1.14,0.15)"
"C61","2006_2010","2016_2020",10,"rucc_1_EQI_Social","0.00","-0.19(-0.51,0.14)","-0.12(-0.59,0.35)","0.21(-0.40,0.81)","-0.02(-0.85,0.83)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI","0.00","-0.07(-1.54,1.34)","0.29(-1.10,1.67)","-0.79(-2.21,0.64)","-0.52(-2.01,0.94)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI_Air","0.00","0.90(-1.32,3.12)","0.71(-1.45,2.79)","1.28(-0.92,3.41)","1.07(-1.15,3.20)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI_Water","0.00","0.07(-1.43,1.60)","-0.53(-1.90,0.84)","-0.36(-1.57,0.89)","-0.42(-1.69,0.84)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI_Land","0.00","0.43(-0.60,1.39)","-0.04(-1.09,1.03)","0.35(-0.72,1.41)","0.68(-0.50,1.84)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI_Built","0.00","0.06(-2.31,2.58)","-0.33(-2.57,2.07)","-0.47(-2.64,1.87)","-0.17(-2.44,2.25)"
"C61","2000_2005","2006_2010",5,"rucc_2_EQI_Social","0.00","-2.06(-3.11,-1.02)***","-2.25(-3.29,-1.18)***","-2.45(-3.56,-1.28)***","-2.24(-3.48,-0.96)***"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI","0.00","-0.02(-1.49,1.45)","-0.10(-1.50,1.29)","-0.51(-1.94,0.91)","-0.06(-1.51,1.39)"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI_Air","0.00","0.87(-1.23,2.87)","1.33(-0.71,3.23)","1.95(-0.04,3.91)","1.10(-0.91,3.04)"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI_Water","0.00","-0.69(-1.94,0.51)","0.21(-0.93,1.40)","0.41(-0.60,1.47)","0.48(-0.51,1.50)"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI_Land","0.00","0.35(-0.54,1.25)","-0.59(-1.51,0.31)","-0.06(-0.96,0.86)","0.18(-0.84,1.13)"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI_Built","0.00","-1.55(-3.87,0.77)","-0.65(-2.92,1.55)","-0.49(-2.67,1.73)","-0.19(-2.47,2.02)"
"C61","2000_2005","2011_2015",10,"rucc_2_EQI_Social","0.00","-1.39(-2.35,-0.45)**","-1.68(-2.68,-0.68)**","-1.92(-2.96,-0.89)***","-1.43(-2.56,-0.28)*"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI","0.00","-0.42(-1.36,0.53)","0.23(-0.75,1.20)","-0.28(-1.29,0.73)","-0.22(-1.35,0.85)"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI_Air","0.00","0.24(-0.73,1.20)","0.31(-0.70,1.30)","0.33(-0.66,1.38)","-0.16(-1.17,0.89)"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI_Water","0.00","-0.89(-1.94,0.20)","-0.38(-1.44,0.70)","0.17(-0.84,1.24)","0.34(-0.72,1.41)"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI_Land","0.00","0.01(-0.83,0.86)","-0.11(-1.06,0.85)","-0.35(-1.28,0.55)","1.05(0.16,1.92)*"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI_Built","0.00","0.10(-0.83,1.00)","-0.43(-1.34,0.52)","-0.14(-1.12,0.82)","-0.56(-1.74,0.64)"
"C61","2006_2010","2011_2015",5,"rucc_2_EQI_Social","0.00","-0.19(-1.03,0.70)","-0.35(-1.33,0.66)","0.39(-0.76,1.60)","1.20(-0.47,2.96)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI","0.00","-0.95(-1.91,0.02)","-0.34(-1.35,0.63)","-0.78(-1.86,0.27)","-0.71(-1.84,0.43)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI_Air","0.00","0.30(-0.67,1.24)","0.11(-0.92,1.03)","0.44(-0.59,1.44)","0.11(-0.97,1.11)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI_Water","0.00","-0.73(-1.82,0.40)","-0.81(-1.89,0.26)","-0.34(-1.33,0.69)","-0.56(-1.59,0.47)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI_Land","0.00","-0.19(-0.96,0.62)","-0.79(-1.72,0.15)","-0.39(-1.28,0.46)","0.06(-0.76,0.88)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI_Built","0.00","-0.16(-1.07,0.71)","-0.38(-1.32,0.55)","-0.67(-1.65,0.30)","-0.33(-1.51,0.84)"
"C61","2006_2010","2016_2020",10,"rucc_2_EQI_Social","0.00","-0.23(-1.08,0.60)","-0.46(-1.49,0.50)","0.30(-0.94,1.53)","2.43(1.00,3.80)***"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI","0.00","-0.42(-1.27,0.44)","-0.38(-1.29,0.53)","-0.73(-1.69,0.23)","-1.00(-2.26,0.26)"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI_Air","0.00","1.01(0.15,1.86)*","0.61(-0.32,1.52)","0.97(-0.03,1.98)","1.52(-0.27,3.26)"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI_Water","0.00","-0.84(-2.03,0.27)","-0.05(-1.18,1.08)","0.34(-0.80,1.45)","0.38(-0.88,1.56)"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI_Land","0.00","-1.05(-1.84,-0.27)**","-0.84(-1.68,0.05)","-0.64(-1.66,0.39)","-0.14(-1.26,0.94)"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI_Built","0.00","1.33(0.46,2.24)**","1.32(0.44,2.26)**","1.19(0.23,2.20)*","0.68(-0.32,1.71)"
"C61","2000_2005","2006_2010",5,"rucc_3_EQI_Social","0.00","-0.75(-1.49,0.01)","-0.80(-1.70,0.08)","-0.72(-1.73,0.32)","-1.81(-3.12,-0.52)**"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI","0.00","0.44(-0.30,1.18)","0.11(-0.69,0.92)","-0.07(-0.97,0.78)","0.44(-0.77,1.62)"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI_Air","0.00","1.35(0.54,2.17)**","0.97(0.11,1.80)*","1.20(0.26,2.11)*","1.10(-0.42,2.62)"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI_Water","0.00","-0.08(-1.09,0.90)","0.23(-0.77,1.20)","0.54(-0.44,1.46)","0.06(-0.96,1.06)"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI_Land","0.00","-0.51(-1.17,0.17)","-0.43(-1.15,0.30)","0.32(-0.56,1.20)","0.42(-0.60,1.43)"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI_Built","0.00","0.35(-0.43,1.13)","0.51(-0.29,1.31)","0.29(-0.56,1.13)","0.72(-0.21,1.64)"
"C61","2000_2005","2011_2015",10,"rucc_3_EQI_Social","0.00","-0.91(-1.52,-0.29)**","-1.22(-1.95,-0.47)**","-0.83(-1.71,0.07)","-1.47(-2.62,-0.32)*"
"C61","2006_2010","2011_2015",5,"rucc_3_EQI","0.00","0.17(-0.63,0.95)","-0.23(-1.02,0.53)","-0.53(-1.41,0.28)","-0.22(-1.19,0.73)"
"C61","2006_2010","2011_2015",5,"rucc_3_EQI_Air","0.00","0.17(-0.68,1.02)","-0.31(-1.13,0.52)","0.17(-0.70,1.04)","-0.25(-1.13,0.65)"
