ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C64_C65,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"2.69(1.46,3.83)**","3.16(1.98,4.29)***","3.48(2.39,4.45)***","3.23(2.12,4.20)***",0.0012,0.0002,0.0002,0.0002,1.0045,1.0033,1.0026,1.0045,1563,1511,1334,1245,1850,1679,1619,1526
"C64_C65","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","3.89(2.31,5.44)***","1.96(0.42,3.40)*","2.31(0.75,3.77)**","2.43(0.88,3.79)**","0.0002","0.0132","0.0052","0.0027","1.0011","1.0015","1.0027","1.0022",1333,1266,1265,1277,2001,1948,1768,1818
"C64_C65","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","0.24(-0.40,0.83)","0.06(-0.43,0.59)","0.07(-0.40,0.53)","-0.12(-0.57,0.34)","0.4276","0.8165","0.7551","0.5926","0.9998","1.0016","1.0006","1.0005",3729,3134,2957,3025,3273,2757,3023,3111
"C64_C65","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","-0.08(-1.32,1.20)","-0.05(-1.16,1.12)","-0.02(-1.16,1.14)","-0.09(-1.27,1.10)","0.8850","0.9120","0.9570","0.8615","1.0023","1.0023","1.0019","1.0020",1540,1473,1540,1425,2399,2426,2486,2598
"C64_C65","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","0.46(-1.11,1.97)","0.28(-1.14,1.55)","0.41(-1.00,1.63)","0.31(-1.06,1.50)","0.5551","0.6706","0.5246","0.6161","1.0017","1.0043","1.0029","1.0030",1501,1332,1342,1342,2090,1714,1684,1863
"C64_C65","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","-0.18(-1.06,0.69)","0.49(-0.37,1.31)","0.78(-0.05,1.60)","0.68(-0.15,1.45)","0.6876","0.2517","0.0687","0.0972","1.0007","1.0011","1.0011","1.0007",2137,2067,1962,1929,2440,2696,2717,2250
"C64_C65","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","-2.30(-5.70,0.13)","-0.37(-3.75,2.03)","-0.65(-4.02,1.70)","-0.42(-3.79,1.91)","0.0642","0.9090","0.7681","0.8835","1.0018","1.0019","1.0014","1.0019",936,929,942,933,1288,1171,1231,1222
"C64_C65","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","-0.31(-4.39,2.85)","-0.90(-5.01,2.30)","-0.39(-4.54,2.79)","-0.25(-4.38,2.89)","0.9525","0.7186","0.9250","0.9710","1.0048","1.0043","1.0024","1.0031",1533,1571,1582,1592,2206,1927,1955,1976
"C64_C65","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","0.05(-0.63,0.77)","0.02(-0.62,0.64)","0.25(-0.30,0.80)","0.55(0.01,1.21)*","0.8945","0.9255","0.3697","0.0452","1.0002","1.0011","1.0009","1.0006",4245,3317,3239,2542,2959,2934,2923,2685
"C64_C65","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","1.56(0.48,2.58)**","1.41(0.43,2.39)**","1.47(0.49,2.46)**","1.40(0.38,2.42)**","0.0052","0.0047","0.0032","0.0082","1.0022","1.0019","1.0019","1.0011",2250,2189,2140,2113,2947,2644,2817,2924
