ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C64_C65,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"1.11(0.54,1.68)***","1.22(0.61,1.82)***","1.72(0.94,2.48)***","1.67(0.74,2.57)***",0.0002,0.0007,0.0002,0.0002,1.0009,1.0002,1.0006,1.0010,2923,2690,2538,2615,2817,2779,2645,2800
"C64_C65","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","2.54(1.74,3.32)***","2.91(2.02,3.74)***","2.78(1.95,3.60)***","2.96(2.07,3.84)***","0.0002","0.0002","0.0002","0.0002","1.0004","1.0007","1.0009","1.0009",1952,1769,1582,1568,2357,2544,2201,2336
"C64_C65","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","-0.70(-2.23,0.71)","-0.77(-2.40,0.64)","-0.16(-1.75,1.32)","0.29(-1.41,2.05)","0.3362","0.2907","0.8730","0.7336","1.0064","1.0050","1.0046","1.0037",1174,1114,1223,1439,1543,1465,1670,1928
"C64_C65","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","0.01(-0.56,0.62)","0.41(-0.29,1.16)","0.30(-0.81,1.45)","0.37(-1.36,2.16)","0.9590","0.2537","0.6061","0.7101","1.0010","1.0009","1.0006","1.0008",3644,3940,2944,3685,2945,3228,3106,3348
"C64_C65","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","0.66(-0.02,1.38)","1.02(0.27,1.73)**","0.73(0.03,1.41)*","1.12(0.32,1.88)**","0.0567","0.0062","0.0397","0.0082","1.0022","1.0024","1.0027","1.0020",2836,2155,2081,2212,2788,2511,2416,2600
"C64_C65","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","-0.28(-0.86,0.30)","-0.45(-1.08,0.18)","-0.49(-1.11,0.13)","-0.69(-1.42,0.03)","0.3427","0.1657","0.1202","0.0647","1.0021","1.0037","1.0020","1.0019",2479,2455,2614,2617,2794,2620,2963,2916
"C64_C65","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","1.01(0.38,1.61)**","1.06(0.38,1.72)**","1.07(0.19,1.87)*","0.97(-0.07,1.99)","0.0037","0.0022","0.0197","0.0657","1.0024","1.0012","1.0009","1.0003",2842,2835,2851,2973,2085,3194,3268,2640
"C64_C65","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","0.76(-0.39,1.90)","0.77(-0.51,2.03)","1.18(-0.03,2.35)","1.44(0.13,2.77)*","0.1787","0.2272","0.0582","0.0312","1.0016","1.0010","1.0014","1.0013",1385,1321,1175,1116,2431,2322,2110,2368
"C64_C65","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","-0.21(-1.51,1.26)","1.48(0.27,3.03)*","1.52(0.09,3.23)*","0.15(-1.48,2.00)","0.7151","0.0137","0.0392","0.8785","1.0016","1.0043","1.0032","1.0010",1537,1134,1310,1636,2000,1708,1894,2174
"C64_C65","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.35(-0.43,1.09)","0.20(-0.62,1.00)","0.91(-0.47,2.33)","0.42(-1.60,2.72)","0.3712","0.6396","0.1947","0.7346","1.0017","1.0025","1.0028","1.0000",3124,3166,3764,3322,3347,3163,2865,3276
