ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C64_C68,2000_2005,2006_2010,5,koppen_code__EQI,0.00,"0.19(-2.24,2.71)","1.08(-1.52,3.78)","1.44(-1.35,4.32)","0.53(-2.66,3.72)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code__EQI_Air","0.00","1.03(-1.83,3.88)","0.88(-2.64,4.45)","0.38(-2.41,3.26)","1.25(-2.23,4.79)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code__EQI_Water","0.00","1.51(-2.66,5.91)","-0.78(-4.46,2.98)","0.69(-3.16,4.74)","-0.18(-3.79,3.47)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code__EQI_Land","0.00","0.45(-2.98,4.09)","0.35(-3.05,3.86)","2.81(-1.04,6.65)","2.41(-1.30,6.09)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code__EQI_Built","0.00","0.46(-2.80,3.69)","0.80(-2.32,3.99)","1.22(-1.58,4.08)","0.86(-2.31,4.07)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code__EQI_Social","0.00","-1.14(-4.25,1.79)","-1.48(-4.25,1.37)","-1.22(-4.33,2.12)","-0.18(-4.40,3.91)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI","0.00","2.34(0.08,4.67)*","3.15(0.69,5.52)*","2.55(-0.01,5.01)","2.82(-0.05,5.55)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI_Air","0.00","1.27(-1.50,3.81)","-0.14(-3.54,3.07)","1.06(-1.60,3.59)","0.53(-3.08,3.81)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI_Water","0.00","-1.18(-5.73,2.98)","-0.54(-4.56,3.42)","2.52(-1.63,6.74)","0.78(-3.42,4.81)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI_Land","0.00","-0.84(-3.93,2.34)","-1.64(-4.76,1.59)","0.06(-3.82,4.05)","1.31(-2.84,5.27)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI_Built","0.00","0.78(-1.97,3.64)","0.24(-2.61,3.21)","0.84(-1.60,3.28)","1.06(-1.90,4.15)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code__EQI_Social","0.00","0.71(-1.79,3.06)","-0.01(-2.54,2.69)","0.08(-2.65,2.77)","-0.60(-4.36,3.07)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI","0.00","0.77(-1.57,3.12)","-0.44(-2.79,1.77)","1.43(-1.30,4.13)","1.21(-1.62,3.95)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI_Air","0.00","-0.74(-3.05,1.56)","-1.51(-4.23,1.13)","1.22(-1.64,3.91)","1.05(-2.01,4.45)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI_Water","0.00","4.09(0.20,7.91)*","0.37(-3.26,4.12)","2.84(-0.91,6.60)","1.83(-1.74,5.37)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI_Land","0.00","1.21(-1.34,3.80)","-0.66(-3.06,1.77)","-1.53(-5.83,2.78)","-0.43(-3.42,2.51)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI_Built","0.00","-1.10(-4.11,1.96)","0.19(-2.54,2.89)","0.69(-2.44,3.94)","-0.91(-3.69,1.73)"
"C64_C68","2006_2010","2011_2015",5,"koppen_code__EQI_Social","0.00","-0.11(-2.93,2.82)","2.56(-0.29,5.31)","-2.16(-5.49,1.39)","-2.21(-5.18,0.93)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI","0.00","2.04(-0.63,4.67)","1.00(-1.88,3.77)","1.19(-1.86,4.16)","0.28(-2.65,3.13)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI_Air","0.00","-1.30(-3.70,1.10)","-0.89(-3.67,1.98)","0.11(-2.74,2.93)","0.61(-2.96,4.28)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI_Water","0.00","4.21(0.17,8.06)*","1.44(-2.16,5.17)","1.05(-2.67,4.65)","2.25(-1.31,5.73)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI_Land","0.00","0.91(-1.61,3.52)","-0.67(-3.17,1.89)","0.11(-4.53,4.73)","-0.92(-4.18,2.23)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI_Built","0.00","-0.41(-3.42,2.68)","-0.46(-3.20,2.37)","0.23(-3.07,3.53)","-1.39(-4.16,1.41)"
"C64_C68","2006_2010","2016_2020",10,"koppen_code__EQI_Social","0.00","0.57(-2.44,3.53)","1.71(-1.43,4.91)","4.03(0.07,7.93)*","-2.70(-5.79,0.63)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI","0.00","-0.68(-3.02,1.56)","-1.86(-4.12,0.32)","-1.27(-3.87,1.48)","-2.75(-5.74,0.31)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI_Air","0.00","-1.70(-4.12,0.72)","-1.41(-4.23,1.50)","-1.29(-4.90,2.11)","-1.49(-6.89,3.83)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI_Water","0.00","-0.77(-4.08,2.53)","-0.94(-4.40,2.51)","-2.23(-5.24,0.90)","-3.62(-6.56,-0.60)*"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI_Land","0.00","0.79(-2.80,4.36)","2.20(-1.31,5.69)","2.10(-1.46,5.69)","0.99(-2.77,4.65)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI_Built","0.00","0.90(-1.63,3.55)","0.15(-2.70,3.02)","0.27(-2.51,3.10)","1.07(-2.07,4.20)"
"C64_C68","2000_2005","2006_2010",5,"koppen_code_BSk_EQI_Social","0.00","1.26(-1.13,3.68)","1.83(-0.74,4.39)","2.23(-0.78,5.19)","-0.22(-3.72,3.39)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code_BSk_EQI","0.00","-0.26(-2.48,2.02)","-1.93(-4.11,0.33)","-2.34(-4.92,0.14)","-2.11(-5.06,0.74)"
"C64_C68","2000_2005","2011_2015",10,"koppen_code_BSk_EQI_Air","0.00","-2.05(-4.46,0.37)","-2.08(-4.72,0.56)","-1.14(-4.44,2.11)","-1.51(-6.77,3.94)"
