ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C81_C96,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.82(-0.47,2.12)","2.02(0.66,3.35)**","2.34(0.67,4.05)**","2.40(0.26,4.59)*"
"C81_C96","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","0.58(-1.89,2.96)","0.99(-1.58,3.48)","1.76(-0.81,4.21)","2.47(-0.17,5.04)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","-1.18(-3.43,1.04)","-0.55(-2.77,1.19)","-1.00(-3.41,1.16)","0.99(-1.92,3.90)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","1.78(0.22,3.29)*","1.30(-0.32,2.95)","1.31(-1.44,3.97)","-0.76(-4.71,3.21)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","-1.27(-3.13,0.63)","-0.42(-2.25,1.42)","-0.63(-2.42,1.22)","-0.04(-1.98,1.92)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","1.68(0.26,3.07)*","0.69(-0.81,2.23)","0.99(-0.54,2.56)","0.89(-0.96,2.90)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","-0.49(-1.60,0.65)","0.61(-0.56,1.80)","1.45(-0.06,2.95)","1.10(-0.63,2.85)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","1.19(-0.96,3.28)","1.56(-0.68,3.78)","0.81(-1.28,2.95)","1.48(-0.79,3.69)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","-0.78(-2.97,1.29)","-0.05(-2.26,1.83)","-0.34(-2.63,1.70)","0.73(-1.81,3.55)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.04(-1.40,1.47)","-0.07(-1.56,1.43)","0.30(-2.16,2.66)","-0.04(-3.20,3.49)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI_Built","0.00","-1.77(-3.48,-0.03)*","-0.94(-2.55,0.75)","-0.52(-2.05,1.19)","-0.52(-2.30,1.30)"
"C81_C96","2000_2005","2011_2015",10,"doe_major_2_EQI_Social","0.00","0.76(-0.57,2.07)","0.50(-0.93,2.01)","-0.03(-1.42,1.37)","0.72(-1.02,2.44)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI","0.00","0.96(-0.51,2.44)","1.41(-0.10,2.86)","0.92(-0.65,2.49)","1.28(-0.51,3.06)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI_Air","0.00","0.34(-1.07,1.71)","-0.09(-1.56,1.36)","0.79(-0.73,2.30)","0.97(-1.01,2.85)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI_Water","0.00","-0.90(-3.09,1.22)","-0.36(-2.37,1.50)","-0.10(-2.11,1.69)","0.02(-2.19,2.46)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI_Land","0.00","0.01(-1.34,1.32)","0.56(-0.76,1.93)","-0.41(-1.83,1.01)","-0.63(-2.31,1.09)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI_Built","0.00","1.65(-0.73,3.96)","1.00(-1.48,3.43)","0.74(-1.72,3.10)","0.74(-1.73,3.11)"
"C81_C96","2006_2010","2011_2015",5,"doe_major_2_EQI_Social","0.00","-0.02(-1.32,1.30)","0.41(-1.17,2.02)","0.26(-1.43,1.98)","-0.28(-2.01,1.40)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI","0.00","1.21(-0.47,2.86)","1.12(-0.57,2.78)","0.55(-1.21,2.35)","0.89(-1.15,2.88)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI_Air","0.00","-1.12(-2.55,0.31)","-1.32(-2.83,0.25)","-0.78(-2.32,0.82)","0.66(-1.18,2.56)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI_Water","0.00","-1.38(-3.69,0.88)","0.78(-1.28,2.52)","-0.72(-2.78,1.08)","0.75(-1.50,3.00)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI_Land","0.00","0.71(-0.62,2.06)","0.80(-0.48,2.14)","0.83(-0.56,2.30)","-0.32(-2.02,1.44)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI_Built","0.00","0.07(-2.37,2.47)","-0.32(-2.85,2.12)","-0.51(-3.08,1.94)","-1.02(-3.47,1.37)"
"C81_C96","2006_2010","2016_2020",10,"doe_major_2_EQI_Social","0.00","-0.21(-1.59,1.13)","0.13(-1.50,1.78)","-0.67(-2.34,0.98)","-0.43(-2.15,1.25)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_3_EQI","0.00","2.27(1.15,3.33)***","2.48(1.31,3.62)***","3.41(2.11,4.69)***","3.98(2.36,5.55)***"
"C81_C96","2000_2005","2006_2010",5,"doe_major_3_EQI_Air","0.00","1.91(0.33,3.38)*","2.10(0.48,3.56)*","2.81(1.12,4.37)**","2.91(1.05,4.56)**"
"C81_C96","2000_2005","2006_2010",5,"doe_major_3_EQI_Water","0.00","0.53(-1.12,2.18)","1.01(-0.87,2.83)","1.00(-0.84,2.88)","0.53(-1.28,2.45)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_3_EQI_Land","0.00","-0.30(-1.13,0.52)","0.71(-0.43,1.83)","0.31(-1.32,2.01)","0.36(-1.79,2.28)"
"C81_C96","2000_2005","2006_2010",5,"doe_major_3_EQI_Built","0.00","1.36(0.24,2.50)*","2.05(0.84,3.24)***","1.57(0.39,2.79)*","2.79(1.43,4.11)***"
