ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F01,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"-1.48(-4.99,1.02)","-1.12(-4.58,1.26)","-0.62(-4.11,1.74)","-0.86(-4.29,1.53)",0.3287,0.4976,0.7671,0.6206,1.0025,1.0018,1.0022,1.0024,851,853,848,854,900,882,887,908
"F01","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","1.86(0.09,3.63)*","0.40(-1.33,2.08)","0.77(-0.92,2.43)","0.89(-0.81,2.56)","0.0382","0.6401","0.3712","0.2952","1.0008","1.0020","1.0016","1.0015",2155,2018,1988,1988,2631,2284,2270,2357
"F01","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","-0.40(-1.13,0.33)","0.08(-0.73,0.92)","-0.21(-0.88,0.45)","-0.09(-0.79,0.62)","0.2722","0.8490","0.5446","0.8165","1.0009","1.0002","1.0006","1.0005",3658,3251,2609,2792,3111,2923,2862,2865
"F01","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","-0.23(-1.66,1.22)","0.28(-1.12,1.62)","0.01(-1.38,1.36)","0.06(-1.31,1.41)","0.7706","0.6796","0.9650","0.9100","1.0011","1.0016","1.0017","1.0014",2048,1952,1834,1877,2388,2400,2300,2505
"F01","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","0.09(-1.47,1.55)","-0.21(-1.67,1.15)","0.17(-1.28,1.53)","-0.02(-1.48,1.34)","0.8815","0.7921","0.7991","0.9855","1.0037","1.0023","1.0045","1.0037",2051,1966,1980,1966,2222,2223,2268,2133
"F01","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","0.62(-0.36,1.62)","0.72(-0.19,1.66)","0.76(-0.14,1.66)","0.82(-0.08,1.76)","0.2177","0.1162","0.0962","0.0767","1.0006","1.0021","1.0019","1.0015",2237,1877,1961,1973,3068,2535,2366,2714
"F01","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","-2.74(-6.07,-0.33)*","-1.23(-4.52,1.10)","-1.44(-4.71,0.85)","-1.38(-4.68,0.96)","0.0252","0.3992","0.2992","0.3317","1.0008","1.0016","1.0016","1.0015",959,945,944,926,1026,1039,985,1036
"F01","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","2.92(0.87,4.94)**","1.97(0.00,3.87)*","2.13(0.22,4.01)*","2.23(0.30,4.06)*","0.0087","0.0497","0.0332","0.0262","1.0005","1.0009","1.0009","1.0010",2025,1815,1860,1867,2433,2449,2326,2492
"F01","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","-0.92(-1.76,-0.12)*","-0.55(-1.47,0.39)","-0.52(-1.29,0.25)","-0.96(-1.81,-0.14)*","0.0262","0.2457","0.1812","0.0247","1.0006","1.0013","1.0014","1.0021",3475,3462,2965,3088,2995,3004,2940,2837
"F01","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","1.97(0.59,3.31)**","1.80(0.50,3.08)**","1.80(0.49,3.10)**","1.75(0.41,3.07)**","0.0062","0.0052","0.0062","0.0092","1.0034","1.0021","1.0028","1.0008",2215,2122,2016,2060,2480,2216,2226,2415
