ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F01,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.56(0.05,1.07)*","1.12(0.52,1.69)***","1.32(0.58,2.06)***","1.97(0.97,2.95)***",0.0322,0.0007,0.0007,0.0002,1.0019,1.0009,1.0022,1.0002,3475,3497,3332,3776,3090,2720,2975,3088
"F01","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","1.29(0.51,2.11)**","1.39(0.56,2.24)***","1.87(1.00,2.75)***","1.59(0.68,2.59)**","0.0017","0.0007","0.0002","0.0017","1.0010","1.0012","1.0014","1.0022",1890,1738,1577,1675,2670,2615,2566,2339
"F01","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","0.97(-0.07,2.07)","0.38(-0.62,1.31)","-0.28(-1.30,0.79)","0.52(-0.92,1.97)","0.0722","0.4191","0.5906","0.4786","1.0010","1.0010","1.0003","1.0003",1836,1957,1910,2165,2389,2380,2461,2555
"F01","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","0.07(-0.52,0.67)","0.66(-0.04,1.38)","0.88(-0.30,2.06)","0.41(-1.15,1.98)","0.8420","0.0662","0.1557","0.6071","1.0004","1.0010","1.0009","1.0006",3638,3551,3928,4142,3279,3273,3178,3507
"F01","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","-0.03(-0.67,0.63)","0.32(-0.39,1.04)","0.35(-0.34,1.04)","1.17(0.35,1.95)**","0.9390","0.3577","0.3187","0.0027","1.0015","1.0013","1.0006","1.0012",2120,1739,1692,1648,2814,2575,2725,2717
"F01","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","0.38(-0.18,0.92)","-0.07(-0.71,0.58)","0.36(-0.33,1.05)","0.27(-0.56,1.09)","0.1827","0.8270","0.3002","0.5186","1.0006","1.0009","1.0009","1.0000",3272,2878,2988,3291,2988,2827,2979,3354
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","0.39(-0.39,1.18)","0.84(-0.07,1.73)","0.74(-0.40,1.86)","0.83(-0.65,2.33)","0.3422","0.0717","0.1907","0.2907","1.0007","0.9995","1.0002","0.9998",3566,2748,3361,2907,3018,2723,2854,2960
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","1.49(0.21,2.85)*","1.80(0.43,3.24)*","1.76(0.40,3.18)*","1.54(0.08,3.07)*","0.0232","0.0107","0.0137","0.0382","1.0024","1.0024","1.0036","1.0034",1766,1585,1379,1440,2687,2454,2163,2136
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","1.38(-0.08,2.74)","1.02(-0.18,2.19)","0.68(-0.75,2.01)","-0.20(-2.05,1.60)","0.0602","0.0907","0.3392","0.8355","1.0016","1.0006","1.0015","1.0011",1989,1680,2237,2655,2190,2113,2278,2735
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.37(-0.54,1.32)","0.37(-0.70,1.47)","0.47(-1.32,2.22)","-0.33(-2.60,2.06)","0.4306","0.5046","0.6291","0.7596","1.0012","1.0011","1.0008","1.0000",4663,3962,3249,3898,3114,2981,3214,2934
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI_Built","0.00","1.16(0.10,2.16)*","0.82(-0.27,1.87)","0.63(-0.44,1.65)","1.01(-0.21,2.20)","0.0342","0.1512","0.2452","0.0962","1.0024","1.0030","1.0041","1.0030",2448,2163,1997,2131,2766,2697,2849,2910
"F01","2000_2005","2011_2015",10,"doe_major_2_EQI_Social","0.00","0.49(-0.35,1.33)","-0.21(-1.16,0.76)","0.60(-0.43,1.61)","1.19(-0.02,2.42)","0.2437","0.6656","0.2412","0.0567","1.0002","1.0014","1.0019","1.0003",3023,2759,3019,3016,3002,2926,3109,2906
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI","0.00","-0.15(-0.87,0.53)","0.64(-0.14,1.43)","0.35(-0.65,1.36)","0.56(-0.76,1.88)","0.6751","0.1152","0.4916","0.4001","1.0003","1.0013","1.0004","1.0008",3160,2968,2827,2766,3112,3056,2684,2938
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI_Air","0.00","0.84(-0.35,1.96)","1.16(-0.09,2.32)","1.26(-0.03,2.48)","0.73(-0.62,2.05)","0.1512","0.0682","0.0552","0.2812","1.0026","1.0020","1.0036","1.0032",1791,1610,1504,1486,2514,2446,2366,2229
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI_Water","0.00","-0.20(-1.52,1.19)","0.52(-0.57,1.88)","-0.17(-1.42,1.23)","-1.05(-2.67,0.50)","0.7551","0.4131","0.7541","0.1872","1.0007","1.0006","1.0019","1.0015",2179,1311,1559,2442,2073,1871,2477,2305
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI_Land","0.00","-0.57(-1.30,0.20)","-0.17(-1.07,0.72)","-0.08(-1.55,1.40)","-0.69(-2.73,1.38)","0.1387","0.7101","0.9060","0.5076","1.0005","1.0024","1.0004","1.0008",3289,2842,2848,3365,3005,2612,2897,2841
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI_Built","0.00","-0.82(-1.74,0.10)","-0.44(-1.39,0.48)","-0.95(-1.86,-0.03)*","0.11(-0.95,1.14)","0.0857","0.3577","0.0427","0.8450","1.0009","1.0005","1.0013","1.0020",2155,1894,1850,1922,2741,2943,2606,2664
"F01","2000_2005","2016_2020",15,"doe_major_2_EQI_Social","0.00","0.54(-0.19,1.28)","0.37(-0.49,1.23)","0.85(-0.06,1.74)","1.68(0.54,2.82)**","0.1502","0.3882","0.0647","0.0042","1.0001","1.0024","1.0009","1.0012",2764,2033,2429,2458,2751,2569,2712,3036
"F01","2006_2010","2011_2015",5,"doe_major_2_EQI","0.00","-0.15(-1.29,1.01)","-0.36(-1.53,0.84)","-0.02(-1.25,1.19)","-0.02(-1.47,1.37)","0.7961","0.5381","0.9590","0.9895","1.0043","1.0032","1.0037","1.0035",1996,1838,1821,2073,2640,2254,2348,2240
"F01","2006_2010","2011_2015",5,"doe_major_2_EQI_Air","0.00","-0.00(-1.00,0.99)","-0.52(-1.55,0.53)","-0.43(-1.51,0.63)","0.64(-0.64,1.96)","0.9825","0.3227","0.4351","0.3362","1.0017","1.0019","1.0013","1.0011",2220,2134,2238,2713,2848,2940,2714,2884
