ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
F01,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"0.57(0.25,0.90)***","1.02(0.66,1.40)***","1.38(0.92,1.84)***","2.55(1.99,3.11)***",0.0002,0.0002,0.0002,0.0002,1.0014,1.0005,1.0011,1.0009,3547,3804,3351,3395,3014,2911,2845,2965
"F01","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","1.02(0.64,1.40)***","1.49(0.98,2.01)***","1.42(0.89,1.97)***","1.99(1.23,2.76)***","0.0002","0.0002","0.0002","0.0002","1.0006","1.0000","1.0004","1.0011",3811,4245,3371,3319,3012,3249,3256,3066
"F01","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-0.23(-0.78,0.34)","-0.02(-0.58,0.57)","-0.12(-0.67,0.47)","0.24(-0.30,0.83)","0.4186","0.9415","0.6471","0.3992","1.0016","1.0018","1.0011","1.0014",1831,1626,1764,1651,2146,2133,1934,1837
"F01","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","0.11(-0.45,0.66)","0.25(-0.30,0.80)","0.08(-0.50,0.66)","0.51(-0.13,1.12)","0.6931","0.3627","0.7961","0.1097","1.0010","0.9996","0.9997","0.9999",2193,2020,1931,1971,2305,2399,2197,2549
"F01","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","-0.03(-0.40,0.33)","0.29(-0.14,0.72)","0.07(-0.30,0.45)","0.19(-0.28,0.67)","0.8930","0.1837","0.7441","0.4541","1.0006","1.0013","1.0017","1.0019",3533,2986,3201,2640,3248,3305,2937,3210
"F01","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","0.12(-0.26,0.49)","0.27(-0.12,0.67)","0.58(0.14,1.02)**","0.38(-0.26,0.99)","0.5581","0.1827","0.0082","0.2377","1.0006","1.0018","1.0012","1.0008",3073,2129,2536,3412,2341,2569,3293,3221
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","0.76(0.34,1.19)***","1.38(0.89,1.86)***","1.36(0.81,1.93)***","3.39(2.72,4.05)***","0.0007","0.0002","0.0002","0.0002","0.9998","1.0017","0.9997","1.0001",3948,4057,3790,3658,2914,2976,2787,3061
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","0.95(0.44,1.46)***","1.98(1.30,2.69)***","1.49(0.77,2.17)***","2.42(1.42,3.41)***","0.0007","0.0002","0.0002","0.0002","1.0006","1.0007","1.0004","1.0001",3550,3730,3138,3570,3164,2562,3047,2914
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-0.25(-1.08,0.59)","0.14(-0.68,1.01)","0.12(-0.69,0.95)","0.37(-0.45,1.22)","0.5386","0.7516","0.7721","0.3817","1.0064","1.0059","1.0053","1.0071",1357,1352,1328,1312,2044,2234,1881,2206
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","0.33(-0.34,1.02)","0.43(-0.25,1.11)","0.52(-0.25,1.27)","0.71(-0.15,1.54)","0.3307","0.2072","0.1837","0.1067","1.0006","1.0012","1.0027","1.0012",1938,1715,1735,1692,2766,2070,2225,2236
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","0.30(-0.18,0.80)","0.24(-0.34,0.80)","0.09(-0.42,0.61)","0.10(-0.49,0.70)","0.2162","0.4271","0.7186","0.7376","1.0006","1.0029","1.0015","1.0013",3341,2610,2942,2644,2936,3034,2756,2942
"F01","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","-0.06(-0.53,0.41)","0.38(-0.13,0.89)","0.60(0.01,1.19)*","1.38(0.51,2.23)**","0.8185","0.1412","0.0467","0.0027","0.9995","1.0009","1.0004","1.0006",3300,2522,2844,2891,3238,2962,2994,2920
"F01","2000_2005","2016_2020",15,"koppen_major_B_EQI","0.00","1.07(0.39,1.71)**","2.22(1.51,2.95)***","2.54(1.69,3.38)***","4.34(3.34,5.34)***","0.0037","0.0002","0.0002","0.0002","1.0023","1.0011","1.0016","1.0017",3701,3512,3883,3586,2894,3082,2362,2952
"F01","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","0.00","1.15(0.41,1.89)**","1.62(0.62,2.62)**","1.36(0.37,2.35)**","1.40(-0.01,2.77)","0.0032","0.0017","0.0087","0.0532","1.0016","1.0006","1.0007","1.0004",4879,4487,3946,4754,3341,2985,3245,3178
