ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G10,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.05(0.03,0.08)***","0.06(0.03,0.09)***","0.09(0.05,0.13)***","0.25(0.18,0.33)***",0.0002,0.0002,0.0002,0.0002,1.0000,1.0004,1.0015,1.0028,3483,3093,3217,3508,3055,2955,2867,2744
"G10","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","0.01(-0.03,0.05)","0.00(-0.04,0.05)","0.05(0.01,0.10)*","0.08(0.02,0.13)**","0.5136","0.9050","0.0307","0.0092","1.0007","1.0003","1.0003","1.0002",2294,1963,1837,1916,2993,2568,2373,2419
"G10","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","0.09(0.02,0.16)**","0.03(-0.03,0.09)","0.10(0.03,0.17)**","0.10(0.02,0.19)*","0.0072","0.3912","0.0032","0.0162","1.0013","1.0007","1.0015","1.0015",1190,1290,1286,1368,2033,1984,2124,2010
"G10","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","0.01(-0.02,0.04)","0.01(-0.03,0.05)","0.00(-0.07,0.08)","-0.00(-0.09,0.09)","0.4141","0.6101","0.9440","0.9495","1.0006","1.0011","1.0013","1.0000",4069,3841,3858,4178,2974,3034,2375,3116
"G10","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","0.01(-0.02,0.04)","0.00(-0.03,0.04)","0.06(0.03,0.10)**","0.05(0.00,0.09)*","0.4126","0.8930","0.0012","0.0392","1.0001","1.0010","1.0006","1.0006",3154,2923,2586,2888,2738,3105,2948,3036
"G10","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","0.03(0.01,0.06)*","0.02(-0.02,0.05)","0.05(0.01,0.09)*","0.07(0.01,0.12)*","0.0142","0.3697","0.0137","0.0212","1.0012","0.9996","1.0002","1.0013",3490,3441,3380,3720,2615,2944,3272,2781
"G10","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","0.04(0.01,0.07)**","0.09(0.05,0.13)***","0.14(0.09,0.20)***","0.25(0.16,0.35)***","0.0067","0.0002","0.0002","0.0002","1.0009","1.0019","1.0016","0.9998",2434,1418,2329,2532,1951,895,2574,2326
"G10","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","0.01(-0.04,0.07)","0.03(-0.03,0.10)","0.04(-0.02,0.10)","0.11(0.04,0.19)**","0.6211","0.3672","0.2067","0.0072","1.0006","1.0006","1.0011","1.0007",2248,1695,1957,1872,2217,1733,1991,2318
"G10","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","0.04(-0.04,0.14)","0.02(-0.06,0.10)","0.02(-0.07,0.11)","0.11(-0.01,0.24)","0.3412","0.6631","0.7241","0.0647","1.0001","1.0012","1.0002","1.0002",1572,1518,1674,2266,2014,2272,2229,2783
"G10","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.00(-0.04,0.05)","0.02(-0.04,0.07)","0.08(-0.04,0.21)","-0.06(-0.18,0.07)","0.9160","0.5911","0.2347","0.3917","1.0018","1.0004","1.0028","1.0004",1644,3542,3450,3740,2242,2782,2642,2948
