ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G12.2,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.58(0.32,0.84)***","1.12(0.80,1.44)***","1.29(0.90,1.70)***","1.58(1.10,2.05)***",0.0002,0.0002,0.0002,0.0002,1.0014,1.0004,1.0001,1.0010,3896,3816,4201,4112,2592,3118,3056,3048
"G12.2","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","0.10(-0.29,0.50)","0.74(0.27,1.23)**","0.86(0.40,1.34)***","0.80(0.28,1.30)**","0.6126","0.0012","0.0002","0.0012","1.0011","0.9997","1.0000","1.0002",1979,1696,1502,1444,2943,2659,2332,2380
"G12.2","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","-0.00(-0.47,0.51)","-0.05(-0.52,0.37)","-0.15(-0.66,0.35)","-0.15(-0.86,0.60)","0.9810","0.8090","0.5491","0.6561","1.0017","1.0023","1.0028","1.0003",1695,1736,1854,2475,2488,2086,1920,2984
"G12.2","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","0.03(-0.29,0.36)","0.10(-0.29,0.49)","0.38(-0.31,1.07)","0.51(-0.56,1.56)","0.8530","0.6246","0.2712","0.3552","1.0008","0.9994","1.0011","0.9998",3688,3888,3604,3564,3109,3246,3193,3004
"G12.2","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","0.24(-0.10,0.58)","0.63(0.28,1.01)***","0.48(0.12,0.84)**","0.61(0.18,1.04)**","0.1602","0.0007","0.0087","0.0047","1.0002","1.0003","1.0003","1.0014",2467,2164,1868,1887,2927,2969,2663,2713
"G12.2","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","0.15(-0.14,0.46)","0.24(-0.11,0.59)","0.40(0.02,0.76)*","0.48(0.02,0.95)*","0.3212","0.1787","0.0362","0.0402","1.0002","1.0010","1.0019","1.0008",2475,2442,2251,2638,2648,2695,2756,2759
"G12.2","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","0.53(0.27,0.78)***","0.96(0.67,1.28)***","1.07(0.67,1.46)***","1.31(0.84,1.78)***","0.0002","0.0002","0.0002","0.0002","1.0005","0.9999","1.0010","1.0006",3908,3832,3471,3681,3064,2864,2574,3031
"G12.2","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","0.06(-0.32,0.45)","0.28(-0.15,0.72)","0.71(0.27,1.17)**","0.63(0.14,1.12)**","0.7701","0.1817","0.0027","0.0097","1.0011","1.0006","1.0013","1.0013",1678,1539,1345,1458,2250,2271,1833,2151
"G12.2","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","-0.06(-0.47,0.40)","-0.01(-0.36,0.38)","0.23(-0.22,0.71)","0.40(-0.21,1.04)","0.7596","0.9225","0.3232","0.2137","1.0021","1.0006","1.0009","1.0019",2085,1954,2739,2483,1914,1920,2090,2375
"G12.2","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.01(-0.27,0.30)","-0.02(-0.37,0.33)","-0.24(-0.83,0.37)","-0.64(-1.36,0.06)","0.9235","0.8765","0.4211","0.0802","1.0004","1.0019","1.0004","0.9998",4189,4263,4141,4638,2922,3069,3094,3126
