ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G12.2,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"0.30(0.10,0.50)**","0.78(0.56,1.02)***","1.47(1.16,1.79)***","1.69(1.35,2.05)***",0.0032,0.0002,0.0002,0.0002,1.0020,1.0004,1.0007,1.0001,4721,4562,4949,4875,2961,3010,3091,2906
"G12.2","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","0.68(0.43,0.94)***","0.78(0.42,1.15)***","1.14(0.78,1.50)***","1.00(0.51,1.48)***","0.0002","0.0002","0.0002","0.0002","1.0000","0.9996","1.0013","1.0007",3825,4127,4088,4142,2312,2880,3046,3060
"G12.2","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","0.05(-0.31,0.39)","0.16(-0.19,0.52)","0.27(-0.10,0.59)","0.28(-0.06,0.61)","0.7611","0.3647","0.1397","0.1007","1.0021","1.0008","1.0021","1.0014",1878,1855,1660,2086,2043,2000,1879,2175
"G12.2","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","0.10(-0.23,0.44)","0.16(-0.16,0.49)","0.24(-0.12,0.59)","0.52(0.13,0.91)*","0.5576","0.3527","0.1872","0.0102","1.0000","1.0000","1.0013","1.0013",2512,2356,2178,2369,2627,2662,2567,2746
"G12.2","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","-0.01(-0.23,0.22)","0.10(-0.17,0.37)","0.41(0.13,0.69)**","0.33(0.03,0.65)*","0.9415","0.4836","0.0032","0.0337","1.0001","1.0011","1.0008","1.0013",3546,2853,2928,3201,2918,2506,3053,2921
"G12.2","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","0.14(-0.09,0.37)","0.11(-0.14,0.36)","0.10(-0.18,0.38)","0.33(-0.08,0.74)","0.2457","0.3862","0.5031","0.1272","1.0006","1.0012","1.0007","1.0012",3238,3268,2820,3621,2752,3185,3014,3035
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","0.39(0.17,0.62)***","0.74(0.49,0.99)***","1.57(1.24,1.91)***","1.71(1.30,2.10)***","0.0007","0.0002","0.0002","0.0002","1.0034","1.0017","1.0036","1.0056",4570,4312,3866,3417,3218,3231,2918,2976
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","1.10(0.80,1.44)***","1.07(0.71,1.45)***","1.05(0.69,1.40)***","1.16(0.66,1.68)***","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0000","1.0007",3764,3684,3171,3501,3011,3009,3220,2940
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-0.10(-0.48,0.29)","-0.03(-0.43,0.38)","0.04(-0.35,0.44)","0.17(-0.22,0.54)","0.6361","0.8800","0.8200","0.3932","1.0021","1.0011","1.0018","1.0010",1319,1372,1323,1423,2049,2106,2115,1959
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","0.38(0.03,0.73)*","0.30(-0.05,0.65)","0.23(-0.16,0.62)","0.31(-0.11,0.73)","0.0317","0.0877","0.2392","0.1537","1.0030","1.0044","1.0027","1.0027",1377,1239,1236,1415,2696,2483,2317,2618
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","-0.02(-0.25,0.22)","0.17(-0.13,0.47)","0.20(-0.07,0.47)","0.42(0.11,0.75)**","0.8780","0.2847","0.1537","0.0082","1.0001","1.0004","1.0002","1.0002",2869,2638,3126,2622,3250,2883,3030,2721
"G12.2","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","0.17(-0.08,0.41)","0.28(0.00,0.56)*","0.32(0.02,0.62)*","0.52(0.08,0.96)*","0.1732","0.0482","0.0377","0.0267","1.0003","0.9995","1.0001","1.0004",2712,2528,2574,2885,2875,2744,2997,3165
"G12.2","2000_2005","2016_2020",15,"koppen_major_B_EQI","0.00","0.35(0.21,0.50)***","0.61(0.44,0.77)***","1.10(0.88,1.32)***","1.64(1.39,1.90)***","0.0002","0.0002","0.0002","0.0002","1.0007","1.0022","1.0016","1.0004",3561,3739,3430,4428,2579,3223,2920,3392
"G12.2","2000_2005","2016_2020",15,"koppen_major_B_EQI_Air","0.00","0.48(0.30,0.66)***","1.08(0.80,1.39)***","1.00(0.75,1.25)***","1.06(0.74,1.40)***","0.0002","0.0002","0.0002","0.0002","1.0003","1.0009","1.0005","1.0006",4359,3593,3117,2901,2843,3113,3225,2481
