ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"-2.76(-9.70,4.37)","-0.37(-5.88,5.51)","4.54(-0.92,9.78)","9.81(4.70,14.75)***",0.4351,0.8965,0.0967,0.0002,1.0013,1.0014,1.0001,1.0010,3066,2548,2046,2019,2859,2952,2825,2817
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","5.31(-1.49,12.31)","-0.02(-5.74,5.84)","2.11(-3.72,7.82)","0.58(-5.05,6.24)","0.1262","0.9815","0.4636","0.8325","1.0000","0.9997","1.0004","1.0007",3975,2858,2670,2766,3187,3092,2938,2802
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","-4.75(-10.35,0.83)","6.78(0.71,12.91)*","4.41(-0.72,9.36)","5.92(0.56,11.39)*","0.0932","0.0282","0.0962","0.0322","1.0008","1.0001","1.0023","1.0006",4316,3613,3551,3384,2864,2737,3231,3232
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","-2.30(-8.24,3.68)","1.81(-3.59,7.05)","4.51(-0.70,9.69)","4.31(-1.29,9.66)","0.4486","0.4871","0.0912","0.1272","1.0011","1.0007","1.0003","0.9994",3040,2670,2629,2891,3193,2890,2980,2928
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","2.72(-3.85,9.22)","-1.02(-6.46,4.45)","3.70(-1.72,8.86)","3.63(-1.51,8.73)","0.4126","0.7241","0.1787","0.1692","1.0004","1.0018","1.0018","1.0037",3601,3124,2727,2669,3152,2870,2786,2731
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","1.48(-4.58,7.43)","3.42(-1.86,8.69)","4.13(-0.92,9.19)","8.80(3.86,13.94)***","0.6566","0.2027","0.1147","0.0007","1.0010","1.0004","1.0006","1.0008",3507,3016,2754,2753,2856,3133,2817,2720
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","-3.34(-10.26,3.82)","-0.90(-6.94,5.11)","2.95(-2.37,8.53)","11.01(5.83,16.14)***","0.3632","0.7626","0.2862","0.0002","1.0011","1.0012","1.0008","1.0009",3495,2417,1841,1941,2886,2591,2462,2422
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","4.71(-1.91,11.19)","-1.10(-6.91,4.67)","4.09(-1.44,9.98)","4.10(-1.44,9.67)","0.1627","0.6966","0.1512","0.1482","0.9997","1.0017","1.0000","0.9998",4093,3328,3036,3039,3242,3292,3032,2992
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","-3.79(-9.57,1.90)","8.11(1.94,14.18)**","5.71(0.51,10.81)*","4.01(-1.47,9.61)","0.1972","0.0077","0.0287","0.1542","1.0001","1.0002","0.9999","1.0002",3994,3758,4034,3856,2924,2970,3089,3039
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","0.42(-5.74,6.38)","2.40(-2.94,7.83)","3.99(-1.25,9.35)","3.92(-1.70,9.60)","0.8975","0.3777","0.1432","0.1802","1.0006","1.0010","1.0001","1.0006",3158,2534,2467,2854,2738,2770,2986,3064
