ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G30,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"3.57(0.43,6.72)*","8.41(4.94,11.68)***","9.18(5.35,12.95)***","11.10(6.88,15.26)***",0.0272,0.0002,0.0002,0.0002,1.0009,1.0007,1.0008,1.0002,2954,2854,3637,3189,2997,2705,2910,3019
"G30","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","0.44(-2.79,3.78)","3.66(-0.25,7.52)","1.47(-2.69,5.68)","4.07(-1.53,9.82)","0.7936","0.0692","0.4916","0.1612","1.0007","1.0004","1.0009","1.0005",3148,3359,3192,3322,3241,2675,2880,2826
"G30","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-0.19(-4.87,4.51)","-0.99(-5.42,3.53)","5.29(0.95,9.58)*","3.14(-1.15,7.50)","0.9290","0.6476","0.0197","0.1467","1.0011","1.0010","1.0021","1.0007",2134,1909,1831,1754,2373,2568,2290,2648
"G30","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","0.41(-3.62,4.81)","0.16(-3.88,4.12)","2.83(-1.40,7.15)","6.07(1.66,10.63)*","0.8570","0.9500","0.1827","0.0112","1.0008","1.0013","1.0013","1.0003",2572,2385,2201,2239,2839,3044,3004,3032
"G30","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","2.55(-0.87,6.04)","6.71(2.92,10.74)**","4.07(0.39,7.60)*","4.71(0.78,8.76)*","0.1507","0.0012","0.0262","0.0207","1.0020","1.0019","1.0010","0.9998",3059,2803,2760,2310,3101,3196,2991,2921
"G30","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","1.54(-1.82,4.96)","1.89(-1.55,5.38)","2.64(-1.07,6.39)","2.89(-2.07,7.88)","0.3852","0.2997","0.1662","0.2492","1.0011","1.0000","1.0010","1.0001",3368,3017,3207,3143,2709,2895,2905,3033
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","3.12(-0.04,6.27)","6.03(2.58,9.24)***","8.30(4.53,12.08)***","11.26(6.88,15.55)***","0.0537","0.0002","0.0002","0.0002","1.0007","1.0003","1.0001","1.0009",3065,2913,2797,2968,2829,2756,2988,3015
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","0.50(-2.71,3.77)","5.65(1.71,9.59)**","5.28(1.17,9.32)*","5.16(-0.57,10.76)","0.7556","0.0032","0.0132","0.0732","1.0013","1.0015","1.0000","1.0003",4421,4731,4261,5005,2463,2833,3204,3354
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-1.31(-5.72,3.26)","1.08(-3.53,5.67)","3.13(-1.24,7.51)","2.61(-1.71,7.20)","0.5796","0.6426","0.1637","0.2412","1.0004","1.0005","1.0000","1.0008",2981,2601,2606,2441,3177,2806,2723,2530
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","0.40(-3.92,4.60)","0.66(-3.51,4.66)","2.28(-2.02,6.44)","6.57(1.76,11.39)**","0.8540","0.7436","0.2982","0.0097","1.0012","1.0010","1.0001","0.9997",2727,2547,2442,2496,2829,2654,2711,2595
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","2.63(-0.93,5.92)","5.84(1.98,9.68)**","2.40(-1.17,5.76)","2.60(-1.25,6.32)","0.1232","0.0067","0.1802","0.1687","1.0006","0.9999","1.0017","1.0023",3626,3885,3526,3201,3103,3401,3216,3012
"G30","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","0.61(-2.59,3.81)","2.00(-1.46,5.49)","3.16(-0.55,6.69)","2.67(-2.03,7.43)","0.7186","0.2657","0.0942","0.2627","1.0006","1.0004","1.0006","0.9997",4168,4210,3941,4231,3083,3387,3103,2907
"G30","2000_2005","2016_2020",15,"koppen_major_B_EQI","0.00","3.78(0.08,7.49)*","5.09(1.29,8.79)**","9.18(4.55,13.64)***","13.53(8.25,18.45)***","0.0447","0.0092","0.0002","0.0002","1.0016","1.0031","1.0012","1.0016",3341,3262,3411,3591,2883,3074,2871,3038
