ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C00_C97,2000_2005,2006_2010,5,census_region_1_EQI,0.00,"1.19(-6.30,8.70)","2.53(-3.65,8.66)","2.20(-3.63,8.12)","8.90(2.97,14.98)**"
"C00_C97","2000_2005","2006_2010",5,"census_region_1_EQI_Air","0.00","8.08(0.79,15.24)*","3.88(-2.28,10.01)","3.65(-1.96,9.30)","7.47(1.91,13.20)**"
"C00_C97","2000_2005","2006_2010",5,"census_region_1_EQI_Water","0.00","0.11(-5.67,5.90)","7.00(0.87,12.92)*","3.37(-1.73,8.50)","5.74(0.70,10.76)*"
"C00_C97","2000_2005","2006_2010",5,"census_region_1_EQI_Land","0.00","4.53(-1.34,10.65)","6.49(1.23,11.68)*","4.80(-0.28,9.92)","4.81(-0.54,10.22)"
"C00_C97","2000_2005","2006_2010",5,"census_region_1_EQI_Built","0.00","5.02(-1.58,11.61)","0.15(-5.37,5.79)","4.20(-1.20,9.56)","6.89(1.60,12.13)*"
"C00_C97","2000_2005","2006_2010",5,"census_region_1_EQI_Social","0.00","2.53(-3.63,8.54)","-0.81(-6.07,4.42)","1.98(-2.89,7.06)","12.27(7.24,17.44)***"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI","0.00","0.91(-5.45,7.18)","3.15(-2.78,8.73)","3.60(-1.81,8.83)","8.13(2.48,13.62)**"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI_Air","0.00","7.83(1.39,14.21)*","3.84(-1.88,9.54)","5.34(-0.17,10.90)","6.87(1.57,12.24)*"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI_Water","0.00","-0.98(-5.89,3.86)","6.65(1.41,11.70)*","3.81(-0.71,8.35)","4.83(0.31,9.22)*"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI_Land","0.00","5.49(-0.17,10.99)","7.67(2.91,12.55)**","5.44(0.65,10.15)*","6.36(1.26,11.20)*"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI_Built","0.00","3.11(-3.06,9.59)","1.78(-3.26,6.89)","4.83(-0.01,9.63)","5.96(1.19,10.61)*"
"C00_C97","2000_2005","2011_2015",10,"census_region_1_EQI_Social","0.00","1.50(-3.92,7.03)","-1.83(-6.68,2.95)","1.88(-2.82,6.49)","8.05(3.17,12.72)***"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI","0.00","3.29(-1.68,8.33)","1.93(-3.20,6.97)","1.11(-3.86,6.01)","2.97(-1.86,7.95)"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI_Air","0.00","2.85(-2.53,8.22)","0.10(-5.40,5.30)","4.67(-0.65,9.75)","1.75(-3.30,6.58)"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI_Water","0.00","-0.77(-4.26,2.57)","1.81(-2.95,6.45)","2.85(-1.41,7.14)","5.47(0.95,10.17)*"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI_Land","0.00","3.33(0.07,6.60)*","3.67(0.47,6.86)*","3.49(-0.28,7.40)","1.91(-2.22,6.07)"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI_Built","0.00","4.27(0.24,8.14)*","1.00(-2.68,4.80)","1.26(-2.60,5.22)","2.19(-2.11,6.72)"
"C00_C97","2006_2010","2011_2015",5,"census_region_1_EQI_Social","0.00","-6.53(-9.93,-3.03)***","-6.03(-10.19,-1.76)**","-4.12(-9.61,1.74)","0.08(-9.57,9.99)"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI","0.00","3.68(-1.79,9.22)","0.71(-4.65,6.12)","2.03(-3.13,7.24)","5.52(0.43,10.72)*"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI_Air","0.00","4.62(-0.81,9.80)","0.79(-4.57,5.92)","5.34(0.35,10.46)*","2.77(-1.97,7.39)"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI_Water","0.00","0.67(-2.82,4.16)","3.15(-1.75,7.94)","7.69(3.26,12.09)***","7.39(2.98,11.88)***"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI_Land","0.00","2.43(-0.93,5.92)","4.88(1.65,8.16)**","5.97(2.09,9.71)**","5.40(0.91,9.89)*"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI_Built","0.00","3.69(-0.47,7.77)","0.10(-3.84,4.20)","0.66(-3.39,4.54)","2.81(-1.76,7.30)"
"C00_C97","2006_2010","2016_2020",10,"census_region_1_EQI_Social","0.00","-4.71(-8.08,-1.28)**","-5.85(-10.15,-1.62)**","-2.20(-8.26,3.99)","-1.82(-10.83,7.21)"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI","0.00","4.10(-0.47,8.85)","2.72(-1.68,7.07)","5.03(0.84,9.28)*","9.62(5.15,14.02)***"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI_Air","0.00","1.52(-1.98,5.11)","4.84(1.32,8.38)**","7.58(3.87,11.39)***","12.81(8.92,16.70)***"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI_Water","0.00","4.42(0.18,8.56)*","4.12(0.02,8.17)*","2.58(-1.32,6.60)","4.22(-0.15,8.63)"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI_Land","0.00","8.08(3.67,12.80)***","8.27(4.15,12.64)***","6.43(2.24,10.63)**","7.14(2.84,11.43)**"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI_Built","0.00","2.85(-0.84,6.42)","1.41(-2.02,4.85)","2.54(-0.93,6.08)","5.28(1.68,8.95)**"
"C00_C97","2000_2005","2006_2010",5,"census_region_2_EQI_Social","0.00","3.60(-0.96,8.42)","0.51(-3.58,4.75)","1.47(-2.66,5.61)","5.60(1.25,9.93)**"
"C00_C97","2000_2005","2011_2015",10,"census_region_2_EQI","0.00","5.59(0.92,10.85)**","4.81(0.90,10.27)**","6.44(2.28,12.09)***","9.64(4.76,15.98)***"
"C00_C97","2000_2005","2011_2015",10,"census_region_2_EQI_Air","0.00","3.63(0.30,6.95)*","4.45(0.95,7.88)*","6.89(3.28,10.45)***","9.22(5.46,12.90)***"
"C00_C97","2000_2005","2011_2015",10,"census_region_2_EQI_Water","0.00","0.49(-3.31,4.25)","0.52(-3.26,4.40)","-1.24(-4.92,2.47)","1.63(-2.49,5.77)"
