ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C00_C97,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"0.01(-5.45,5.29)","6.38(0.39,12.32)*","8.94(2.08,15.57)**","6.15(-1.35,14.20)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","1.73(-4.91,8.42)","-0.31(-6.74,6.19)","4.65(-1.44,10.54)","9.23(2.72,15.56)**"
"C00_C97","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","4.31(-3.32,11.77)","3.55(-4.11,9.76)","2.97(-4.29,10.13)","1.06(-6.99,9.01)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","3.57(-3.11,9.72)","4.18(-2.44,10.82)","3.36(-5.23,11.78)","-1.50(-10.28,7.43)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","-0.15(-6.47,6.16)","-0.04(-6.14,6.17)","1.38(-4.67,7.44)","4.06(-2.31,10.85)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","1.98(-3.86,7.83)","3.53(-2.92,10.11)","1.67(-4.75,8.13)","3.34(-3.64,10.24)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","0.05(-4.54,4.65)","5.70(0.75,10.71)*","8.80(2.81,14.63)**","5.69(-1.35,12.57)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","0.86(-5.37,6.94)","3.58(-2.37,9.56)","4.69(-0.83,10.29)","7.54(1.30,13.56)*"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","3.87(-3.11,10.89)","0.86(-6.37,7.99)","2.24(-5.02,9.52)","0.85(-7.01,8.82)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","0.39(-5.30,5.88)","0.42(-5.35,6.39)","2.12(-5.43,9.73)","1.53(-7.17,10.32)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI_Built","0.00","0.80(-4.63,6.25)","2.84(-2.45,8.33)","4.64(-0.70,10.10)","5.75(-0.04,11.67)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_2_EQI_Social","0.00","1.33(-3.64,6.24)","0.77(-4.67,6.12)","0.21(-5.57,6.03)","3.84(-2.42,10.38)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI","0.00","2.11(-3.35,7.57)","4.40(-0.97,9.94)","3.58(-2.06,9.32)","3.96(-2.33,10.31)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI_Air","0.00","1.42(-3.48,6.28)","1.82(-3.25,7.13)","4.97(-0.44,10.24)","4.25(-1.90,10.42)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI_Water","0.00","2.57(-4.82,9.78)","-1.14(-7.87,5.35)","-0.94(-7.31,5.53)","0.17(-7.43,7.65)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI_Land","0.00","0.37(-4.53,5.13)","5.37(0.28,10.16)*","1.45(-4.18,6.88)","-2.44(-8.63,3.43)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI_Built","0.00","4.13(-1.63,9.88)","5.55(-0.48,11.49)","1.88(-3.75,7.72)","1.64(-3.97,7.23)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_2_EQI_Social","0.00","-1.37(-6.54,3.93)","1.12(-4.30,6.93)","1.61(-3.94,7.12)","-9.47(-15.03,-3.63)**"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI","0.00","3.50(-1.68,8.68)","3.03(-2.07,8.02)","2.17(-3.06,7.27)","0.96(-5.25,7.13)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI_Air","0.00","1.00(-3.91,6.05)","-0.67(-5.71,4.61)","0.50(-4.78,6.00)","3.26(-3.21,9.49)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI_Water","0.00","3.34(-3.66,10.69)","1.76(-5.11,8.53)","0.93(-5.27,7.26)","-1.97(-9.52,5.53)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI_Land","0.00","1.72(-3.06,6.60)","2.91(-1.87,7.82)","1.47(-3.74,6.75)","-1.30(-7.82,4.79)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI_Built","0.00","4.68(-0.94,10.33)","3.12(-2.82,8.90)","1.83(-3.94,7.42)","1.52(-4.18,7.22)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_2_EQI_Social","0.00","-0.27(-5.23,4.91)","4.57(-0.94,10.22)","3.74(-1.83,9.37)","-2.95(-8.53,2.57)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI","0.00","1.57(-2.24,5.38)","2.80(-1.13,6.45)","5.04(0.72,9.32)*","13.95(8.71,19.29)***"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI_Air","0.00","-1.20(-6.03,3.54)","-0.02(-4.56,4.58)","2.15(-2.53,6.95)","5.63(0.56,10.76)*"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI_Water","0.00","1.52(-3.69,6.79)","1.21(-3.73,6.17)","4.57(-0.29,9.45)","3.50(-1.62,8.79)"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI_Land","0.00","-2.05(-5.50,1.49)","1.99(-2.25,6.36)","5.22(-0.59,10.92)","10.47(3.59,17.29)**"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI_Built","0.00","1.74(-2.27,5.62)","3.96(-0.24,8.15)","7.16(2.96,11.45)***","9.99(5.24,14.64)***"
"C00_C97","2000_2005","2006_2010",5,"doe_major_3_EQI_Social","0.00","-2.26(-5.76,1.42)","-4.46(-8.50,-0.41)*","0.32(-4.60,5.17)","2.07(-2.88,6.89)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI","0.00","4.88(1.04,8.83)*","6.83(2.89,10.86)***","9.47(5.10,13.77)***","13.70(8.59,18.74)***"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI_Air","0.00","0.55(-4.19,5.15)","3.83(-0.84,8.30)","5.39(0.57,10.14)*","7.59(2.46,12.45)**"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI_Water","0.00","3.02(-2.25,8.20)","-1.96(-7.10,3.23)","4.90(-0.36,10.07)","3.15(-2.29,8.78)"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI_Land","0.00","-0.11(-3.53,3.31)","-0.74(-5.03,3.58)","6.60(0.97,12.13)*","8.08(1.14,15.16)*"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI_Built","0.00","1.90(-2.31,5.98)","6.33(2.16,10.57)**","6.66(2.13,11.09)**","10.33(5.63,15.03)***"
"C00_C97","2000_2005","2011_2015",10,"doe_major_3_EQI_Social","0.00","-1.16(-4.87,2.62)","-3.68(-8.06,0.54)","0.62(-4.42,5.64)","2.55(-2.25,7.35)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI","0.00","3.72(-1.28,8.56)","3.10(-1.43,7.67)","5.38(0.58,10.18)*","5.23(0.35,10.04)*"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI_Air","0.00","5.76(1.43,10.23)**","2.60(-1.62,6.86)","6.40(2.08,10.66)**","8.95(3.93,13.84)***"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI_Water","0.00","3.21(-2.19,8.91)","0.88(-4.54,6.12)","5.65(0.48,10.82)*","6.14(0.85,11.41)*"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI_Land","0.00","5.31(1.19,9.42)*","4.46(0.05,8.66)*","7.45(2.79,11.86)**","6.81(2.26,11.43)**"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI_Built","0.00","3.99(-0.86,8.91)","1.99(-2.62,6.71)","-1.39(-6.24,3.40)","-4.17(-8.90,0.58)"
"C00_C97","2006_2010","2011_2015",5,"doe_major_3_EQI_Social","0.00","-0.11(-4.66,4.40)","0.06(-4.78,4.74)","-3.25(-7.83,1.37)","-3.58(-8.31,1.17)"
"C00_C97","2006_2010","2016_2020",10,"doe_major_3_EQI","0.00","5.90(1.75,9.97)**","1.89(-2.28,5.97)","2.99(-1.35,7.13)","3.07(-1.64,7.52)"
