ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C15_C26,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"0.90(-2.49,4.19)","1.26(-2.10,4.61)","2.33(-1.23,5.82)","2.57(-1.23,6.37)"
"C15_C26","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","2.54(-0.51,5.72)","1.58(-2.09,5.44)","2.77(-0.92,6.32)","4.67(-0.22,9.61)"
"C15_C26","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-0.63(-5.45,4.23)","0.97(-3.31,5.33)","2.46(-1.61,6.56)","-0.98(-4.82,2.72)"
"C15_C26","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","-1.88(-5.82,2.24)","-1.19(-4.95,2.84)","-1.21(-5.23,2.97)","-0.37(-4.62,4.07)"
"C15_C26","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","0.80(-2.87,4.42)","3.28(-0.53,6.95)","2.73(-0.73,6.24)","3.00(-0.64,6.75)"
"C15_C26","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","0.48(-3.10,3.91)","-0.39(-3.78,3.03)","0.46(-3.06,4.10)","0.44(-3.74,4.71)"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","4.17(0.69,7.51)*","4.49(0.98,7.80)*","3.65(0.10,7.17)*","3.33(-1.04,7.49)"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","0.76(-2.59,3.97)","0.28(-3.68,3.98)","1.16(-2.66,4.74)","4.39(-0.68,9.48)"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","-2.37(-7.08,2.26)","2.39(-2.04,6.77)","-0.68(-4.77,3.42)","-0.13(-3.85,3.50)"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","2.66(-1.50,7.00)","1.17(-2.77,5.04)","0.18(-3.98,4.31)","0.58(-3.77,4.90)"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","6.07(2.37,9.75)***","6.40(2.51,10.37)***","5.47(1.72,9.31)**","4.97(1.16,8.84)*"
"C15_C26","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","-2.74(-6.39,0.78)","-2.48(-5.99,1.09)","-1.91(-5.63,1.83)","-1.05(-5.72,3.40)"
"C15_C26","2006_2010","2011_2015",5,"koppen_major_B_EQI","0.00","-0.50(-3.66,2.65)","2.90(-0.68,6.58)","1.24(-2.82,5.44)","2.28(-2.73,7.13)"
"C15_C26","2006_2010","2011_2015",5,"koppen_major_B_EQI_Air","0.00","1.00(-2.34,4.34)","4.83(0.71,9.11)*","2.36(-1.73,6.62)","3.20(-1.47,8.07)"
"C15_C26","2006_2010","2011_2015",5,"koppen_major_B_EQI_Water","0.00","-2.37(-7.18,2.33)","5.80(1.15,10.43)*","1.13(-3.17,5.67)","2.38(-1.91,6.59)"
"C15_C26","2006_2010","2011_2015",5,"koppen_major_B_EQI_Land","0.00","-0.92(-4.50,2.57)","1.64(-1.65,4.94)","1.86(-2.17,5.83)","4.35(0.32,8.24)*"
