ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C18_C21,2000_2005,2006_2010,5,census_division_1_EQI,0.00,"0.18(-4.95,4.99)","3.47(-1.45,8.11)","1.80(-2.67,5.70)","0.95(-3.36,4.72)"
"C18_C21","2000_2005","2006_2010",5,"census_division_1_EQI_Air","0.00","1.66(-3.21,6.25)","0.61(-4.20,5.16)","1.04(-3.75,5.64)","1.49(-3.35,6.18)"
"C18_C21","2000_2005","2006_2010",5,"census_division_1_EQI_Water","0.00","-2.12(-7.74,3.36)","1.11(-3.10,5.44)","-0.36(-3.44,2.86)","0.27(-3.33,3.74)"
"C18_C21","2000_2005","2006_2010",5,"census_division_1_EQI_Land","0.00","0.92(-3.48,5.46)","2.12(-2.23,6.53)","1.83(-2.56,6.14)","1.62(-2.90,6.10)"
"C18_C21","2000_2005","2006_2010",5,"census_division_1_EQI_Built","0.00","-0.01(-9.56,9.43)","0.26(-3.12,3.69)","-0.26(-3.74,3.22)","-0.99(-4.09,2.27)"
"C18_C21","2000_2005","2006_2010",5,"census_division_1_EQI_Social","0.00","3.51(-0.25,7.41)","1.41(-2.56,5.31)","2.33(-1.30,6.21)","1.90(-2.03,5.96)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI","0.00","3.38(-2.36,10.05)","-0.26(-6.01,5.34)","2.38(-2.18,7.07)","0.78(-3.73,5.26)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI_Air","0.00","2.81(-2.38,7.85)","1.87(-2.90,6.74)","0.58(-4.12,5.41)","1.19(-3.54,5.93)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI_Water","0.00","0.59(-4.29,5.40)","1.84(-2.02,5.68)","1.18(-1.71,3.88)","0.89(-2.15,3.74)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI_Land","0.00","0.56(-3.84,4.78)","1.32(-2.93,5.45)","1.03(-3.22,5.18)","0.46(-3.81,4.70)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI_Built","0.00","-0.10(-10.02,9.78)","0.49(-3.13,4.34)","0.56(-3.02,4.50)","0.57(-2.93,4.39)"
"C18_C21","2000_2005","2011_2015",10,"census_division_1_EQI_Social","0.00","0.85(-3.40,4.81)","-0.23(-4.57,3.98)","0.24(-3.99,4.37)","-0.95(-5.22,3.15)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI","0.00","0.42(-1.57,2.34)","0.08(-2.21,2.35)","-0.26(-2.50,1.85)","-0.53(-2.52,1.51)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI_Air","0.00","-1.10(-2.53,0.31)","0.17(-1.35,1.68)","0.31(-1.46,1.85)","-0.88(-2.35,0.56)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI_Water","0.00","-1.38(-3.86,0.96)","0.55(-1.46,2.54)","0.40(-1.25,2.00)","-0.43(-1.82,0.96)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI_Land","0.00","0.52(-0.72,1.77)","1.40(0.03,2.76)*","-0.01(-9.94,9.56)","-0.14(-11.55,9.71)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI_Built","0.00","1.29(0.04,2.44)*","0.67(-0.63,1.91)","-0.06(-1.21,1.18)","0.21(-1.39,1.87)"
"C18_C21","2006_2010","2011_2015",5,"census_division_1_EQI_Social","0.00","-0.17(-2.47,1.69)","2.08(-0.14,4.08)","0.88(-5.78,8.14)","-0.04(-9.85,9.83)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI","0.00","-1.54(-3.46,0.24)","-1.42(-3.38,0.43)","-1.89(-3.95,-0.00)*","-1.45(-3.49,0.33)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI_Air","0.00","0.33(-1.42,1.97)","1.57(-0.66,3.52)","0.28(-1.71,2.13)","0.70(-1.10,2.33)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI_Water","0.00","0.38(-2.79,3.76)","1.81(-0.30,3.95)","1.20(-0.63,3.11)","0.63(-0.79,2.23)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI_Land","0.00","-0.17(-1.46,1.04)","0.25(-1.15,1.69)","0.05(-9.69,10.00)","0.04(-9.88,10.84)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI_Built","0.00","-0.01(-1.46,1.41)","-0.57(-2.04,0.85)","-0.17(-1.55,1.23)","-0.12(-1.95,1.76)"
"C18_C21","2006_2010","2016_2020",10,"census_division_1_EQI_Social","0.00","0.59(-1.25,2.37)","0.93(-1.62,3.96)","0.38(-5.30,6.59)","-0.11(-9.83,10.01)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI","0.00","3.96(-0.59,8.70)","2.52(-1.78,6.91)","1.91(-2.35,6.30)","1.51(-2.73,5.77)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI_Air","0.00","2.44(-2.77,7.64)","2.60(-2.05,7.36)","2.68(-1.98,7.38)","2.80(-1.84,7.44)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI_Water","0.00","-0.44(-1.63,0.72)","-0.15(-2.03,1.33)","-0.49(-1.75,0.74)","0.88(-0.79,2.46)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI_Land","0.00","0.58(-1.92,3.10)","-0.02(-2.36,2.33)","-0.49(-2.77,1.93)","-0.65(-2.95,1.69)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI_Built","0.00","1.17(-2.22,4.31)","1.34(-1.86,4.02)","2.14(-1.22,4.97)","1.51(-1.81,4.29)"
"C18_C21","2000_2005","2006_2010",5,"census_division_2_EQI_Social","0.00","-1.57(-3.77,0.49)","-2.45(-3.94,-0.94)**","-3.03(-4.43,-1.61)***","-2.99(-4.40,-1.61)***"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI","0.00","3.63(-0.99,8.46)","1.60(-2.83,5.99)","1.10(-3.28,5.53)","0.80(-3.67,5.23)"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI_Air","0.00","2.56(-2.60,7.45)","0.18(-4.43,4.94)","1.90(-2.67,6.39)","1.53(-2.98,6.05)"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI_Water","0.00","0.06(-0.95,1.18)","0.11(-1.44,1.38)","-1.49(-2.61,-0.41)*","-0.23(-1.60,1.19)"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI_Land","0.00","0.96(-1.37,3.42)","-0.06(-2.14,2.09)","-0.06(-2.12,2.06)","0.13(-1.98,2.33)"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI_Built","0.00","1.51(-2.24,5.21)","1.02(-2.62,4.57)","1.33(-2.34,4.87)","1.24(-2.41,4.80)"
"C18_C21","2000_2005","2011_2015",10,"census_division_2_EQI_Social","0.00","0.44(-1.57,2.47)","-1.02(-2.53,0.45)","-1.67(-3.04,-0.33)*","-1.55(-2.90,-0.20)*"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI","0.00","1.42(-3.07,6.03)","1.55(-2.96,6.06)","1.50(-2.88,5.97)","1.15(-3.25,5.61)"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI_Air","0.00","1.91(-2.76,6.54)","0.81(-3.79,5.40)","1.27(-3.20,5.70)","1.33(-3.24,5.80)"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI_Water","0.00","0.40(-0.39,1.17)","-0.33(-1.62,1.00)","-1.10(-2.23,0.05)","0.18(-1.31,1.55)"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI_Land","0.00","-0.08(-1.12,0.98)","-0.35(-1.11,0.45)","-0.80(-1.72,0.11)","-1.52(-2.46,-0.48)**"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI_Built","0.00","0.18(-1.41,1.80)","0.35(-1.19,1.88)","0.84(-0.69,2.42)","0.92(-0.70,2.51)"
"C18_C21","2006_2010","2011_2015",5,"census_division_2_EQI_Social","0.00","-0.30(-1.23,0.62)","-0.68(-1.94,0.69)","0.99(-0.72,2.87)","-1.63(-9.84,4.33)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI","0.00","1.11(-3.42,5.56)","1.13(-3.21,5.57)","1.39(-2.96,5.89)","0.95(-3.44,5.36)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI_Air","0.00","0.64(-3.84,5.30)","1.28(-3.23,5.74)","1.59(-2.94,6.03)","0.90(-3.56,5.31)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI_Water","0.00","-0.04(-0.69,0.62)","-0.07(-1.05,0.90)","-0.76(-1.59,0.16)","-0.86(-2.09,0.37)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI_Land","0.00","0.03(-0.84,0.89)","-0.20(-0.83,0.42)","-0.31(-1.05,0.43)","-0.75(-1.61,0.09)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI_Built","0.00","0.84(-0.44,2.08)","0.44(-0.75,1.60)","0.58(-0.63,1.75)","1.26(-0.02,2.50)"
"C18_C21","2006_2010","2016_2020",10,"census_division_2_EQI_Social","0.00","0.31(-0.40,0.98)","0.55(-0.55,1.73)","2.03(-1.34,5.81)","-0.26(-8.77,7.52)"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI","0.00","0.54(-2.03,3.13)","0.80(-1.44,3.10)","0.41(-1.61,2.45)","-0.47(-2.46,1.56)"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI_Air","0.00","1.85(-0.53,4.15)","1.27(-0.88,3.44)","1.62(-0.59,3.77)","0.77(-1.42,2.93)"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI_Water","0.00","0.48(-1.34,2.28)","0.18(-1.49,1.74)","-0.43(-2.02,1.09)","-0.44(-2.18,1.18)"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI_Land","0.00","2.11(0.60,3.67)**","2.57(1.15,3.98)***","2.78(1.31,4.24)***","2.90(1.37,4.42)***"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI_Built","0.00","-0.71(-2.13,0.79)","-0.43(-1.80,0.97)","-0.06(-1.47,1.35)","-0.12(-1.58,1.34)"
"C18_C21","2000_2005","2006_2010",5,"census_division_3_EQI_Social","0.00","-0.80(-3.17,1.61)","-1.89(-4.21,0.43)","-2.11(-4.37,0.16)","-1.86(-4.05,0.36)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI","0.00","1.27(-2.64,4.78)","0.33(-3.48,3.63)","0.65(-3.16,3.91)","-0.25(-4.07,2.95)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI_Air","0.00","-0.55(-3.46,2.45)","-1.83(-4.70,1.16)","-1.85(-4.68,1.04)","-2.19(-5.08,0.73)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI_Water","0.00","0.08(-1.87,2.04)","0.24(-1.45,1.86)","0.16(-1.48,1.73)","0.87(-0.86,2.52)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI_Land","0.00","-0.58(-2.28,1.22)","0.90(-0.76,2.70)","0.57(-1.16,2.40)","0.73(-1.04,2.59)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI_Built","0.00","-0.95(-2.46,0.54)","-0.67(-2.01,0.64)","-0.93(-2.27,0.43)","0.04(-1.40,1.55)"
"C18_C21","2000_2005","2011_2015",10,"census_division_3_EQI_Social","0.00","-0.81(-3.37,1.78)","-0.87(-3.45,1.69)","-1.38(-3.91,1.13)","-1.43(-3.97,1.16)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI","0.00","0.14(-2.26,2.45)","-1.17(-3.50,1.07)","-1.07(-3.28,1.14)","-1.14(-3.36,1.03)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI_Air","0.00","1.98(-1.14,5.44)","2.36(-0.73,5.75)","2.22(-0.79,5.70)","2.09(-0.92,5.58)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI_Water","0.00","0.05(-1.99,2.08)","0.29(-1.28,1.93)","0.31(-1.32,1.93)","1.06(-0.55,2.64)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI_Land","0.00","-0.45(-1.89,0.99)","-0.89(-2.19,0.43)","-0.68(-1.83,0.48)","-0.80(-1.99,0.44)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI_Built","0.00","-0.82(-2.43,0.84)","-0.73(-2.26,0.90)","-1.56(-3.12,0.15)","-1.36(-3.08,0.40)"
"C18_C21","2006_2010","2011_2015",5,"census_division_3_EQI_Social","0.00","0.12(-0.68,0.97)","0.53(-0.39,1.49)","1.19(-0.02,2.41)","0.40(-1.36,2.10)"
"C18_C21","2006_2010","2016_2020",10,"census_division_3_EQI","0.00","0.10(-2.56,2.47)","0.03(-2.64,2.33)","-0.29(-2.80,1.92)","-0.03(-2.60,2.25)"
