ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,census_division_1_EQI,0.00,"0.13(-4.89,5.16)","3.37(-1.82,8.75)","1.17(-3.45,5.55)","2.42(-2.21,6.72)"
"C25","2000_2005","2006_2010",5,"census_division_1_EQI_Air","0.00","1.28(-3.48,5.84)","-0.59(-5.30,3.90)","0.18(-4.48,4.68)","0.67(-3.94,5.17)"
"C25","2000_2005","2006_2010",5,"census_division_1_EQI_Water","0.00","0.62(-3.83,5.28)","1.73(-1.14,4.68)","0.52(-2.01,2.93)","0.90(-1.59,3.36)"
"C25","2000_2005","2006_2010",5,"census_division_1_EQI_Land","0.00","0.97(-3.13,5.42)","1.03(-3.03,5.43)","0.28(-3.73,4.67)","0.84(-3.34,5.14)"
"C25","2000_2005","2006_2010",5,"census_division_1_EQI_Built","0.00","-0.09(-9.83,9.45)","1.89(-1.46,5.40)","2.05(-1.26,5.53)","2.76(-0.58,6.25)"
"C25","2000_2005","2006_2010",5,"census_division_1_EQI_Social","0.00","2.23(-1.74,6.26)","0.86(-2.90,4.60)","1.41(-2.42,5.27)","1.55(-2.35,5.39)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI","0.00","2.69(-2.70,8.20)","1.23(-3.70,5.97)","1.64(-2.79,5.98)","2.13(-2.27,6.44)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI_Air","0.00","1.65(-2.81,6.19)","2.00(-2.51,6.44)","1.12(-3.39,5.59)","1.30(-3.14,5.91)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI_Water","0.00","-0.06(-4.89,4.74)","-1.39(-4.48,1.70)","-0.65(-3.05,1.81)","-0.91(-3.48,1.69)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI_Land","0.00","1.65(-2.61,7.69)","1.89(-2.38,7.53)","2.42(-1.91,8.61)","1.74(-2.58,7.91)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI_Built","0.00","-0.15(-9.93,9.66)","0.46(-2.44,3.88)","0.97(-1.78,4.43)","0.50(-2.19,3.93)"
"C25","2000_2005","2011_2015",10,"census_division_1_EQI_Social","0.00","-0.85(-4.58,2.84)","-0.59(-4.24,3.01)","-0.04(-3.64,3.38)","0.12(-3.59,3.73)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI","0.00","0.82(-1.54,2.94)","0.91(-1.63,3.20)","0.32(-2.14,2.53)","0.90(-1.46,3.04)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI_Air","0.00","1.13(-0.25,2.54)","0.12(-1.54,1.98)","0.74(-0.86,2.33)","0.99(-0.52,2.36)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI_Water","0.00","-0.14(-2.93,3.09)","-0.38(-2.32,1.48)","0.65(-0.85,2.15)","0.31(-1.04,1.76)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI_Land","0.00","0.20(-0.94,1.27)","0.27(-1.15,1.70)","-0.11(-9.79,9.53)","-0.04(-9.42,9.36)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI_Built","0.00","-0.06(-1.53,1.53)","-0.62(-1.91,0.71)","-0.22(-1.37,1.06)","-0.00(-1.80,1.81)"
"C25","2006_2010","2011_2015",5,"census_division_1_EQI_Social","0.00","0.40(-1.40,2.02)","0.65(-2.42,4.69)","0.41(-5.00,5.90)","-0.01(-9.79,9.83)"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI","0.00","1.23(-1.14,3.54)","1.50(-1.06,3.93)","1.74(-0.77,4.24)","1.84(-0.61,4.20)"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI_Air","0.00","1.71(0.48,2.89)**","1.62(0.21,2.89)*","1.33(0.05,2.67)*","1.52(0.22,2.76)*"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI_Water","0.00","1.55(-1.59,4.41)","1.05(-0.87,2.99)","1.85(0.25,3.35)*","1.58(0.37,2.84)*"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI_Land","0.00","-0.45(-1.45,0.65)","-1.21(-2.45,0.17)","0.14(-9.28,10.12)","0.09(-9.71,9.54)"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI_Built","0.00","1.42(-0.17,2.83)","0.87(-0.73,2.36)","0.33(-1.08,1.64)","0.65(-1.20,2.36)"
"C25","2006_2010","2016_2020",10,"census_division_1_EQI_Social","0.00","0.09(-1.46,1.55)","0.11(-3.11,3.02)","0.55(-3.29,4.39)","0.08(-9.53,9.61)"
"C25","2000_2005","2006_2010",5,"census_division_2_EQI","0.00","1.17(-3.39,5.63)","1.76(-2.78,6.18)","1.74(-2.79,6.17)","2.31(-2.18,6.64)"
"C25","2000_2005","2006_2010",5,"census_division_2_EQI_Air","0.00","1.96(-2.79,6.54)","1.54(-2.84,6.00)","-0.08(-4.47,4.33)","0.77(-3.54,5.30)"
