ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C25,2000_2005,2006_2010,5,doe_major_2_EQI,0.00,"1.32(0.23,2.35)*","2.14(1.01,3.27)***","2.92(1.56,4.31)***","2.29(0.46,4.13)*"
"C25","2000_2005","2006_2010",5,"doe_major_2_EQI_Air","0.00","1.48(-0.49,3.42)","1.97(-0.06,4.12)","2.00(0.03,4.02)*","2.75(0.70,4.89)*"
"C25","2000_2005","2006_2010",5,"doe_major_2_EQI_Water","0.00","-0.64(-2.57,1.22)","-0.36(-2.00,1.27)","-0.49(-2.37,1.42)","-0.05(-2.22,2.26)"
"C25","2000_2005","2006_2010",5,"doe_major_2_EQI_Land","0.00","0.62(-0.60,1.85)","0.71(-0.57,2.01)","-0.48(-2.65,1.61)","-1.19(-3.88,1.44)"
"C25","2000_2005","2006_2010",5,"doe_major_2_EQI_Built","0.00","2.55(1.10,4.02)**","1.90(0.50,3.35)**","2.00(0.62,3.46)**","2.11(0.51,3.69)**"
"C25","2000_2005","2006_2010",5,"doe_major_2_EQI_Social","0.00","0.70(-0.49,1.85)","0.79(-0.48,2.09)","0.81(-0.46,2.11)","0.97(-0.58,2.55)"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI","0.00","2.27(1.27,3.31)***","2.35(1.23,3.48)***","3.24(1.81,4.66)***","3.09(1.37,4.78)**"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI_Air","0.00","4.27(2.72,5.79)***","4.91(3.18,6.57)***","3.98(2.27,5.55)***","4.26(2.46,6.00)***"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI_Water","0.00","-1.76(-3.93,0.37)","0.11(-1.84,2.22)","0.10(-1.98,2.21)","-1.07(-3.45,1.53)"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI_Land","0.00","-0.33(-1.40,0.73)","-0.18(-1.45,1.11)","0.02(-2.00,2.11)","1.17(-1.70,4.24)"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI_Built","0.00","0.27(-1.00,1.56)","0.95(-0.29,2.21)","1.32(0.08,2.53)*","1.48(0.01,2.82)*"
"C25","2000_2005","2011_2015",10,"doe_major_2_EQI_Social","0.00","0.64(-0.44,1.74)","0.72(-0.42,1.84)","0.60(-0.57,1.77)","0.29(-1.13,1.67)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI","0.00","-0.47(-1.98,1.06)","0.59(-0.93,2.15)","0.13(-1.44,1.72)","0.33(-1.50,2.19)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI_Air","0.00","-0.95(-2.11,0.32)","-0.86(-2.10,0.40)","-0.93(-2.21,0.38)","-0.46(-1.97,1.11)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI_Water","0.00","-2.32(-4.39,-0.26)*","0.10(-1.67,1.85)","0.32(-1.45,2.10)","-2.01(-4.32,0.23)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI_Land","0.00","1.27(0.14,2.39)*","2.14(1.06,3.26)***","1.57(0.30,2.76)*","0.87(-0.55,2.41)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI_Built","0.00","-0.92(-2.96,1.08)","-1.51(-3.61,0.54)","-1.22(-3.35,0.76)","-1.10(-3.26,0.91)"
"C25","2006_2010","2011_2015",5,"doe_major_2_EQI_Social","0.00","-0.45(-1.61,0.69)","-0.21(-1.62,1.19)","-0.89(-2.25,0.49)","-2.69(-4.11,-1.22)***"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI","0.00","0.16(-1.21,1.57)","-0.13(-1.49,1.19)","0.39(-1.04,1.79)","0.50(-1.10,2.06)"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI_Air","0.00","-0.82(-2.00,0.32)","-0.97(-2.15,0.20)","-0.20(-1.48,1.30)","0.26(-1.25,1.80)"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI_Water","0.00","0.75(-1.16,2.73)","1.16(-0.31,2.73)","0.91(-0.44,2.35)","0.85(-0.93,2.66)"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI_Land","0.00","0.33(-0.88,1.47)","0.24(-0.94,1.32)","0.11(-1.22,1.38)","0.49(-0.94,1.85)"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI_Built","0.00","-0.57(-2.69,1.52)","-0.59(-2.86,1.51)","-0.87(-3.06,1.24)","-0.79(-3.04,1.32)"
"C25","2006_2010","2016_2020",10,"doe_major_2_EQI_Social","0.00","-1.02(-2.10,0.05)","-0.31(-1.62,1.05)","-1.80(-3.07,-0.50)*","-1.65(-3.17,-0.11)*"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI","0.00","0.87(-0.07,1.78)","0.97(0.03,1.91)*","1.78(0.83,2.76)***","2.30(1.05,3.52)***"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI_Air","0.00","0.89(-0.39,2.19)","1.28(-0.03,2.54)","1.54(0.21,2.85)*","1.74(0.33,3.10)*"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI_Water","0.00","-0.54(-1.65,0.58)","-0.88(-2.07,0.30)","-0.90(-2.15,0.29)","-0.61(-1.90,0.69)"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI_Land","0.00","0.02(-0.74,0.77)","0.46(-0.55,1.45)","1.04(-0.36,2.50)","0.58(-0.83,2.01)"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI_Built","0.00","0.85(-0.16,1.88)","1.25(0.17,2.29)*","1.30(0.19,2.37)*","1.80(0.62,2.99)**"
"C25","2000_2005","2006_2010",5,"doe_major_3_EQI_Social","0.00","-0.19(-1.01,0.62)","-0.42(-1.44,0.54)","-0.22(-1.42,0.99)","0.36(-0.91,1.57)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI","0.00","0.18(-0.77,1.14)","-0.01(-0.94,0.95)","-0.20(-1.22,0.82)","-0.72(-2.05,0.55)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI_Air","0.00","-1.61(-3.09,-0.14)*","-0.69(-2.22,0.85)","-0.56(-2.14,1.02)","-0.23(-1.84,1.44)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI_Water","0.00","-0.52(-1.78,0.77)","-1.53(-2.99,-0.03)*","-1.01(-2.38,0.36)","-0.71(-2.19,0.74)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI_Land","0.00","0.38(-0.42,1.21)","-0.09(-1.13,0.95)","-0.25(-1.72,1.20)","-0.36(-1.82,1.13)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI_Built","0.00","0.52(-0.58,1.61)","0.27(-0.87,1.41)","0.39(-0.78,1.57)","0.62(-0.67,1.91)"
"C25","2000_2005","2011_2015",10,"doe_major_3_EQI_Social","0.00","-0.55(-1.54,0.44)","-1.11(-2.20,-0.03)*","-1.52(-2.78,-0.25)*","-1.91(-3.24,-0.64)**"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI","0.00","-1.44(-2.73,-0.16)*","-0.91(-2.14,0.31)","-1.41(-2.66,-0.18)*","-1.09(-2.42,0.27)"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI_Air","0.00","0.20(-0.87,1.27)","0.76(-0.25,1.79)","0.66(-0.39,1.67)","1.09(-0.11,2.30)"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI_Water","0.00","-0.45(-1.56,0.81)","-0.76(-1.84,0.41)","-0.81(-1.87,0.26)","-0.67(-1.76,0.44)"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI_Land","0.00","0.08(-0.89,1.01)","-0.28(-1.26,0.72)","-0.10(-1.23,1.01)","0.41(-0.72,1.51)"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI_Built","0.00","0.68(-0.80,2.11)","-0.14(-1.59,1.27)","-0.17(-1.62,1.29)","-0.66(-2.12,0.83)"
"C25","2006_2010","2011_2015",5,"doe_major_3_EQI_Social","0.00","0.94(-0.11,1.99)","1.63(0.39,2.89)*","1.35(0.05,2.79)*","1.21(-0.02,2.45)"
"C25","2006_2010","2016_2020",10,"doe_major_3_EQI","0.00","0.20(-1.13,1.49)","0.30(-0.99,1.61)","0.44(-0.91,1.78)","-0.15(-1.49,1.22)"
"C25","2006_2010","2016_2020",10,"doe_major_3_EQI_Air","0.00","-0.07(-1.12,0.97)","0.14(-0.91,1.21)","0.05(-0.99,1.05)","0.21(-0.99,1.39)"
"C25","2006_2010","2016_2020",10,"doe_major_3_EQI_Water","0.00","-1.53(-2.69,-0.33)*","-1.02(-2.20,0.22)","-1.41(-2.50,-0.21)*","-0.96(-2.18,0.23)"
