ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C34,2000_2005,2006_2010,5,koppen_major_B_EQI,0.00,"5.63(2.05,9.11)**","5.86(2.12,9.51)**","6.64(2.61,10.68)**","5.74(1.21,10.16)*"
"C34","2000_2005","2006_2010",5,"koppen_major_B_EQI_Air","0.00","0.52(-3.18,4.11)","1.97(-2.14,6.05)","2.43(-2.05,6.90)","1.62(-4.31,7.40)"
"C34","2000_2005","2006_2010",5,"koppen_major_B_EQI_Water","0.00","-1.53(-6.94,3.78)","0.37(-4.58,5.34)","5.04(0.24,10.24)*","0.75(-4.01,5.43)"
"C34","2000_2005","2006_2010",5,"koppen_major_B_EQI_Land","0.00","-1.03(-5.51,3.58)","1.26(-3.05,5.58)","0.24(-4.51,4.83)","2.05(-3.05,7.16)"
"C34","2000_2005","2006_2010",5,"koppen_major_B_EQI_Built","0.00","-0.01(-4.05,4.07)","2.74(-1.65,7.01)","2.45(-1.49,6.49)","2.25(-1.96,6.46)"
"C34","2000_2005","2006_2010",5,"koppen_major_B_EQI_Social","0.00","1.43(-2.46,5.40)","1.96(-1.81,5.95)","2.67(-1.61,7.12)","2.74(-2.22,7.62)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI","0.00","3.53(-0.01,7.10)","2.71(-0.76,6.13)","4.36(0.57,7.98)*","3.23(-0.96,7.48)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI_Air","0.00","1.69(-1.66,5.21)","1.86(-2.13,5.96)","1.17(-2.89,5.26)","1.75(-3.80,7.42)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI_Water","0.00","4.61(-0.28,9.57)","1.00(-3.32,5.44)","1.21(-2.98,5.59)","-0.95(-4.84,3.18)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI_Land","0.00","-0.20(-4.48,4.06)","-0.55(-4.52,3.41)","2.62(-1.61,6.88)","3.75(-0.65,8.22)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI_Built","0.00","2.94(-0.67,6.65)","1.81(-2.21,5.73)","3.87(0.09,7.53)*","3.27(-0.66,7.28)"
"C34","2000_2005","2011_2015",10,"koppen_major_B_EQI_Social","0.00","2.95(-0.78,6.51)","1.97(-1.64,5.54)","0.93(-2.78,4.61)","2.52(-2.45,7.35)"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI","0.00","0.57(-2.51,3.79)","-0.00(-3.78,3.70)","-1.85(-6.02,2.38)","-3.91(-8.65,0.92)"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI_Air","0.00","-1.76(-5.15,1.69)","0.45(-3.80,4.61)","1.84(-2.39,6.14)","2.84(-2.36,7.96)"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI_Water","0.00","1.82(-3.11,6.60)","0.43(-4.30,5.14)","0.15(-4.35,4.59)","0.80(-3.70,5.32)"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI_Land","0.00","3.09(-0.72,7.00)","2.01(-1.38,5.52)","3.49(-0.94,7.82)","2.38(-1.67,6.44)"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI_Built","0.00","-2.22(-5.78,1.28)","-1.07(-5.10,2.99)","-1.39(-5.65,2.91)","-5.61(-9.31,-1.91)**"
"C34","2006_2010","2011_2015",5,"koppen_major_B_EQI_Social","0.00","-0.03(-3.80,3.98)","0.76(-3.07,4.51)","-1.45(-5.47,2.63)","-1.88(-5.76,2.11)"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI","0.00","0.52(-2.21,3.24)","-0.48(-3.70,2.74)","0.68(-2.85,4.30)","-1.08(-5.32,3.29)"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI_Air","0.00","-2.91(-5.81,-0.08)*","-1.22(-4.76,2.45)","-1.48(-5.34,2.39)","-0.62(-5.31,4.12)"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI_Water","0.00","2.94(-1.39,7.19)","1.62(-2.73,5.95)","0.06(-4.19,4.13)","-0.12(-4.16,3.90)"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI_Land","0.00","0.84(-2.45,3.95)","3.10(-0.11,6.36)","2.23(-1.55,6.12)","3.84(0.28,7.42)*"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI_Built","0.00","-1.25(-4.49,1.88)","1.81(-1.74,5.31)","-1.15(-4.70,2.32)","-0.88(-4.17,2.27)"
"C34","2006_2010","2016_2020",10,"koppen_major_B_EQI_Social","0.00","1.87(-1.46,5.31)","0.79(-2.56,4.14)","0.54(-3.08,4.24)","-2.25(-5.66,1.16)"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI","0.00","1.20(-0.28,2.68)","0.41(-1.08,1.87)","0.36(-1.25,1.91)","1.94(0.09,3.73)*"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI_Air","0.00","-0.02(-2.19,2.16)","0.90(-1.20,3.12)","2.48(0.32,4.69)*","3.85(1.63,6.10)***"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI_Water","0.00","-0.04(-2.12,2.00)","-0.81(-2.94,1.16)","-0.88(-3.05,1.19)","0.11(-2.15,2.26)"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI_Land","0.00","0.02(-1.19,1.23)","-0.45(-1.81,0.90)","-0.50(-2.10,1.07)","-0.94(-2.78,0.93)"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI_Built","0.00","1.47(0.05,2.90)*","0.59(-0.83,2.01)","0.68(-0.84,2.17)","-0.07(-1.63,1.50)"
"C34","2000_2005","2006_2010",5,"koppen_major_C_EQI_Social","0.00","-1.86(-3.23,-0.57)**","-3.45(-4.87,-2.03)***","-2.13(-3.70,-0.57)**","-1.56(-3.30,0.16)"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI","0.00","2.01(0.78,3.24)***","0.95(-0.28,2.18)","1.43(0.10,2.73)*","1.59(0.08,3.11)*"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI_Air","0.00","3.49(1.43,5.52)**","5.43(3.42,7.46)***","6.20(4.16,8.29)***","6.46(4.31,8.61)***"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI_Water","0.00","-0.08(-1.78,1.63)","-0.53(-2.26,1.15)","-0.28(-2.05,1.50)","0.17(-1.70,1.99)"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI_Land","0.00","0.04(-0.95,1.04)","-0.38(-1.53,0.81)","-0.36(-1.81,1.07)","-0.08(-1.67,1.57)"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI_Built","0.00","0.61(-0.61,1.83)","1.16(-0.09,2.43)","0.10(-1.22,1.39)","0.40(-1.01,1.78)"
"C34","2000_2005","2011_2015",10,"koppen_major_C_EQI_Social","0.00","-0.87(-2.04,0.27)","-2.89(-4.14,-1.68)***","-2.24(-3.59,-0.92)**","-1.64(-3.12,-0.15)*"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI","0.00","2.18(0.47,3.88)**","1.50(-0.25,3.17)","1.89(0.09,3.61)*","2.46(0.69,4.22)**"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI_Air","0.00","1.30(-0.13,2.73)","0.87(-0.65,2.28)","1.56(0.03,3.01)*","1.44(-0.14,2.99)"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI_Water","0.00","-0.41(-1.83,1.08)","-1.38(-2.84,0.06)","-0.76(-2.29,0.75)","-0.65(-2.21,0.89)"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI_Land","0.00","0.47(-0.66,1.54)","1.00(-0.10,2.14)","0.88(-0.35,2.14)","0.81(-0.52,2.18)"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI_Built","0.00","0.75(-0.88,2.47)","0.29(-1.34,1.99)","0.96(-0.62,2.64)","0.54(-1.12,2.25)"
"C34","2006_2010","2011_2015",5,"koppen_major_C_EQI_Social","0.00","-0.06(-1.29,1.12)","-0.70(-2.06,0.64)","-0.15(-1.64,1.32)","-0.60(-2.13,0.99)"
"C34","2006_2010","2016_2020",10,"koppen_major_C_EQI","0.00","2.40(0.94,3.92)***","2.40(0.89,3.88)**","2.10(0.59,3.63)**","2.76(1.21,4.31)***"
"C34","2006_2010","2016_2020",10,"koppen_major_C_EQI_Air","0.00","1.73(0.40,3.10)*","1.01(-0.35,2.34)","1.36(0.03,2.72)*","1.61(0.22,3.00)*"
