ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C60_C63,2000_2005,2006_2010,5,doe_code_2A_EQI,0.00,"1.36(0.25,2.46)*","2.58(1.40,3.72)***","2.61(1.09,4.07)***","2.91(0.98,4.77)**"
"C60_C63","2000_2005","2006_2010",5,"doe_code_2A_EQI_Air","0.00","1.70(-0.38,3.74)","3.25(1.11,5.28)**","3.86(1.70,5.86)***","4.02(1.76,6.18)***"
"C60_C63","2000_2005","2006_2010",5,"doe_code_2A_EQI_Water","0.00","0.02(-1.89,2.06)","1.46(-0.56,3.85)","2.60(0.49,4.98)*","3.07(-0.22,6.53)"
"C60_C63","2000_2005","2006_2010",5,"doe_code_2A_EQI_Land","0.00","0.13(-1.06,1.37)","-0.35(-1.66,0.91)","1.04(-1.37,3.40)","2.60(-2.55,8.57)"
"C60_C63","2000_2005","2006_2010",5,"doe_code_2A_EQI_Built","0.00","2.41(0.98,3.78)**","1.55(0.24,2.93)*","1.25(-0.10,2.55)","2.10(0.56,3.65)**"
"C60_C63","2000_2005","2006_2010",5,"doe_code_2A_EQI_Social","0.00","0.11(-0.94,1.14)","0.24(-1.04,1.58)","-0.50(-1.81,0.88)","-0.30(-1.83,1.16)"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI","0.00","0.73(-0.20,1.62)","0.94(-0.04,1.88)","1.46(0.28,2.58)*","1.58(0.09,3.03)*"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI_Air","0.00","2.78(1.02,4.52)**","3.24(1.36,5.06)***","3.04(1.18,4.93)**","2.77(0.82,4.77)**"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI_Water","0.00","-0.24(-1.76,1.37)","0.12(-1.09,1.45)","0.51(-0.88,2.04)","0.49(-1.90,2.90)"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI_Land","0.00","-0.76(-1.67,0.19)","-0.38(-1.45,0.69)","0.45(-1.64,2.42)","3.36(-1.11,8.61)"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI_Built","0.00","-0.43(-1.83,0.94)","0.40(-0.99,1.77)","-0.07(-1.45,1.32)","0.77(-0.69,2.25)"
"C60_C63","2000_2005","2011_2015",10,"doe_code_2A_EQI_Social","0.00","0.81(-0.15,1.73)","-0.00(-1.10,1.12)","-0.19(-1.32,0.87)","0.01(-1.33,1.31)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI","0.00","-1.91(-3.28,-0.58)**","-1.06(-2.44,0.29)","-1.33(-2.76,0.08)","-0.62(-2.22,0.94)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI_Air","0.00","0.75(-0.37,1.84)","-0.65(-1.74,0.40)","0.22(-0.92,1.32)","0.58(-0.86,2.01)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI_Water","0.00","-0.18(-1.98,1.53)","0.07(-1.22,1.35)","0.69(-0.58,2.01)","-0.55(-2.87,1.71)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI_Land","0.00","0.51(-0.51,1.55)","1.00(-0.06,2.03)","0.50(-0.63,1.60)","0.07(-1.24,1.35)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI_Built","0.00","0.72(-1.51,2.89)","0.61(-1.70,2.87)","0.60(-1.73,2.86)","0.05(-2.27,2.27)"
"C60_C63","2006_2010","2011_2015",5,"doe_code_2A_EQI_Social","0.00","0.15(-0.84,1.17)","0.30(-1.03,1.65)","0.02(-1.24,1.22)","-1.32(-2.65,0.08)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI","0.00","-0.16(-1.58,1.29)","0.02(-1.45,1.51)","-0.00(-1.49,1.49)","0.44(-1.16,2.04)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI_Air","0.00","-0.16(-1.54,1.11)","-0.68(-1.96,0.45)","-0.59(-2.00,0.68)","0.13(-1.42,1.50)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI_Water","0.00","-1.06(-2.78,0.63)","-0.28(-1.69,0.96)","-0.64(-1.99,0.58)","-0.90(-3.33,1.42)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI_Land","0.00","0.14(-0.78,1.09)","0.39(-0.64,1.50)","0.40(-0.63,1.53)","0.41(-0.81,1.60)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI_Built","0.00","-0.58(-2.66,1.40)","-0.45(-2.55,1.56)","-0.66(-2.78,1.34)","-0.40(-2.45,1.69)"
"C60_C63","2006_2010","2016_2020",10,"doe_code_2A_EQI_Social","0.00","-0.01(-1.01,0.96)","-0.60(-1.85,0.71)","0.48(-0.74,1.65)","-0.86(-2.29,0.70)"
"C60_C63","2000_2005","2006_2010",5,"doe_code_3A_EQI","0.00","-0.87(-1.78,0.05)","-1.22(-2.16,-0.30)**","-1.26(-2.29,-0.28)*","-2.10(-3.57,-0.71)**"
