ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C76_C80,2000_2005,2006_2010,5,koppen_code__EQI,0.00,"-1.72(-4.68,1.26)","-0.95(-3.97,2.02)","-0.99(-4.13,2.08)","-0.23(-3.70,2.97)"
"C76_C80","2000_2005","2006_2010",5,"koppen_code__EQI_Air","0.00","3.62(0.74,6.55)*","2.19(-1.44,5.72)","0.15(-2.80,3.00)","1.76(-1.71,5.23)"
"C76_C80","2000_2005","2006_2010",5,"koppen_code__EQI_Water","0.00","5.41(1.33,9.45)*","1.47(-1.90,4.71)","-1.28(-4.91,2.36)","2.57(-0.79,5.85)"
"C76_C80","2000_2005","2006_2010",5,"koppen_code__EQI_Land","0.00","-0.40(-3.81,3.21)","1.12(-2.78,4.91)","2.38(-1.22,5.95)","-1.37(-4.86,1.93)"
"C76_C80","2000_2005","2006_2010",5,"koppen_code__EQI_Built","0.00","-3.50(-6.78,0.07)","-0.39(-3.90,3.07)","0.50(-2.52,3.59)","-0.57(-3.92,2.85)"
"C76_C80","2000_2005","2006_2010",5,"koppen_code__EQI_Social","0.00","0.37(-2.99,3.61)","-3.40(-6.14,-0.68)*","-0.45(-3.63,2.75)","0.11(-3.97,4.25)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI","0.00","-1.11(-4.05,1.74)","-3.07(-6.30,0.09)","-2.91(-6.21,0.24)","-2.97(-6.36,0.37)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI_Air","0.00","-0.04(-2.82,2.64)","-1.10(-4.43,2.21)","-1.50(-4.16,1.08)","-0.72(-3.86,2.41)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI_Water","0.00","10.71(6.86,14.51)***","3.19(0.17,6.26)*","0.14(-3.03,3.50)","0.70(-2.45,3.93)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI_Land","0.00","1.13(-2.17,4.67)","0.58(-2.87,3.94)","3.73(0.37,7.11)*","1.51(-1.54,4.63)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI_Built","0.00","-0.42(-4.07,3.09)","-0.16(-3.55,3.17)","0.09(-2.96,3.04)","1.11(-2.13,4.27)"
"C76_C80","2000_2005","2011_2015",10,"koppen_code__EQI_Social","0.00","0.01(-2.91,3.04)","-0.92(-3.48,1.62)","0.36(-2.58,3.17)","-0.86(-4.78,2.90)"
"C76_C80","2006_2010","2011_2015",5,"koppen_code__EQI","0.00","-1.52(-4.32,1.36)","-1.38(-4.46,1.78)","-2.27(-5.52,1.03)","-3.31(-6.45,-0.11)*"
"C76_C80","2006_2010","2011_2015",5,"koppen_code__EQI_Air","0.00","-0.11(-3.12,2.90)","0.87(-2.74,4.30)","0.77(-2.60,4.36)","2.13(-2.23,6.85)"
