ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C76_C80,2000_2005,2006_2010,5,rucc_1_EQI,0.00,"1.03(0.08,1.94)*","0.86(-0.05,1.75)","0.91(-0.00,1.76)","1.11(0.18,1.98)*"
"C76_C80","2000_2005","2006_2010",5,"rucc_1_EQI_Air","0.00","2.23(0.84,3.57)**","2.11(0.85,3.36)**","2.19(0.97,3.45)***","2.03(0.74,3.33)**"
"C76_C80","2000_2005","2006_2010",5,"rucc_1_EQI_Water","0.00","-0.18(-0.98,0.58)","0.15(-0.61,0.92)","0.13(-0.56,0.85)","0.63(-0.11,1.37)"
"C76_C80","2000_2005","2006_2010",5,"rucc_1_EQI_Land","0.00","0.12(-0.44,0.67)","0.05(-0.53,0.63)","-0.22(-0.91,0.41)","-0.37(-1.05,0.27)"
"C76_C80","2000_2005","2006_2010",5,"rucc_1_EQI_Built","0.00","0.65(-0.05,1.35)","0.70(-0.02,1.40)","0.81(0.07,1.53)*","1.15(0.41,1.90)**"
"C76_C80","2000_2005","2006_2010",5,"rucc_1_EQI_Social","0.00","-0.48(-1.35,0.37)","-0.03(-0.82,0.76)","-0.62(-1.39,0.14)","-0.72(-1.48,0.02)"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI","0.00","-0.03(-0.94,0.84)","0.12(-0.74,0.93)","0.34(-0.49,1.16)","0.16(-0.68,0.99)"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI_Air","0.00","-3.38(-5.04,-1.78)***","-2.45(-4.04,-0.86)**","-2.19(-3.80,-0.65)**","-2.60(-4.22,-1.06)**"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI_Water","0.00","0.27(-0.43,0.99)","0.26(-0.43,0.93)","0.05(-0.61,0.70)","0.64(-0.06,1.32)"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI_Land","0.00","0.15(-0.34,0.66)","0.08(-0.43,0.61)","0.16(-0.42,0.74)","0.06(-0.53,0.68)"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI_Built","0.00","0.77(0.09,1.43)*","0.51(-0.17,1.18)","0.60(-0.06,1.24)","0.88(0.20,1.52)*"
"C76_C80","2000_2005","2011_2015",10,"rucc_1_EQI_Social","0.00","0.35(-0.38,1.07)","0.26(-0.39,0.91)","-0.03(-0.68,0.62)","-0.34(-0.96,0.29)"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI","0.00","0.62(-0.14,1.40)","0.42(-0.34,1.19)","0.39(-0.39,1.16)","0.29(-0.49,1.06)"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI_Air","0.00","0.43(-0.11,0.95)","0.52(-0.03,1.05)","0.55(0.01,1.09)*","0.45(-0.12,0.99)"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI_Water","0.00","-0.04(-0.61,0.55)","-0.13(-0.69,0.45)","-0.25(-0.80,0.31)","-0.03(-0.62,0.54)"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI_Land","0.00","0.26(-0.17,0.67)","0.33(-0.11,0.77)","0.14(-0.32,0.60)","0.40(-0.10,0.90)"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI_Built","0.00","-0.35(-1.12,0.39)","-0.26(-1.01,0.49)","-0.40(-1.16,0.36)","-0.81(-1.56,-0.06)*"
"C76_C80","2006_2010","2011_2015",5,"rucc_1_EQI_Social","0.00","-0.17(-0.55,0.23)","0.49(-0.09,1.05)","0.72(-0.06,1.50)","-1.04(-2.01,-0.02)*"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI","0.00","-0.20(-0.92,0.50)","-0.02(-0.74,0.67)","-0.19(-0.90,0.51)","-0.09(-0.80,0.61)"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI_Air","0.00","0.31(-0.15,0.77)","0.21(-0.26,0.69)","0.21(-0.28,0.70)","0.49(0.00,0.99)"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI_Water","0.00","0.38(-0.13,0.89)","0.44(-0.09,0.98)","0.59(0.08,1.11)*","0.27(-0.28,0.80)"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI_Land","0.00","-0.16(-0.57,0.24)","0.04(-0.36,0.45)","0.04(-0.40,0.48)","0.31(-0.17,0.80)"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI_Built","0.00","0.25(-0.43,0.94)","0.15(-0.53,0.83)","-0.02(-0.69,0.66)","-0.31(-1.00,0.39)"
"C76_C80","2006_2010","2016_2020",10,"rucc_1_EQI_Social","0.00","0.08(-0.28,0.43)","0.05(-0.43,0.54)","0.92(0.21,1.64)**","1.86(0.74,2.96)**"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI","0.00","-1.81(-3.53,-0.22)*","-1.72(-3.33,-0.17)*","-1.52(-3.14,0.14)","-1.94(-3.61,-0.31)*"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI_Air","0.00","1.76(-0.43,3.92)","1.12(-1.01,3.13)","1.83(-0.34,3.78)","2.16(-0.07,4.20)"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI_Water","0.00","2.55(1.09,4.02)***","1.13(-0.05,2.43)","0.86(-0.18,2.00)","2.25(1.16,3.35)***"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI_Land","0.00","-0.22(-1.24,0.78)","0.35(-0.72,1.41)","-0.43(-1.47,0.61)","-0.27(-1.36,0.84)"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI_Built","0.00","-0.52(-3.08,2.24)","-0.44(-2.97,2.12)","-0.72(-3.19,1.80)","-0.76(-3.29,1.80)"
"C76_C80","2000_2005","2006_2010",5,"rucc_2_EQI_Social","0.00","-1.15(-2.19,-0.09)*","-1.93(-3.03,-0.84)***","-1.56(-2.66,-0.44)**","-2.06(-3.28,-0.85)***"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI","0.00","-1.72(-3.28,-0.18)*","-1.09(-2.63,0.44)","-0.96(-2.48,0.57)","-1.45(-2.99,0.02)"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI_Air","0.00","-0.07(-2.83,2.52)","-0.01(-2.73,2.51)","-0.15(-2.75,2.37)","0.53(-2.17,3.08)"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI_Water","0.00","0.51(-0.73,1.73)","0.65(-0.39,1.71)","0.10(-0.83,1.06)","0.81(-0.13,1.85)"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI_Land","0.00","-0.25(-1.26,0.78)","0.17(-0.92,1.24)","0.09(-0.94,1.13)","-0.59(-1.69,0.52)"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI_Built","0.00","-0.91(-3.54,1.68)","-0.27(-2.75,2.12)","-0.97(-3.41,1.40)","-0.24(-2.70,2.14)"
"C76_C80","2000_2005","2011_2015",10,"rucc_2_EQI_Social","0.00","-0.06(-1.11,1.01)","-0.64(-1.68,0.35)","-0.52(-1.63,0.54)","-1.24(-2.43,-0.03)*"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI","0.00","0.50(-0.55,1.53)","-0.09(-1.10,0.93)","0.54(-0.53,1.61)","0.21(-0.88,1.33)"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI_Air","0.00","0.24(-0.87,1.34)","-0.25(-1.36,0.90)","0.88(-0.32,2.04)","0.24(-1.02,1.42)"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI_Water","0.00","0.42(-0.87,1.69)","0.47(-0.62,1.57)","0.21(-0.79,1.22)","0.46(-0.60,1.48)"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI_Land","0.00","-0.07(-1.01,0.89)","-0.17(-1.24,0.89)","-0.07(-1.04,0.88)","-0.60(-1.51,0.31)"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI_Built","0.00","0.16(-0.88,1.20)","-0.19(-1.25,0.88)","-0.26(-1.39,0.90)","-0.62(-1.95,0.73)"
"C76_C80","2006_2010","2011_2015",5,"rucc_2_EQI_Social","0.00","-0.34(-1.27,0.61)","-0.11(-1.19,0.99)","1.17(-0.15,2.49)","0.60(-1.42,2.64)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI","0.00","-0.16(-1.30,0.97)","-0.59(-1.69,0.56)","-0.66(-1.93,0.58)","-0.63(-1.92,0.70)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI_Air","0.00","-0.16(-1.25,0.94)","-0.32(-1.47,0.84)","-0.25(-1.48,0.92)","-0.56(-1.86,0.68)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI_Water","0.00","1.36(0.07,2.71)*","1.72(0.43,2.94)*","1.35(0.20,2.48)*","0.93(-0.31,2.10)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI_Land","0.00","0.16(-0.83,1.15)","0.05(-1.09,1.14)","0.34(-0.77,1.38)","-0.76(-1.80,0.25)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI_Built","0.00","-0.81(-1.99,0.36)","-0.47(-1.71,0.72)","-0.49(-1.78,0.75)","-0.82(-2.29,0.69)"
"C76_C80","2006_2010","2016_2020",10,"rucc_2_EQI_Social","0.00","-0.16(-1.11,0.81)","-0.43(-1.54,0.74)","0.14(-1.29,1.55)","0.60(-1.23,2.62)"
