ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C00_C97,2000_2005,2006_2010,5,Q2,1.1011,1.0801,1.122,10.11,0.0002
C00_C97,2000_2005,2006_2010,5,Q3,1.1262,1.1052,1.1467,12.6201,0.0002
C00_C97,2000_2005,2006_2010,5,Q4,1.146,1.1239,1.1676,14.6029,0.0002
C00_C97,2000_2005,2006_2010,5,Q5,1.1955,1.1716,1.2186,19.5532,0.0002
"C00_C97","2000_2005","2011_2015",10,"Q2",1.1051,1.0849,1.126,10.5067,"0.0002"
"C00_C97","2000_2005","2011_2015",10,"Q3",1.1268,1.1067,1.1481,12.6809,"0.0002"
"C00_C97","2000_2005","2011_2015",10,"Q4",1.1491,1.1276,1.172,14.9136,"0.0002"
"C00_C97","2000_2005","2011_2015",10,"Q5",1.1811,1.1579,1.2051,18.1079,"0.0002"
"C00_C97","2000_2005","2016_2020",15,"Q2",1.1008,1.0811,1.1207,10.0827,"0.0002"
"C00_C97","2000_2005","2016_2020",15,"Q3",1.1092,1.0898,1.129,10.9245,"0.0002"
"C00_C97","2000_2005","2016_2020",15,"Q4",1.1242,1.1037,1.145,12.4201,"0.0002"
"C00_C97","2000_2005","2016_2020",15,"Q5",1.1482,1.1269,1.1709,14.8237,"0.0002"
