ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
C22,2000_2005,2006_2010,5,Q2,1.4111,1.2939,1.5474,41.1121,0.0002
C22,2000_2005,2006_2010,5,Q3,1.6887,1.5414,1.8571,68.8741,0.0002
C22,2000_2005,2006_2010,5,Q4,1.8028,1.639,1.9942,80.2845,0.0002
C22,2000_2005,2006_2010,5,Q5,2.0041,1.8097,2.221,100.4138,0.0002
"C22","2000_2005","2011_2015",10,"Q2",1.5389,1.4136,1.6784,53.8894,"0.0002"
"C22","2000_2005","2011_2015",10,"Q3",1.734,1.5883,1.8968,73.3991,"0.0002"
"C22","2000_2005","2011_2015",10,"Q4",1.8489,1.6893,2.0309,84.8938,"0.0002"
"C22","2000_2005","2011_2015",10,"Q5",1.9684,1.7957,2.1728,96.838,"0.0002"
"C22","2000_2005","2016_2020",15,"Q2",1.4625,1.3614,1.5765,46.251,"0.0002"
"C22","2000_2005","2016_2020",15,"Q3",1.5316,1.4277,1.6518,53.1648,"0.0002"
"C22","2000_2005","2016_2020",15,"Q4",1.5635,1.45,1.6883,56.3453,"0.0002"
"C22","2000_2005","2016_2020",15,"Q5",1.6624,1.5381,1.8017,66.2367,"0.0002"
