ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20,2000_2005,2006_2010,5,Q2,1.8534,1.6824,2.0455,85.3382,0.0002
G20,2000_2005,2006_2010,5,Q3,2.2267,2.0202,2.4615,122.6685,0.0002
G20,2000_2005,2006_2010,5,Q4,2.4538,2.2171,2.7188,145.3818,0.0002
G20,2000_2005,2006_2010,5,Q5,2.6839,2.4195,2.991,168.3853,0.0002
"G20","2000_2005","2011_2015",10,"Q2",1.738,1.5907,1.9065,73.7995,"0.0002"
"G20","2000_2005","2011_2015",10,"Q3",2.0098,1.8437,2.2051,100.9783,"0.0002"
"G20","2000_2005","2011_2015",10,"Q4",2.2633,2.0756,2.4941,126.3341,"0.0002"
"G20","2000_2005","2011_2015",10,"Q5",2.4594,2.2406,2.7225,145.9424,"0.0002"
"G20","2000_2005","2016_2020",15,"Q2",1.6209,1.4953,1.7528,62.0915,"0.0002"
"G20","2000_2005","2016_2020",15,"Q3",1.7614,1.6287,1.9035,76.1433,"0.0002"
"G20","2000_2005","2016_2020",15,"Q4",1.9463,1.7969,2.1094,94.6258,"0.0002"
"G20","2000_2005","2016_2020",15,"Q5",2.1355,1.9645,2.3229,113.5542,"0.0002"
