ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30_F01_F03,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G30_F01_F03,2000_2005,2006_2010,5,Q2,1.206,1.154,1.2629,20.5984,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q3,1.3074,1.2491,1.3706,30.7409,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q4,1.4093,1.3462,1.4753,40.9321,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q5,1.5424,1.47,1.6208,54.2366,0.0002
"G30_F01_F03","2000_2005","2011_2015",10,"Q1",1.2019,1.0965,1.3129,20.1875,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q2",1.4276,1.317,1.5494,42.7608,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q3",1.5137,1.3986,1.6383,51.3735,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q4",1.6305,1.5123,1.7594,63.0503,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q5",1.7927,1.6658,1.9309,79.2679,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q1",1.292,1.1867,1.4077,29.2009,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q2",1.4807,1.3679,1.6055,48.0728,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q3",1.5313,1.4167,1.6575,53.1265,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q4",1.6387,1.52,1.7687,63.8686,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q5",1.7714,1.6489,1.9092,77.1382,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q1",1,1,1,0,NA
"G30_F01_F03","2000_2005","2006_2010",5,"Q2",1.206,1.154,1.2629,20.5984,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q3",1.3074,1.2491,1.3706,30.7409,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q4",1.4093,1.3462,1.4753,40.9321,"0.0002"
"G30_F01_F03","2000_2005","2006_2010",5,"Q5",1.5424,1.47,1.6208,54.2366,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q1",1.2019,1.0965,1.3129,20.1875,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q2",1.4276,1.317,1.5494,42.7608,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q3",1.5137,1.3986,1.6383,51.3735,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q4",1.6305,1.5123,1.7594,63.0503,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q5",1.7927,1.6658,1.9309,79.2679,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q1",1.292,1.1867,1.4077,29.2009,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q2",1.4807,1.3679,1.6055,48.0728,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q3",1.5313,1.4167,1.6575,53.1265,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q4",1.6387,1.52,1.7687,63.8686,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q5",1.7714,1.6489,1.9092,77.1382,"0.0002"
