ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
F01,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
F01,2000_2005,2006_2010,5,Q2,5.2016,3.7937,6.9776,420.1583,0.0002
F01,2000_2005,2006_2010,5,Q3,14.2189,10.2888,19.1365,1321.8887,0.0002
F01,2000_2005,2006_2010,5,Q4,29.5327,20.8876,40.5054,2853.2656,0.0002
F01,2000_2005,2006_2010,5,Q5,63.8296,44.2676,89.8684,6282.9586,0.0002
"F01","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"F01","2000_2005","2011_2015",10,"Q2",5.0027,3.6992,6.67,400.2685,"0.0002"
"F01","2000_2005","2011_2015",10,"Q3",12.8722,9.4842,17.1499,1187.2219,"0.0002"
"F01","2000_2005","2011_2015",10,"Q4",22.5056,16.327,30.4548,2150.5555,"0.0002"
"F01","2000_2005","2011_2015",10,"Q5",45.2112,31.432,63.5562,4421.1217,"0.0002"
"F01","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"F01","2000_2005","2016_2020",15,"Q2",4.4289,3.3223,5.776,342.8898,"0.0002"
"F01","2000_2005","2016_2020",15,"Q3",9.978,7.3831,13.0624,897.7974,"0.0002"
"F01","2000_2005","2016_2020",15,"Q4",20.4552,14.9984,27.4813,1945.5194,"0.0002"
"F01","2000_2005","2016_2020",15,"Q5",35.305,25.3526,47.956,3430.4973,"0.0002"
