ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G12.2,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G12.2,2000_2005,2006_2010,5,Q2,4.8985,3.628,6.491,389.8469,0.0002
G12.2,2000_2005,2006_2010,5,Q3,15.237,11.1911,20.2621,1423.7017,0.0002
G12.2,2000_2005,2006_2010,5,Q4,34.3224,24.8691,46.2762,3332.2436,0.0002
G12.2,2000_2005,2006_2010,5,Q5,63.9109,45.2127,88.1361,6291.0893,0.0002
"G12.2","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G12.2","2000_2005","2011_2015",10,"Q2",6.4293,4.8119,8.3922,542.9345,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q3",20.2297,15.0056,26.6496,1922.9667,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q4",31.2326,22.971,41.8392,3023.2604,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q5",57.9015,41.335,78.769,5690.1502,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G12.2","2000_2005","2016_2020",15,"Q2",6.5106,4.8739,8.491,551.0628,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q3",16.9909,12.7153,22.1371,1599.091,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q4",33.2603,24.5659,43.6678,3226.0332,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q5",61.1882,44.1337,83.3021,6018.8193,"0.0002"
