ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30_F01_F03,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G30_F01_F03,2000_2005,2006_2010,5,Q2,2.1927,1.8955,2.5206,119.2724,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q3,2.5977,2.2483,2.9914,159.7689,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q4,3.0913,2.6376,3.5857,209.132,0.0002
G30_F01_F03,2000_2005,2006_2010,5,Q5,3.9019,3.2754,4.6189,290.1949,0.0002
"G30_F01_F03","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G30_F01_F03","2000_2005","2011_2015",10,"Q2",2.1286,1.8474,2.428,112.8585,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q3",2.417,2.0978,2.7714,141.6954,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q4",2.8376,2.4279,3.2809,183.7557,"0.0002"
"G30_F01_F03","2000_2005","2011_2015",10,"Q5",3.5724,2.9992,4.2077,257.2376,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G30_F01_F03","2000_2005","2016_2020",15,"Q2",1.9565,1.721,2.2367,95.6465,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q3",2.1791,1.8958,2.4857,117.9071,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q4",2.4984,2.163,2.8611,149.8375,"0.0002"
"G30_F01_F03","2000_2005","2016_2020",15,"Q5",3.0171,2.5707,3.5279,201.7141,"0.0002"
