ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G30,2000_2005,2006_2010,5,Q2,2.655,2.2241,3.1389,165.5044,0.0002
G30,2000_2005,2006_2010,5,Q3,3.2586,2.7284,3.8453,225.8588,0.0002
G30,2000_2005,2006_2010,5,Q4,4.04,3.346,4.8132,304,0.0002
G30,2000_2005,2006_2010,5,Q5,5.0065,4.0683,6.0829,400.655,0.0002
"G30","2000_2005","2011_2015",10,"Q1",1,1,1,0,NA
"G30","2000_2005","2011_2015",10,"Q2",2.1816,1.873,2.5477,118.1647,"0.0002"
"G30","2000_2005","2011_2015",10,"Q3",2.6457,2.2579,3.0627,164.5705,"0.0002"
"G30","2000_2005","2011_2015",10,"Q4",3.1618,2.6682,3.696,216.183,"0.0002"
"G30","2000_2005","2011_2015",10,"Q5",3.8686,3.1789,4.6347,286.86,"0.0002"
"G30","2000_2005","2016_2020",15,"Q1",1,1,1,0,NA
"G30","2000_2005","2016_2020",15,"Q2",2.1119,1.8187,2.4337,111.187,"0.0002"
"G30","2000_2005","2016_2020",15,"Q3",2.4038,2.0815,2.7652,140.3832,"0.0002"
"G30","2000_2005","2016_2020",15,"Q4",2.9041,2.4801,3.3892,190.4096,"0.0002"
"G30","2000_2005","2016_2020",15,"Q5",3.6776,3.0867,4.3554,267.7615,"0.0002"
