ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
C18_C21,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"3.96(3.29,4.60)","5.17(4.51,5.82)","5.96(5.28,6.63)","6.42(5.65,7.18)",0.0002,0.0002,0.0002,0.0002,1.0006,0.9999,1.0001,1.0013,4407,3294,2644,2617,3970,3965,3617,3152,"0.32(0.26,0.39)",0.0002,1.0003,4946,3487,"-0.25(-0.31,-0.20)",0.0002,1.0017,2969,3407,"0.15(0.08,0.22)",0.0002,1.0000,3618,3243
"C18_C21","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","4.15(3.46,4.86)","3.89(3.20,4.59)","3.66(2.96,4.37)","3.48(2.72,4.22)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0016","1.0017","1.0010",3327,2847,2561,2410,3610,3226,3271,2905,"0.35(0.28,0.42)","0.0002","0.9998",5342,3870,"-0.22(-0.28,-0.16)","0.0002","1.0015",2728,3286,"0.13(0.06,0.20)","0.0006","1.0018",5190,3704
"C18_C21","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-1.18(-1.86,-0.49)","-0.14(-0.83,0.56)","-0.06(-0.76,0.67)","-0.34(-1.04,0.38)","0.0015","0.6842","0.8600","0.3551","1.0012","1.0027","1.0019","1.0016",2958,2455,2665,2554,3130,3170,3117,3162,"0.35(0.28,0.42)","0.0002","0.9998",5342,3870,"-0.22(-0.28,-0.16)","0.0002","1.0015",2728,3286,"0.13(0.06,0.20)","0.0006","1.0018",5190,3704
"C18_C21","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.44(-0.16,1.02)","0.58(-0.01,1.18)","0.79(0.12,1.44)","1.23(0.53,1.92)","0.1281","0.0552","0.0169","0.0002","1.0006","1.0009","1.0012","1.0017",4422,3556,3154,2787,3979,3543,4007,3426,"0.35(0.28,0.42)","0.0002","0.9998",5342,3870,"-0.22(-0.28,-0.16)","0.0002","1.0015",2728,3286,"0.13(0.06,0.20)","0.0006","1.0018",5190,3704
"C18_C21","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","1.65(1.01,2.30)","2.38(1.74,3.03)","2.60(1.95,3.27)","2.97(2.27,3.67)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0014","1.0004","1.0019",3877,3134,2783,2906,3647,3656,3500,3402,"0.35(0.28,0.42)","0.0002","0.9998",5342,3870,"-0.22(-0.28,-0.16)","0.0002","1.0015",2728,3286,"0.13(0.06,0.20)","0.0006","1.0018",5190,3704
"C18_C21","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","0.62(-0.01,1.26)","0.50(-0.20,1.21)","0.92(0.15,1.72)","1.55(0.68,2.41)","0.0552","0.1656","0.0198","0.0006","1.0010","1.0011","1.0022","1.0021",3382,2892,2631,2527,3768,3541,3054,3209,"0.35(0.28,0.42)","0.0002","0.9998",5342,3870,"-0.22(-0.28,-0.16)","0.0002","1.0015",2728,3286,"0.13(0.06,0.20)","0.0006","1.0018",5190,3704
"C18_C21","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","3.31(2.68,3.90)","4.01(3.40,4.59)","4.65(4.00,5.28)","5.05(4.37,5.75)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0037","1.0036","1.0027",3404,2842,2452,2491,3662,3588,3242,3403,"0.36(0.30,0.42)","0.0002","1.0008",5219,4064,"-0.25(-0.30,-0.20)","0.0002","1.0022",2865,3335,"0.14(0.08,0.20)","0.0002","1.0010",4303,3404
"C18_C21","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","3.13(2.49,3.77)","3.06(2.42,3.70)","2.57(1.93,3.20)","2.27(1.60,2.95)","0.0002","0.0002","0.0002","0.0002","0.9997","0.9999","1.0005","1.0012",3368,2741,2416,2182,3766,3032,3099,3038,"0.41(0.34,0.47)","0.0002","1.0005",4714,3781,"-0.21(-0.26,-0.15)","0.0002","1.0019",2458,3271,"0.11(0.05,0.17)","0.0002","1.0012",4730,3950
"C18_C21","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-1.10(-1.77,-0.42)","-0.17(-0.85,0.52)","0.15(-0.51,0.84)","0.12(-0.58,0.83)","0.0035","0.6259","0.6713","0.7546","1.0017","1.0014","1.0018","1.0011",2535,2206,2213,2036,3209,2640,3129,2867,"0.41(0.34,0.47)","0.0002","1.0005",4714,3781,"-0.21(-0.26,-0.15)","0.0002","1.0019",2458,3271,"0.11(0.05,0.17)","0.0002","1.0012",4730,3950
"C18_C21","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.21(-0.32,0.74)","0.15(-0.41,0.71)","0.30(-0.32,0.92)","0.97(0.32,1.64)","0.4368","0.5884","0.3293","0.0019","1.0013","1.0007","0.9998","1.0012",4089,3299,2946,2801,3705,3625,3243,3168,"0.41(0.34,0.47)","0.0002","1.0005",4714,3781,"-0.21(-0.26,-0.15)","0.0002","1.0019",2458,3271,"0.11(0.05,0.17)","0.0002","1.0012",4730,3950
"C18_C21","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","2.03(1.46,2.61)","2.45(1.87,3.05)","2.87(2.30,3.46)","3.41(2.80,4.04)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0005","1.0007","1.0007",3619,2857,2756,2752,3576,3292,3430,3179,"0.41(0.34,0.47)","0.0002","1.0005",4714,3781,"-0.21(-0.26,-0.15)","0.0002","1.0019",2458,3271,"0.11(0.05,0.17)","0.0002","1.0012",4730,3950
"C18_C21","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","-0.66(-1.27,-0.07)","-0.59(-1.24,0.03)","-0.14(-0.86,0.55)","0.16(-0.65,0.97)","0.0323","0.0669","0.7105","0.7017","1.0001","0.9997","1.0001","1.0003",3258,2540,2352,2259,3376,3375,2763,2683,"0.41(0.34,0.47)","0.0002","1.0005",4714,3781,"-0.21(-0.26,-0.15)","0.0002","1.0019",2458,3271,"0.11(0.05,0.17)","0.0002","1.0012",4730,3950
"C18_C21","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","3.15(2.53,3.76)","3.24(2.62,3.85)","3.69(3.05,4.32)","3.89(3.17,4.60)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0011","1.0011",4588,3398,3036,3090,3598,3670,3381,3129,"0.33(0.27,0.39)","0.0002","1.0017",4998,3081,"-0.19(-0.24,-0.14)","0.0002","1.0018",2949,3415,"0.17(0.11,0.24)","0.0002","1.0010",3795,3507
"C18_C21","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","3.17(2.53,3.79)","2.86(2.22,3.52)","2.38(1.74,3.04)","1.84(1.16,2.53)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0023","1.0021","1.0034",2473,2278,1634,1543,3042,3283,2219,2848,"0.34(0.27,0.40)","0.0002","1.0004",4648,3935,"-0.17(-0.22,-0.11)","0.0002","1.0011",2346,3182,"0.15(0.09,0.22)","0.0002","0.9997",4233,3580
"C18_C21","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","-1.19(-1.88,-0.52)","0.10(-0.56,0.75)","0.13(-0.52,0.77)","0.02(-0.65,0.70)","0.0006","0.7630","0.7163","0.9700","1.0007","1.0023","1.0019","1.0020",2475,2245,2248,2356,3273,3450,2906,3303,"0.34(0.27,0.40)","0.0002","1.0004",4648,3935,"-0.17(-0.22,-0.11)","0.0002","1.0011",2346,3182,"0.15(0.09,0.22)","0.0002","0.9997",4233,3580
"C18_C21","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","0.13(-0.40,0.66)","0.20(-0.36,0.76)","0.34(-0.28,0.95)","0.86(0.22,1.50)","0.6380","0.4818","0.2885","0.0085","1.0005","1.0011","1.0008","1.0013",3784,2966,2718,2756,3865,3616,3352,3430,"0.34(0.27,0.40)","0.0002","1.0004",4648,3935,"-0.17(-0.22,-0.11)","0.0002","1.0011",2346,3182,"0.15(0.09,0.22)","0.0002","0.9997",4233,3580
