ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
C22,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"1.35(1.05,1.63)","2.33(2.02,2.64)","2.87(2.53,3.19)","3.60(3.25,3.97)",0.0002,0.0002,0.0002,0.0002,1.0008,1.0021,1.0037,1.0014,3225,2588,1854,2175,3791,3589,2571,3142,"0.07(0.04,0.11)",0.0002,1.0007,4099,3730,"-0.10(-0.13,-0.07)",0.0002,1.0019,2234,3360,"0.04(0.00,0.07)",0.0390,1.0004,3064,3919
"C22","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","2.12(1.82,2.43)","2.65(2.34,2.97)","2.73(2.42,3.06)","3.11(2.76,3.45)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0021","1.0054","1.0045",2633,1827,1345,1296,3025,3166,3019,2502,"0.06(0.02,0.09)","0.0002","0.9999",3802,3481,"-0.05(-0.08,-0.02)","0.0031","1.0017",1803,2438,"0.02(-0.01,0.05)","0.2781","1.0016",2823,3241
"C22","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.16(-0.50,0.19)","0.20(-0.15,0.58)","0.28(-0.09,0.64)","0.28(-0.10,0.68)","0.3672","0.2872","0.1335","0.1502","1.0027","1.0024","1.0036","1.0040",1687,1667,1532,1598,2579,2174,2392,2252,"0.06(0.02,0.09)","0.0002","0.9999",3802,3481,"-0.05(-0.08,-0.02)","0.0031","1.0017",1803,2438,"0.02(-0.01,0.05)","0.2781","1.0016",2823,3241
"C22","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.01(-0.28,0.29)","0.09(-0.22,0.41)","-0.36(-0.69,-0.02)","-0.12(-0.47,0.24)","0.9792","0.5605","0.0356","0.5155","1.0032","1.0006","1.0018","1.0012",2522,2033,1745,1679,3010,2396,2770,2860,"0.06(0.02,0.09)","0.0002","0.9999",3802,3481,"-0.05(-0.08,-0.02)","0.0031","1.0017",1803,2438,"0.02(-0.01,0.05)","0.2781","1.0016",2823,3241
"C22","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","0.73(0.45,1.01)","1.04(0.76,1.33)","0.97(0.68,1.26)","1.25(0.94,1.57)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0015","1.0017","1.0021",2907,2445,2006,1911,3510,2971,3283,2958,"0.06(0.02,0.09)","0.0002","0.9999",3802,3481,"-0.05(-0.08,-0.02)","0.0031","1.0017",1803,2438,"0.02(-0.01,0.05)","0.2781","1.0016",2823,3241
"C22","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.24(-0.53,0.05)","-0.37(-0.69,-0.05)","-0.14(-0.51,0.23)","-0.27(-0.71,0.16)","0.1052","0.0244","0.4459","0.2147","1.0006","1.0036","1.0022","1.0021",2085,1568,1512,1473,3287,2597,2797,2524,"0.06(0.02,0.09)","0.0002","0.9999",3802,3481,"-0.05(-0.08,-0.02)","0.0031","1.0017",1803,2438,"0.02(-0.01,0.05)","0.2781","1.0016",2823,3241
"C22","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","1.92(1.61,2.23)","2.82(2.49,3.15)","3.39(3.02,3.75)","3.95(3.56,4.35)","0.0002","0.0002","0.0002","0.0002","0.9995","1.0012","1.0002","1.0000",3734,2814,2205,2164,3945,3452,3099,2863,"0.10(0.06,0.13)","0.0002","0.9998",3805,3803,"-0.12(-0.15,-0.08)","0.0002","1.0007",2012,2703,"0.04(-0.00,0.07)","0.0777","1.0013",2951,3442
"C22","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","2.18(1.83,2.55)","2.54(2.17,2.91)","2.72(2.34,3.09)","3.20(2.81,3.59)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0024","1.0033","1.0027",2701,2104,1799,1698,3351,3366,2667,2536,"0.09(0.05,0.12)","0.0002","1.0003",3836,3987,"-0.08(-0.12,-0.05)","0.0002","1.0037",1907,2687,"0.03(-0.01,0.06)","0.1877","1.0002",3317,3386
"C22","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-0.27(-0.66,0.11)","0.27(-0.15,0.68)","0.16(-0.24,0.57)","0.34(-0.08,0.78)","0.1539","0.2077","0.4351","0.1119","1.0012","1.0018","1.0023","1.0025",1847,1859,1765,1857,3185,3017,2802,2832,"0.09(0.05,0.12)","0.0002","1.0003",3836,3987,"-0.08(-0.12,-0.05)","0.0002","1.0037",1907,2687,"0.03(-0.01,0.06)","0.1877","1.0002",3317,3386
"C22","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.15(-0.16,0.46)","-0.09(-0.42,0.24)","-0.23(-0.60,0.13)","-0.26(-0.65,0.12)","0.3368","0.5955","0.2102","0.1860","1.0009","1.0024","1.0047","1.0043",2970,2321,1981,1963,3833,3363,3073,3250,"0.09(0.05,0.12)","0.0002","1.0003",3836,3987,"-0.08(-0.12,-0.05)","0.0002","1.0037",1907,2687,"0.03(-0.01,0.06)","0.1877","1.0002",3317,3386
"C22","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","0.95(0.65,1.24)","1.24(0.94,1.55)","1.37(1.06,1.68)","1.68(1.34,2.02)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0018","1.0024","1.0036",2991,2487,2256,2189,3516,3003,3023,3064,"0.09(0.05,0.12)","0.0002","1.0003",3836,3987,"-0.08(-0.12,-0.05)","0.0002","1.0037",1907,2687,"0.03(-0.01,0.06)","0.1877","1.0002",3317,3386
"C22","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","0.05(-0.28,0.38)","0.04(-0.32,0.39)","0.13(-0.25,0.52)","0.06(-0.40,0.52)","0.7380","0.8184","0.5139","0.8130","1.0002","1.0010","1.0006","1.0010",2399,1763,1555,1536,3312,3299,2707,2669,"0.09(0.05,0.12)","0.0002","1.0003",3836,3987,"-0.08(-0.12,-0.05)","0.0002","1.0037",1907,2687,"0.03(-0.01,0.06)","0.1877","1.0002",3317,3386
"C22","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","2.14(1.80,2.47)","2.69(2.36,3.03)","3.07(2.71,3.44)","3.73(3.32,4.12)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0013","1.0027","1.0020",2739,2153,1808,1803,2980,2948,2793,2594,"0.12(0.08,0.16)","0.0002","1.0008",3613,3461,"-0.12(-0.16,-0.09)","0.0002","1.0020",1946,2938,"0.06(0.02,0.10)","0.0006","1.0016",2902,3470
"C22","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","2.26(1.90,2.61)","2.67(2.32,3.03)","2.84(2.48,3.20)","3.24(2.86,3.63)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0039","1.0018","1.0021",2825,2373,1959,1780,3247,3247,2722,2410,"0.12(0.08,0.16)","0.0002","1.0006",4254,3664,"-0.07(-0.11,-0.04)","0.0002","1.0008",2009,3140,"0.05(0.01,0.08)","0.0198","1.0015",3356,3473
"C22","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","0.05(-0.34,0.43)","0.52(0.13,0.92)","0.42(0.02,0.82)","0.47(0.06,0.88)","0.7825","0.0081","0.0414","0.0256","1.0016","1.0016","1.0016","1.0015",2249,2056,2109,1947,3455,3186,2975,2789,"0.12(0.08,0.16)","0.0002","1.0006",4254,3664,"-0.07(-0.11,-0.04)","0.0002","1.0008",2009,3140,"0.05(0.01,0.08)","0.0198","1.0015",3356,3473
"C22","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","-0.00(-0.30,0.30)","-0.19(-0.51,0.15)","-0.46(-0.81,-0.09)","-0.24(-0.61,0.15)","0.9788","0.2685","0.0148","0.2085","1.0002","1.0012","1.0007","1.0013",2773,2300,1900,1987,3300,3058,2818,2583,"0.12(0.08,0.16)","0.0002","1.0006",4254,3664,"-0.07(-0.11,-0.04)","0.0002","1.0008",2009,3140,"0.05(0.01,0.08)","0.0198","1.0015",3356,3473
"C22","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB","0.00","0.99(0.69,1.28)","1.34(1.03,1.64)","1.31(0.99,1.63)","1.54(1.22,1.89)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0026","1.0023","1.0022",3498,2680,2556,2519,3592,3275,2957,3120,"0.12(0.08,0.16)","0.0002","1.0006",4254,3664,"-0.07(-0.11,-0.04)","0.0002","1.0008",2009,3140,"0.05(0.01,0.08)","0.0198","1.0015",3356,3473
"C22","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB","0.00","-0.38(-0.71,-0.06)","-0.42(-0.77,-0.06)","-0.35(-0.74,0.05)","-0.44(-0.90,0.01)","0.0210","0.0219","0.0831","0.0552","1.0002","1.0001","1.0001","1.0009",2870,2216,2016,1775,3445,3268,3233,3026,"0.12(0.08,0.16)","0.0002","1.0006",4254,3664,"-0.07(-0.11,-0.04)","0.0002","1.0008",2009,3140,"0.05(0.01,0.08)","0.0198","1.0015",3356,3473
"C22","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","2.70(2.26,3.13)","3.32(2.86,3.77)","3.96(3.46,4.45)","4.68(4.14,5.22)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0025","1.0004","1.0015",3714,3140,2638,2232,3757,3712,2880,2771,"0.25(0.19,0.30)","0.0002","1.0015",3870,3836,"-0.14(-0.19,-0.10)","0.0002","1.0010",2452,2933,"0.08(0.03,0.13)","0.0040","1.0001",3789,3676
"C22","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB","0.00","3.39(2.89,3.88)","3.98(3.48,4.48)","4.01(3.51,4.50)","4.44(3.92,4.98)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0026","1.0039","1.0030",2357,1897,1534,1551,3194,2614,2506,2458,"0.23(0.18,0.29)","0.0002","1.0007",3756,3390,"-0.09(-0.14,-0.04)","0.0002","1.0001",1939,3029,"0.06(0.01,0.11)","0.0177","1.0005",3299,3329
"C22","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB","0.00","0.11(-0.42,0.65)","0.64(0.08,1.18)","0.99(0.44,1.54)","0.64(0.05,1.21)","0.6817","0.0219","0.0010","0.0360","1.0015","1.0014","1.0020","1.0028",1644,1506,1527,1413,3027,2657,2847,2721,"0.23(0.18,0.29)","0.0002","1.0007",3756,3390,"-0.09(-0.14,-0.04)","0.0002","1.0001",1939,3029,"0.06(0.01,0.11)","0.0177","1.0005",3299,3329
"C22","2000_2005","2021_2024",20,"EQI_Land+SM+PA+OB","0.00","-0.15(-0.56,0.27)","-0.05(-0.51,0.41)","-0.40(-0.90,0.11)","0.16(-0.37,0.68)","0.4709","0.8292","0.1148","0.5576","1.0016","1.0020","1.0010","1.0013",2447,2012,1839,1747,3352,2772,3111,2784,"0.23(0.18,0.29)","0.0002","1.0007",3756,3390,"-0.09(-0.14,-0.04)","0.0002","1.0001",1939,3029,"0.06(0.01,0.11)","0.0177","1.0005",3299,3329
"C22","2000_2005","2021_2024",20,"EQI_Built+SM+PA+OB","0.00","1.06(0.65,1.46)","1.10(0.68,1.51)","1.43(1.01,1.86)","1.49(1.03,1.93)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0016","1.0018","1.0018",2446,2119,1917,1878,3228,2602,2632,3169,"0.23(0.18,0.29)","0.0002","1.0007",3756,3390,"-0.09(-0.14,-0.04)","0.0002","1.0001",1939,3029,"0.06(0.01,0.11)","0.0177","1.0005",3299,3329
"C22","2000_2005","2021_2024",20,"EQI_Social+SM+PA+OB","0.00","-0.29(-0.72,0.15)","-0.42(-0.88,0.04)","-0.33(-0.84,0.20)","-0.32(-0.94,0.30)","0.1881","0.0802","0.2077","0.2960","1.0004","1.0005","1.0006","1.0013",2484,2018,1712,1579,2586,3275,2674,2740,"0.23(0.18,0.29)","0.0002","1.0007",3756,3390,"-0.09(-0.14,-0.04)","0.0002","1.0001",1939,3029,"0.06(0.01,0.11)","0.0177","1.0005",3299,3329
"C22","2006_2010","2011_2015",5,"EQI+SM+PA+OB","0.00","0.94(0.58,1.31)","0.94(0.55,1.35)","1.04(0.64,1.45)","0.94(0.53,1.36)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0023","1.0038","1.0018",2723,2258,1963,1953,3495,2845,3031,3043,"0.11(0.07,0.15)","0.0002","1.0012",4010,3938,"-0.04(-0.08,-0.00)","0.0414","1.0024",2303,3018,"-0.06(-0.10,-0.02)","0.0052","1.0019",2930,3242
"C22","2006_2010","2011_2015",5,"EQI_Air+SM+PA+OB","0.00","-0.10(-0.42,0.22)","0.07(-0.27,0.43)","0.04(-0.31,0.40)","0.19(-0.16,0.58)","0.5488","0.6888","0.8396","0.3126","1.0027","1.0026","1.0030","1.0024",2165,1797,1767,1800,3015,2781,2929,2758,"0.15(0.11,0.18)","0.0002","1.0019",2936,3566,"-0.16(-0.20,-0.12)","0.0002","1.0047",1782,2938,"0.02(-0.02,0.06)","0.3747","1.0032",2190,3307
"C22","2006_2010","2011_2015",5,"EQI_Water+SM+PA+OB","0.00","-0.87(-1.25,-0.51)","-0.02(-0.44,0.40)","-0.24(-0.65,0.16)","0.26(-0.16,0.68)","0.0002","0.9254","0.2593","0.2272","1.0011","1.0014","1.0025","1.0039",2054,1864,1550,1636,2921,2798,2450,2775,"0.15(0.11,0.18)","0.0002","1.0019",2936,3566,"-0.16(-0.20,-0.12)","0.0002","1.0047",1782,2938,"0.02(-0.02,0.06)","0.3747","1.0032",2190,3307
"C22","2006_2010","2011_2015",5,"EQI_Land+SM+PA+OB","0.00","-0.05(-0.34,0.25)","0.17(-0.13,0.48)","-0.20(-0.50,0.12)","-0.17(-0.51,0.17)","0.7642","0.2826","0.2143","0.3322","1.0021","1.0011","1.0017","1.0011",2642,2520,2443,2403,3150,3102,2703,3008,"0.15(0.11,0.18)","0.0002","1.0019",2936,3566,"-0.16(-0.20,-0.12)","0.0002","1.0047",1782,2938,"0.02(-0.02,0.06)","0.3747","1.0032",2190,3307
"C22","2006_2010","2011_2015",5,"EQI_Built+SM+PA+OB","0.00","0.46(0.13,0.79)","0.37(0.02,0.71)","0.31(-0.04,0.67)","0.06(-0.29,0.41)","0.0044","0.0365","0.0789","0.7563","1.0014","1.0027","1.0031","1.0037",2118,1795,1946,1871,2666,2805,2823,2912,"0.15(0.11,0.18)","0.0002","1.0019",2936,3566,"-0.16(-0.20,-0.12)","0.0002","1.0047",1782,2938,"0.02(-0.02,0.06)","0.3747","1.0032",2190,3307
"C22","2006_2010","2011_2015",5,"EQI_Social+SM+PA+OB","0.00","-0.97(-1.27,-0.67)","-1.58(-1.93,-1.23)","-2.55(-2.94,-2.17)","-3.57(-4.01,-3.15)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0018","1.0037","1.0032",1807,1707,1526,1462,2843,2939,2577,2300,"0.15(0.11,0.18)","0.0002","1.0019",2936,3566,"-0.16(-0.20,-0.12)","0.0002","1.0047",1782,2938,"0.02(-0.02,0.06)","0.3747","1.0032",2190,3307
"C22","2006_2010","2016_2020",10,"EQI+SM+PA+OB","0.00","0.89(0.53,1.25)","0.98(0.60,1.37)","1.03(0.63,1.44)","0.78(0.37,1.20)","0.0002","0.0002","0.0002","0.0006","1.0010","1.0021","1.0024","1.0033",2833,2575,2277,2190,3569,3856,3090,3362,"0.14(0.10,0.18)","0.0002","1.0006",4036,3590,"-0.06(-0.10,-0.02)","0.0044","1.0015",2326,2886,"-0.03(-0.07,0.01)","0.1218","0.9999",2886,3134
"C22","2006_2010","2016_2020",10,"EQI_Air+SM+PA+OB","0.00","-0.20(-0.53,0.14)","-0.06(-0.42,0.31)","0.06(-0.32,0.43)","0.15(-0.23,0.53)","0.2493","0.7567","0.7596","0.4364","1.0017","1.0013","1.0023","1.0031",2060,1836,1724,1630,2745,2665,2616,2422,"0.18(0.14,0.21)","0.0002","1.0017",2984,3513,"-0.17(-0.21,-0.13)","0.0002","1.0025",1546,2532,"0.03(-0.01,0.07)","0.2097","1.0028",2183,3009
"C22","2006_2010","2016_2020",10,"EQI_Water+SM+PA+OB","0.00","-0.38(-0.75,-0.02)","0.34(-0.06,0.75)","0.20(-0.18,0.60)","0.42(0.01,0.83)","0.0394","0.0989","0.3081","0.0481","1.0024","1.0024","1.0030","1.0016",1903,1670,1590,1652,2969,2742,2789,2812,"0.18(0.14,0.21)","0.0002","1.0017",2984,3513,"-0.17(-0.21,-0.13)","0.0002","1.0025",1546,2532,"0.03(-0.01,0.07)","0.2097","1.0028",2183,3009
