ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
I20_I25,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"7.08(3.82,10.26)","7.16(3.87,10.56)","7.45(3.85,11.08)","7.96(3.79,12.15)",0.0002,0.0002,0.0002,0.0002,1.0010,1.0015,1.0024,1.0025,2745,2319,1795,1860,2614,2407,2783,2093,"4.23(3.79,4.66)",0.0002,1.0032,2479,2444,"-0.69(-0.86,-0.53)",0.0002,1.0049,1753,1984,"1.47(1.10,1.84)",0.0002,1.0027,2368,2457
"I20_I25","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","6.22(2.77,9.60)","9.55(6.06,12.97)","7.35(3.75,10.92)","9.90(5.75,14.07)","0.0002","0.0002","0.0007","0.0002","1.0013","1.0019","1.0008","1.0010",3329,2554,2325,2373,3327,2604,2661,2752,"4.19(3.72,4.62)","0.0002","1.0009",3539,3225,"-0.70(-0.88,-0.51)","0.0002","1.0021",2016,2812,"1.36(1.00,1.73)","0.0002","1.0040",2859,3217
"I20_I25","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.38(-4.67,3.71)","-0.90(-5.12,3.11)","-1.17(-5.46,2.90)","0.39(-4.09,4.99)","0.8720","0.6826","0.5886","0.8720","1.0009","1.0010","1.0014","1.0009",2491,2424,2352,2386,2982,3155,2936,2607,"4.19(3.72,4.62)","0.0002","1.0009",3539,3225,"-0.70(-0.88,-0.51)","0.0002","1.0021",2016,2812,"1.36(1.00,1.73)","0.0002","1.0040",2859,3217
"I20_I25","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","2.12(-1.02,5.40)","2.03(-1.40,5.58)","3.08(-0.73,6.85)","4.68(0.56,8.72)","0.1917","0.2422","0.1212","0.0277","1.0010","1.0003","0.9997","0.9997",3655,3097,2746,2626,3291,3137,2691,2900,"4.19(3.72,4.62)","0.0002","1.0009",3539,3225,"-0.70(-0.88,-0.51)","0.0002","1.0021",2016,2812,"1.36(1.00,1.73)","0.0002","1.0040",2859,3217
"I20_I25","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","5.79(2.67,8.99)","7.30(4.00,10.53)","6.13(2.85,9.43)","7.46(3.94,11.08)","0.0007","0.0002","0.0002","0.0007","0.9997","0.9994","1.0000","0.9996",3249,3291,3183,2946,3239,3088,3154,3386,"4.19(3.72,4.62)","0.0002","1.0009",3539,3225,"-0.70(-0.88,-0.51)","0.0002","1.0021",2016,2812,"1.36(1.00,1.73)","0.0002","1.0040",2859,3217
"I20_I25","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.35(-3.60,2.80)","-2.43(-5.92,0.94)","-4.87(-8.68,-1.09)","-3.86(-8.23,0.56)","0.8255","0.1632","0.0137","0.0867","0.9998","1.0013","1.0001","1.0003",3368,2499,2510,2320,3150,2776,3113,2656,"4.19(3.72,4.62)","0.0002","1.0009",3539,3225,"-0.70(-0.88,-0.51)","0.0002","1.0021",2016,2812,"1.36(1.00,1.73)","0.0002","1.0040",2859,3217
"I20_I25","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","7.31(4.38,10.32)","6.46(3.38,9.50)","6.71(3.38,10.08)","5.56(1.73,9.33)","0.0002","0.0002","0.0002","0.0032","1.0026","1.0028","1.0013","1.0020",2904,2436,2144,1968,2810,2533,2711,2661,"3.94(3.54,4.34)","0.0002","1.0008",2907,2879,"-0.68(-0.84,-0.53)","0.0002","1.0008",1956,2756,"1.22(0.86,1.56)","0.0002","1.0017",3095,2999
"I20_I25","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","5.49(2.18,8.55)","8.33(5.08,11.55)","6.52(3.16,9.96)","5.75(2.08,9.53)","0.0012","0.0002","0.0002","0.0032","1.0000","1.0006","1.0003","1.0010",2551,2068,1940,1933,2916,2812,2262,2482,"3.82(3.40,4.24)","0.0002","0.9997",2717,2449,"-0.61(-0.78,-0.44)","0.0002","0.9998",2210,2823,"1.05(0.71,1.39)","0.0002","1.0012",3116,3219
"I20_I25","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-2.36(-6.05,1.31)","0.17(-3.80,4.12)","1.69(-2.20,5.66)","0.25(-3.82,4.39)","0.2087","0.9395","0.3972","0.9095","1.0017","1.0014","1.0013","1.0008",2038,1854,1864,1901,2702,2337,2173,2620,"3.82(3.40,4.24)","0.0002","0.9997",2717,2449,"-0.61(-0.78,-0.44)","0.0002","0.9998",2210,2823,"1.05(0.71,1.39)","0.0002","1.0012",3116,3219
"I20_I25","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.65(-2.21,3.52)","1.53(-1.73,4.54)","2.87(-0.59,6.29)","5.16(1.53,8.81)","0.6486","0.3417","0.1072","0.0042","1.0007","1.0012","1.0003","1.0010",3183,2757,2296,2024,2980,3273,3186,3246,"3.82(3.40,4.24)","0.0002","0.9997",2717,2449,"-0.61(-0.78,-0.44)","0.0002","0.9998",2210,2823,"1.05(0.71,1.39)","0.0002","1.0012",3116,3219
