ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
J40_J47_J60_J70_J84_D86,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"4.39(2.52,6.15)","5.74(3.93,7.58)","6.11(4.13,8.09)","7.65(5.40,9.80)",0.0002,0.0002,0.0002,0.0002,1.0014,1.0022,1.0022,1.0039,3203,2520,2102,1992,3817,3283,3251,3362,"2.57(2.36,2.78)",0.0002,0.9995,3821,3604,"-0.22(-0.33,-0.12)",0.0002,1.0007,2613,3365,"-0.08(-0.26,0.10)",0.3639,1.0018,3630,3677
"J40_J47_J60_J70_J84_D86","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","2.99(1.11,4.92)","4.92(2.98,6.81)","5.70(3.67,7.75)","5.48(3.24,7.76)","0.0019","0.0002","0.0002","0.0002","1.0003","1.0002","1.0014","1.0017",2385,2037,1837,1830,3299,3228,2508,2774,"2.57(2.36,2.77)","0.0002","1.0008",2740,3591,"-0.25(-0.37,-0.14)","0.0002","1.0053",1988,2839,"-0.12(-0.30,0.07)","0.2118","1.0005",2619,3321
"J40_J47_J60_J70_J84_D86","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.62(-2.89,1.62)","1.73(-0.65,3.98)","3.49(1.14,5.81)","3.64(1.14,6.15)","0.6080","0.1477","0.0035","0.0035","1.0032","1.0032","1.0024","1.0018",1649,1341,1521,1526,2822,2591,2791,2410,"2.57(2.36,2.77)","0.0002","1.0008",2740,3591,"-0.25(-0.37,-0.14)","0.0002","1.0053",1988,2839,"-0.12(-0.30,0.07)","0.2118","1.0005",2619,3321
"J40_J47_J60_J70_J84_D86","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","-1.52(-3.12,0.11)","-0.88(-2.62,0.88)","-0.91(-2.91,1.09)","0.31(-1.78,2.41)","0.0689","0.3322","0.3755","0.7834","1.0012","1.0011","1.0026","1.0022",2797,2597,2213,2078,3430,3073,3080,3268,"2.57(2.36,2.77)","0.0002","1.0008",2740,3591,"-0.25(-0.37,-0.14)","0.0002","1.0053",1988,2839,"-0.12(-0.30,0.07)","0.2118","1.0005",2619,3321
"J40_J47_J60_J70_J84_D86","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","1.88(0.17,3.60)","2.68(1.02,4.38)","3.41(1.63,5.16)","3.16(1.22,5.08)","0.0335","0.0023","0.0006","0.0015","1.0014","1.0009","1.0015","1.0020",2616,2193,2067,1959,3409,3294,2939,2759,"2.57(2.36,2.77)","0.0002","1.0008",2740,3591,"-0.25(-0.37,-0.14)","0.0002","1.0053",1988,2839,"-0.12(-0.30,0.07)","0.2118","1.0005",2619,3321
"J40_J47_J60_J70_J84_D86","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","2.04(0.28,3.84)","0.30(-1.64,2.26)","0.64(-1.48,2.77)","1.53(-0.94,4.06)","0.0227","0.7659","0.5734","0.2347","1.0021","1.0034","1.0041","1.0050",2300,1734,1557,1501,3221,2816,2699,2178,"2.57(2.36,2.77)","0.0002","1.0008",2740,3591,"-0.25(-0.37,-0.14)","0.0002","1.0053",1988,2839,"-0.12(-0.30,0.07)","0.2118","1.0005",2619,3321
"J40_J47_J60_J70_J84_D86","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","4.87(3.11,6.66)","5.56(3.73,7.36)","6.29(4.31,8.32)","7.02(4.80,9.27)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0024","1.0024","1.0026",3055,2437,2315,2242,3136,3230,3004,2885,"2.95(2.75,3.16)","0.0002","1.0004",3663,3840,"-0.33(-0.43,-0.22)","0.0002","1.0022",2711,3450,"-0.15(-0.33,0.03)","0.1064","1.0007",3402,3626
"J40_J47_J60_J70_J84_D86","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","3.08(1.24,4.97)","4.25(2.30,6.13)","5.00(2.98,7.02)","4.04(1.83,6.22)","0.0023","0.0002","0.0002","0.0006","1.0026","1.0016","1.0022","1.0014",2338,1980,1704,1695,2882,3171,2368,2740,"2.95(2.73,3.15)","0.0002","1.0016",2891,3098,"-0.35(-0.47,-0.23)","0.0002","1.0006",2088,2916,"-0.20(-0.38,-0.01)","0.0410","1.0008",2729,3083
"J40_J47_J60_J70_J84_D86","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.93(-1.36,3.13)","1.36(-0.92,3.61)","4.17(1.85,6.49)","4.42(1.98,6.80)","0.4110","0.2372","0.0002","0.0015","1.0013","1.0017","1.0017","1.0017",1635,1567,1551,1645,2926,2758,3209,2377,"2.95(2.73,3.15)","0.0002","1.0016",2891,3098,"-0.35(-0.47,-0.23)","0.0002","1.0006",2088,2916,"-0.20(-0.38,-0.01)","0.0410","1.0008",2729,3083
"J40_J47_J60_J70_J84_D86","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","-0.57(-2.22,1.09)","-0.67(-2.49,1.11)","-0.42(-2.34,1.63)","1.10(-1.01,3.29)","0.4768","0.4680","0.6780","0.3076","1.0031","1.0044","1.0046","1.0058",2631,2205,1968,1904,3153,2804,2836,2519,"2.95(2.73,3.15)","0.0002","1.0016",2891,3098,"-0.35(-0.47,-0.23)","0.0002","1.0006",2088,2916,"-0.20(-0.38,-0.01)","0.0410","1.0008",2729,3083
